지자체, 1월판매액, 2월판매액, 3월판매 액, 4월판매 액, 5월판매액 , 6월판매액 , 7월판매액, 8월판매액, 9월판매액 , 10월판매액, 11월판매액, 12월판매액 
합계,517820313,404230378,730209929,1260154372,1085288977,1160331107,1355335938,1260580625,1721662660,1356163136,1341632070,1128164463
서울특별시,2629185,4580980,33036875,112121215,69832415,12446210,138396025,18115395,106008145,42758185,8429150,9570
부산광역시,20375908,74479157,140116396,243608756,125039535,104799383,117492612,113563705,111931932,107980235,71540771,7476703
인천광역시,129246790,111300946,188296391,216832587,197375747,204364790,225285120,235576911,245383388,252620831,250193097,238021672
광주광역시,25632240,27854581,35629852,43717417,42568258,48339305,55845564,56574468,64708854,67591380,70292552,76387743
대전광역시,4314317,3558121,3189214,3957668,32956063,106795273,159285781,77499340,75089633,71134719,176202236,107734388
울산광역시,1390940,2068980,11966196,45859361,73336508,17863530,19171985,30689000,30254345,30695325,32141425,19850410
대구광역시,,,,,,49105870,72711670,82956850,94406698,20015078,19982,46260
세종시,,,6368105,9021660,8419196,6195366,14957642,19824646,24587984,24852158,26913738,33459202
경기도,99983266,73160365,112908179,167946118,179188851,220624110,233736755,226139559,343578023,298747370,316571718,237428482
강원도,13790808,5800303,15971554,30218244,33212895,28240989,24305835,33066228,53299210,44510848,40483508,44834847
충북도,11316307,10534657,14755158,34731068,37850666,42319194,45764103,45314488,55601318,48007522,53300688,62151181
충남도,22599886,4338259,24720246,23880694,41288817,48836089,51195373,48734363,70683939,56753193,46878879,64706851
전북도,58881791,36066032,54261710,119778336,90435717,87752167,68801656,107015989,112055431,85839887,98256601,98942900
전남도,34177030,11476291,30854271,52474718,41756294,35839686,37544461,42313842,74127683,41764205,45593139,58807047
경북도,63365825,18571210,23651075,95762892,54495156,81518630,35668203,90296646,153674293,87687377,49852065,36568637
경남도,30116020,20440496,34484707,60243638,57532859,65290515,55173153,32899195,106271784,75204823,54922086,35250311
제주특별자치도,,,,,,,,,,,40435,6488259
