시군명,기준년월,월별충전액,월별사용액,인센티브율(%)
가평군,2022-12,3600881000.0,3996840000.0,10
가평군,2022-11,4356413000.0,3673972000.0,10
가평군,2022-10,3205893000.0,3586395000.0,10
가평군,2022-09,4334836000.0,3773560000.0,10
가평군,2022-08,3091351000.0,3600543000.0,10
가평군,2022-07,5077092000.0,4034051000.0,10
가평군,2022-06,2771279000.0,2681386000.0,10
가평군,2022-05,2784295000.0,2810484000.0,10
가평군,2022-04,2585608000.0,2600843000.0,10
가평군,2022-03,2393457000.0,2418270000.0,10
가평군,2022-02,2063838000.0,1920192000.0,10
가평군,2022-01,2231347000.0,2236009000.0,10
가평군,2021-12,2217684000.0,2080642000.0,10
가평군,2021-11,2028329000.0,1738929000.0,10
가평군,2021-10,1246495000.0,1228840000.0,10
가평군,2021-09,1167010000.0,1102362000.0,10
가평군,2021-08,1590982000.0,1559022000.0,10
가평군,2021-07,1588997000.0,1664223000.0,10
가평군,2021-06,1822772000.0,1754161000.0,10
가평군,2021-05,1402675000.0,1365784000.0,10
가평군,2021-04,1436820000.0,1305523000.0,10
가평군,2021-03,1109338000.0,1138911000.0,10
가평군,2021-02,912711000.0,805968000.0,10
가평군,2021-01,992759000.0,1011708000.0,10
가평군,2020-12,1177615000.0,1121896000.0,10
가평군,2020-11,1014259000.0,991877000.0,10
가평군,2020-10,921618000.0,952087000.0,10
가평군,2020-09,1052610000.0,964030000.0,10
가평군,2020-08,597319000.0,661956000.0,10
가평군,2020-07,676234000.0,732454000.0,10
가평군,2020-06,616944000.0,518214000.0,10
가평군,2020-05,713833000.0,642870000.0,10
가평군,2020-04,639698000.0,477477000.0,10
가평군,2020-03,389311000.0,297771000.0,10
가평군,2020-02,180458000.0,230384000.0,10
가평군,2020-01,288742000.0,247582000.0,10
가평군,2019-12,247214000.0,201657000.0,6
가평군,2019-11,139483000.0,188567000.0,6
가평군,2019-10,257462000.0,212087000.0,6
가평군,2019-09,233151000.0,172358000.0,6
가평군,2019-08,100956000.0,138322000.0,6
가평군,2019-07,207542000.0,113448000.0,6
가평군,2019-06,84932000.0,75007000.0,6
