지자체, 1월판매액 , 2월판매액 , 3월판매액 , 4월판매액 , 5월판매액 ,6월판매액 
합계,1682805069,2051648283,1833301947,1791339053,1856245279,1960529176
서울특별시,,266276210,84039475,32352905,4205980,3291640
부산광역시,75442715,86194765,85044087,117745128,111722976,99973667
대구광역시,87876210,80106800,88576488,94887170,100069960,105565220
인천광역시,255039759,258946354,292052786,295669778,308702035,302545477
광주광역시,74509932,78753115,92267721,98141124,100896035,102675581
대전광역시,149272398,160158340,127386305,133988834,223065154,150646406
울산광역시,63830134,60098311,40915355,30570530,31358232,30912084
세종시,27355868,25544384,25160900,20089079,19216891,20248458
경기도,327348421,285909329,320991723,339420664,363372146,544058516
강원도,50571613,57876086,53059030,52142347,67271612,67274279
충북도,54752350,67495894,66888898,66478799,69742988,70535166
충남도,84837323,103462808,85392330,98940201,89478404,108268996
전북도,152507879,181866159,135102317,129679135,127295870,118220861
전남도,68934342,102412275,110861025,72474528,70056482,72801253
경북도,106107481,110953467,104165483,102573929,64582808,63123274
경남도,97576322,112639010,103252801,81135543,76728074,69755679
제주도,6842322,12954976,18145223,25049359,28479632,30632619
