"행정구역별(1)",2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024
"행정구역별(1)",식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장,식품,식품,식품첨가물,식품첨가물,기구및용기·포장,기구및용기·포장
"행정구역별(1)",매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%),매출액 (천원),점유율 (%)
"전국",47605302134,100.00,1622590018,100.00,6911132404,100.00,50462099886,100.00,1598598955,100.00,6939803902,100.00,52281639576,100.00,1871131745,100.00,7018136557,100.00,53696077226,100.00,2259350390,100.00,7621167997,100.00,56403958618,100.00,2299121910,100.00,6705145024,100.00,57206042914,100.00,2036197237,100.00,6877258029,100.00,62360711814,100.00,2496195493,100.00,7598056376,100.00,71179787629,100.00,3091617177,100.00,7562057639,100.00,75533175244,100.00,2982563470,100.00,6457379231,100.00,80829438383,100.00,3089556634,100.00,6968443890,100.00
"서울특별시",1210804287,2.54,26773032,1.65,69543324,1.01,1395272586,2.76,14156861,0.89,59707493,0.86,1088768693,2.08,14787957,0.79,89057965,1.22,991831621,1.85,15870102,0.70,59603024,0.78,1066954534,1.89,14542630,0.63,47358897,0.71,914817815,1.60,17735108,0.87,44927476,0.65,1123455626,1.80,18510579,0.74,52388267,0.69,1083932388,1.52,18002985,0.58,31057460,0.41,1211063216,1.60,29801893,1.00,35896667,0.56,1028188064,1.27,19939604,0.65,33946216,0.49
"부산광역시",1982694606,4.16,31350261,1.93,45503674,0.66,2301886236,4.56,33980208,2.13,44875050,0.65,2780294891,5.32,48114462,2.57,43603932,0.65,2663013214,4.96,52488715,2.32,45271200,0.59,2820972138,5.00,54257705,2.36,42614757,0.64,2828371112,4.94,57466418,2.82,41478867,0.60,2877137428,4.61,64588459,2.59,39735922,0.52,3296022522,4.63,76006916,2.46,39207603,0.52,3526833021,4.67,76367905,2.56,42385308,0.66,3834679282,4.74,64551617,2.09,44982269,0.65
"대구광역시",996519785,2.09,2255490,0.14,149027612,2.16,1007998942,2.00,1631556,0.10,147431923,2.12,1050824743,2.01,1675837,0.09,147375261,2.01,1070847511,1.99,2204439,0.10,153944260,2.02,1096276691,1.94,2435028,0.11,155653823,2.32,1071525101,1.87,2527907,0.12,160912521,2.34,1120840882,1.80,3638168,0.15,167875797,2.21,1231644641,1.73,2492282,0.08,176057006,2.33,1354819035,1.79,2038798,0.07,156550480,2.42,1418771455,1.76,2184622,0.07,159911114,2.29
"인천광역시",3398610439,7.14,68132575,4.20,201861515,2.92,3917287596,7.76,66805177,4.18,183559591,2.65,4057381662,7.76,63651477,3.40,175838657,2.33,4058301156,7.56,43339237,1.92,176585812,2.32,4187895567,7.42,47675124,2.07,146604584,2.19,3638276912,6.36,59189060,2.91,175869617,2.56,3888877476,6.24,62051601,2.49,126945202,1.67,4871175434,6.84,73915507,2.39,121397277,1.61,5548540920,7.35,74632555,2.50,127571955,1.98,5724224042,7.08,72220920,2.34,88299085,1.27
"광주광역시",929090163,1.95,2750378,0.17,120062123,1.74,994587966,1.97,924648,0.06,154017564,2.22,1055521360,2.02,871292,0.05,161030903,2.38,963339748,1.79,1008694,0.04,184910335,2.43,982160051,1.74,997168,0.04,177653863,2.65,1148448879,2.01,1084445,0.05,280914659,4.08,1296721977,2.08,1204648,0.05,307070857,4.04,1399865598,1.97,1332145,0.04,342358167,4.53,1428764344,1.89,2704020,0.09,306741027,4.75,1526228818,1.89,1347719,0.04,317144937,4.55
"대전광역시",1146191040,2.41,3895029,0.24,219898651,3.18,984419372,1.95,4586646,0.29,240312171,3.46,964009101,1.84,7354589,0.39,246611767,3.30,878803651,1.64,5555136,0.25,266734055,3.50,1030030720,1.83,7369888,0.32,293570003,4.38,907053298,1.59,7141972,0.35,249342442,3.63,1039239720,1.67,8137046,0.33,277873639,3.66,1114424706,1.57,10953418,0.35,293250404,3.88,1203845800,1.59,9723388,0.33,227542315,3.52,1455365300,1.80,12084015,0.39,238733802,3.43
"울산광역시",826399032,1.74,177380282,10.93,11416692,0.17,800014449,1.59,169409031,10.60,11334117,0.16,776742241,1.49,170494970,9.11,9007581,0.12,674371458,1.26,168083108,7.44,10215916,0.13,733806723,1.30,179082142,7.79,10319200,0.15,710900923,1.24,187698134,9.22,17405821,0.25,802748789,1.29,193224755,7.74,18042090,0.24,919827135,1.29,264138914,8.54,20018545,0.26,1044970779,1.38,233976583,7.84,18468612,0.29,1122630909,1.39,209745901,6.79,25947717,0.37
"세종특별자치시",445048738,0.93,401497,0.02,16094990,0.23,450523458,0.89,862585,0.05,18885913,0.27,489129003,0.94,498948,0.03,6186063,0.08,418284429,0.78,500142,0.02,19729624,0.26,418221512,0.74,426324,0.02,20968712,0.31,429911831,0.75,528713,0.03,22490371,0.33,433230294,0.69,548752,0.02,29816831,0.39,511838326,0.72,705186,0.02,40578994,0.54,519067533,0.69,879441,0.03,34729214,0.54,633020709,0.78,700674,0.02,34299431,0.49
"경기도",13158781653,27.64,333999440,20.58,3010960316,43.57,14427931278,28.59,334324339,20.91,3040346695,43.81,14361091548,27.47,482241100,25.77,2864813280,42.92,15017271178,27.97,534459234,23.66,2822094864,37.03,15603081687,27.66,557694810,24.26,2699423029,40.26,16004308552,27.98,596417338,29.29,2681255504,38.99,18276078235,29.31,624350171,25.01,3163193389,41.63,20373222307,28.62,686386929,22.20,2957147793,39.11,21091130063,27.92,709298089,23.78,2393339948,37.06,22062968580,27.30,754041164,24.41,2779581268,39.89
"강원특별자치도",2246297295,4.72,5375932,0.33,107572467,1.56,2564645632,5.08,4491484,0.28,108461451,1.56,2921426572,5.59,4407409,0.24,20896390,0.28,2990310232,5.57,5022659,0.22,30051384,0.39,3462461072,6.14,5730666,0.25,53941166,0.80,3489528506,6.10,5394156,0.26,195762904,2.85,3619036389,5.80,4199576,0.17,139041766,1.83,4216694661,5.92,6551321,0.21,134016586,1.77,4580721152,6.06,6199717,0.21,132629973,2.05,4759583165,5.89,5095336,0.16,117682251,1.69
"충청북도",5787853497,12.16,66560042,4.10,920984152,13.33,6418549036,12.72,84729097,5.30,981264451,14.14,6680700563,12.78,86216044,4.61,973911909,13.16,7056508954,13.14,89005102,3.94,1015200400,13.32,7621419273,13.51,94355199,4.10,979947829,14.61,7637237844,13.35,101140874,4.97,799344482,11.62,8145407901,13.06,124505271,4.99,909422739,11.97,9222288246,12.96,150339410,4.86,928976210,12.28,9940818855,13.16,143008323,4.79,860482980,13.33,11275584256,13.95,134118351,4.34,926331676,13.29
"충청남도",4707151375,9.89,56297427,3.47,894597521,12.94,4325553298,8.57,56579043,3.54,859954431,12.39,4530663048,8.67,89174949,4.77,1239614129,17.39,4876466590,9.08,66254268,2.93,1635547565,21.46,4862697206,8.62,53747331,2.34,1131640319,16.88,5384229498,9.41,57525634,2.83,1129279054,16.42,5699146963,9.14,70473270,2.82,1183819701,15.58,6775848993,9.52,81933709,2.65,1261789186,16.69,7040659353,9.32,83363333,2.80,1222761553,18.94,7616679851,9.42,80763069,2.61,1280464065,18.38
"전북특별자치도",2823488802,5.93,243504778,15.01,213099094,3.08,2784167356,5.52,275045737,17.21,215727830,3.11,2881272291,5.51,268730889,14.36,192221312,2.58,3057410748,5.69,355439470,15.73,208458226,2.74,3341289791,5.92,311302086,13.54,204888395,3.06,3693482114,6.46,153247890,7.53,191217554,2.78,3897471958,6.25,442559372,17.73,195074175,2.57,4450258116,6.25,512707191,16.58,185042262,2.45,4696209767,6.22,484635644,16.25,190083280,2.94,4825973390,5.97,499954572,16.18,198188155,2.84
"전라남도",1286564405,2.70,487257684,30.03,17617469,0.25,1413183135,2.80,431859841,27.01,32552710,0.47,1578306976,3.02,506448254,27.07,16073422,0.35,1769839167,3.30,784064216,34.70,33337464,0.44,1737725480,3.08,826826299,35.96,37499740,0.56,1869017636,3.27,644396739,31.65,23336736,0.34,2063061502,3.31,717420202,28.74,29415206,0.39,2309361139,3.24,990135449,32.03,31667676,0.42,2454753738,3.25,946783922,31.74,22108897,0.34,2715546416,3.36,1048108267,33.92,21434414,0.31
"경상북도",2181544251,4.58,44837731,2.76,498330805,7.21,2141607824,4.24,46965350,2.94,472369373,6.81,2509263870,4.80,49317610,2.64,489841214,6.49,2486052815,4.63,49762142,2.20,477924752,6.27,2610386420,4.63,49302464,2.14,444638296,6.63,2530452754,4.42,55467149,2.72,483860128,7.04,2637445307,4.23,59938271,2.40,569689254,7.50,3126851715,4.39,69930533,2.26,563730101,7.45,2969373490,3.93,71675423,2.40,500646947,7.75,3130495750,3.87,77955659,2.52,497753534,7.14
"경상남도",4187598835,8.80,70892198,4.37,413500997,5.98,4237533371,8.40,71256940,4.46,367498238,5.30,4280156870,8.19,76305205,4.08,342030271,4.67,4396147606,8.19,85376946,3.78,481557116,6.32,4476035910,7.94,92051659,4.00,257676311,3.84,4615616348,8.07,87845319,4.31,379138393,5.51,5064037913,8.12,99414761,3.98,387992388,5.11,5874649543,8.25,144562037,4.68,435578538,5.76,6494104189,8.60,106151874,3.56,184868417,2.86,7308301688,9.04,105786522,3.42,203338207,2.92
"제주특별자치도",290663931,0.61,926243,0.06,1061000,0.02,296938349,0.59,990412,0.06,1504900,0.02,276086144,0.53,840752,0.04,22500,0.00,327277146,0.61,916780,0.04,2000,0.00,352543844,0.63,1325386,0.06,746100,0.01,332863790,0.58,1390381,0.07,721500,0.01,376773454,0.60,1430591,0.06,659155,0.01,401882160,0.56,1523245,0.05,183831,0.00,427499988,0.57,1322562,0.04,571658,0.01,391196708,0.48,958622,0.03,405750,0.01
