"부문별(1)",2017.01,2017.01,2017.02,2017.02,2017.03,2017.03,2017.04,2017.04,2017.05,2017.05,2017.06,2017.06,2017.07,2017.07,2017.08,2017.08,2017.09,2017.09,2017.10,2017.10,2017.11,2017.11,2017.12,2017.12,2018.01,2018.01,2018.02,2018.02,2018.03,2018.03,2018.04,2018.04,2018.05,2018.05,2018.06,2018.06,2018.07,2018.07,2018.08,2018.08,2018.09,2018.09,2018.10,2018.10,2018.11,2018.11,2018.12,2018.12,2019.01,2019.01,2019.02,2019.02,2019.03,2019.03,2019.04,2019.04,2019.05,2019.05,2019.06,2019.06,2019.07,2019.07,2019.08,2019.08,2019.09,2019.09,2019.10,2019.10,2019.11,2019.11,2019.12,2019.12,2020.01,2020.01,2020.02,2020.02,2020.03,2020.03,2020.04,2020.04,2020.05,2020.05,2020.06,2020.06,2020.07,2020.07,2020.08,2020.08,2020.09,2020.09,2020.10,2020.10,2020.11,2020.11,2020.12,2020.12,2021.01,2021.01,2021.02,2021.02,2021.03,2021.03,2021.04,2021.04,2021.05,2021.05,2021.06,2021.06,2021.07,2021.07,2021.08,2021.08,2021.09,2021.09,2021.10,2021.10,2021.11,2021.11,2021.12,2021.12,2022.01,2022.01,2022.02,2022.02,2022.03,2022.03,2022.04,2022.04,2022.05,2022.05,2022.06,2022.06,2022.07,2022.07,2022.08,2022.08,2022.09,2022.09,2022.10,2022.10,2022.11,2022.11,2022.12,2022.12,2023.01,2023.01,2023.02,2023.02,2023.03,2023.03,2023.04,2023.04,2023.05,2023.05,2023.06,2023.06,2023.07,2023.07,2023.08,2023.08,2023.09,2023.09,2023.10,2023.10,2023.11,2023.11,2023.12,2023.12,2024.01,2024.01,2024.02,2024.02,2024.03,2024.03,2024.04,2024.04,2024.05,2024.05,2024.06,2024.06,2024.07,2024.07,2024.08,2024.08,2024.09,2024.09,2024.10,2024.10,2024.11,2024.11,2024.12,2024.12,2025.01,2025.01,2025.02,2025.02,2025.03,2025.03,2025.04,2025.04,2025.05,2025.05,2025.06,2025.06,2025.07,2025.07,2025.08,2025.08,2025.09,2025.09,2025.10,2025.10,2025.11,2025.11,2025.12,2025.12,2026.01
"부문별(1)",체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,체감,전망,전망
"경기전반",65.6,81.5,57.4,85.8,77.5,85.3,68.2,92.8,75.7,90.7,63.0,90.2,56.0,81.4,60.9,77.6,72.0,103.3,65.5,92.6,66.1,97.5,64.1,86.8,56.6,86.9,64.0,81.6,79.7,103.0,71.9,104.0,71.6,93.1,62.2,84.7,52.5,83.9,55.7,73.9,67.9,99.4,72.8,93.7,66.3,93.6,62.1,86.8,58.8,80.6,61.7,81.4,73.3,96.0,69.8,95.3,69.7,87.0,65.6,82.1,61.1,80.7,59.1,77.4,76.4,92.0,74.9,96.2,69.1,94.2,66.4,85.8,67.3,84.1,41.5,87.1,29.7,94.1,73.8,95.0,88.3,99.5,82.6,98.9,68.1,89.4,67.6,93.2,54.9,94.1,78.0,95.2,79.9,96.8,51.6,95.9,35.8,89.8,43.8,62.8,59.2,75.0,54.0,77.5,55.8,71.6,53.6,71.5,32.8,71.9,34.8,45.4,57.6,65.2,62.5,78.1,66.2,87.6,39.3,85.4,44.3,66.6,37.5,68.6,54.4,83.3,76.4,90.2,74.7,101.0,65.3,87.1,53.8,74.6,58.8,70.0,71.6,89.9,62.7,91.3,57.0,78.9,56.5,82.0,59.8,77.8,56.2,72.5,69.9,93.9,69.4,91.3,70.3,88.9,63.9,80.8,57.3,73.7,63.6,83.6,70.5,98.0,69.6,95.7,63.6,89.4,59.0,84.9,48.1,79.5,50.0,65.2,64.5,74.6,64.8,78.1,64.4,73.4,57.3,67.4,54.5,57.9,55.4,56.6,65.6,82.8,69.1,83.9,62.4,79.8,53.7,79.3,47.6,75.5,51.3,69.3,66.5,86.6,63.6,86.9,70.0,79.8,67.6,79.1,61.5,76.2,72.3,76.7,76.6,88.3,79.1,86.8,75.0,90.7,70.3,83.2,76.1
"매출",64.8,81.1,57.7,86.1,77.7,84.4,68.3,92.3,74.8,89.7,62.4,89.2,55.8,80.2,60.1,76.9,71.5,102.5,65.3,91.8,65.7,97.4,63.7,86.4,56.0,86.3,63.9,81.3,80.1,102.4,71.1,103.7,71.0,92.8,61.7,84.3,51.9,82.9,55.5,74.0,68.2,99.1,72.9,93.5,66.3,93.4,61.9,87.1,58.5,80.1,61.8,81.5,73.3,95.6,69.4,95.1,69.5,87.0,65.8,81.9,61.0,80.6,59.1,77.3,76.5,91.9,75.0,96.2,68.8,94.2,64.8,86.1,66.7,82.8,40.8,86.4,29.3,94.3,73.4,95.0,88.5,99.1,82.4,99.0,68.1,89.3,67.4,93.2,54.2,94.0,77.5,94.9,79.8,96.9,51.3,95.5,32.5,89.5,42.2,57.8,56.1,70.4,53.0,72.2,55.7,66.9,51.5,68.8,34.1,68.1,33.6,43.2,58.8,65.6,58.2,77.5,66.0,84.6,41.6,83.3,37.8,63.2,32.9,60.1,52.0,76.5,71.1,85.5,73.0,99.0,66.6,85.5,55.1,76.3,57.3,68.6,72.7,88.3,64.2,91.6,58.6,80.1,56.8,83.0,51.3,75.3,54.0,69.5,69.1,91.9,69.6,91.1,70.7,89.7,62.1,80.6,56.1,73.5,62.9,80.0,70.9,95.3,69.6,93.6,65.2,88.7,60.4,82.6,48.0,76.8,51.0,65.6,63.9,74.9,65.1,77.7,65.3,73.8,58.9,69.0,57.3,58.8,55.6,57.7,70.0,83.6,72.2,87.5,66.6,81.9,58.0,80.0,51.1,76.5,50.7,69.8,68.6,86.6,65.5,90.0,70.4,83.1,67.6,80.7,61.4,77.4,74.1,77.7,77.4,90.7,81.2,88.9,77.6,94.1,72.3,86.0,77.7
"자금사정",65.5,79.3,58.5,85.8,76.6,83.1,67.6,90.0,74.0,86.6,62.1,87.0,56.4,78.7,61.2,75.6,72.0,100.7,65.9,91.1,66.0,96.6,64.2,85.3,57.8,86.3,64.4,81.1,80.0,100.6,71.3,103.4,71.2,92.6,63.3,84.8,55.2,83.0,56.5,75.0,69.7,98.7,73.0,92.3,68.2,92.7,63.6,86.8,60.3,80.2,64.5,81.8,73.6,95.1,69.6,93.8,70.7,85.3,65.8,81.9,61.5,80.4,59.2,76.7,76.9,90.2,75.1,95.8,70.5,94.2,66.8,86.0,67.5,83.5,44.4,86.5,31.3,93.7,73.2,94.9,87.0,97.9,81.8,98.3,67.4,90.2,68.8,93.5,55.2,92.7,78.6,94.5,79.8,96.5,52.3,95.2,32.1,89.8,37.9,52.8,49.9,62.4,49.5,65.7,51.7,61.6,49.5,63.8,32.2,63.4,32.4,39.9,51.3,58.3,53.1,71.0,59.5,78.5,38.8,77.5,43.0,62.1,38.8,61.1,55.4,72.9,70.1,82.1,71.0,93.0,70.6,83.7,57.2,76.3,59.3,68.3,72.3,85.3,65.3,89.0,61.6,76.4,59.5,81.0,52.0,74.7,56.6,68.6,66.9,85.4,70.5,86.4,71.3,85.4,66.5,80.5,62.7,75.0,66.9,80.7,71.6,93.1,71.8,90.9,68.8,86.4,64.4,82.8,51.5,79.2,52.0,64.2,63.6,72.0,65.0,74.8,65.3,71.4,61.9,68.7,58.1,62.4,58.7,59.0,68.9,80.4,71.2,83.4,67.3,80.7,59.3,79.5,52.9,76.0,54.6,70.4,68.4,84.5,66.9,86.2,72.5,82.0,69.2,81.3,64.3,78.5,75.1,78.0,77.7,88.7,80.9,86.0,76.8,89.2,72.6,83.3,79.3
"재고",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.5,-,99.0,100.3,105.8,99.9,98.1,100.5,102.4,99.0,101.3,100.7,100.7,100.3,98.3,99.3,102.3,98.7,100.3,100.2,100.2,99.5,101.3,100.1,98.9,100.3,102.6,96.6,105.9,99.2,103.6,102.6,98.6,101.7,100.9,97.2,99.8,99.4,99.8,97.5,100.0,95.8,102.2,97.7,101.1,98.8,107.5,98.3,-,101.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"고용",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.1,-,95.5,99.8,98.4,99.4,96.5,100.2,99.5,99.4,99.8,100.0,98.5,99.9,99.3,99.3,99.8,99.5,99.6,99.8,99.8,99.9,99.8,100.0,97.2,99.9,99.1,98.7,99.7,99.2,99.8,99.7,96.8,99.9,99.6,96.9,97.1,99.7,95.6,96.3,95.8,96.4,98.4,96.6,99.4,99.5,98.4,99.5,-,98.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"영업이익",65.0,80.4,57.3,85.8,77.4,84.1,67.8,91.7,74.4,88.8,62.1,88.8,55.2,79.9,59.9,76.4,71.6,102.3,65.3,91.5,65.6,97.4,63.5,86.4,55.8,86.3,63.5,81.0,79.9,102.1,70.9,103.7,70.7,92.7,61.7,84.2,51.6,82.8,55.4,73.9,67.5,99.0,72.9,93.3,65.9,93.2,61.9,86.8,58.4,80.0,61.7,81.3,73.2,95.5,69.2,94.9,69.2,86.5,65.7,81.6,60.8,80.5,59.1,77.1,76.5,91.9,74.9,96.2,68.4,94.2,64.8,85.9,-,82.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"원재료조달사정",73.8,87.8,80.1,89.3,89.9,94.0,90.2,98.0,90.9,97.3,93.5,98.2,86.8,97.4,86.1,93.9,95.9,107.7,96.4,102.3,91.1,101.9,94.4,95.1,84.4,99.1,86.5,93.0,94.0,102.9,96.9,102.0,92.1,101.8,90.8,97.2,83.9,96.9,87.5,92.0,87.8,103.6,93.3,100.0,89.1,100.7,95.6,97.2,89.6,98.3,100.8,98.0,93.3,103.7,85.8,99.9,96.0,92.1,89.5,97.4,86.6,93.0,87.9,93.9,98.7,97.0,99.5,102.0,93.2,101.5,94.3,97.6,-,97.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"비용상황",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.0,-,98.5,92.8,104.2,98.5,107.4,102.5,112.6,106.8,110.9,106.4,113.5,108.1,112.0,107.6,112.6,108.5,109.7,105.9,110.7,107.5,109.0,106.6,113.1,106.1,117.9,101.0,114.8,106.6,109.2,103.5,111.5,106.4,105.8,106.2,111.4,106.6,113.2,108.0,112.0,104.9,107.1,101.0,109.6,103.5,111.5,108.7,107.0,106.8,107.4,103.6,107.6,103.0,108.9,105.5,107.0,109.3,110.5,105.4,113.1,116.7,119.6,115.1,118.4,115.0,102.9,104.3,104.2,102.6,112.9,112.3,112.0,111.2,100.7,105.2,102.4,100.6,104.0,101.3,104.4,103.9,104.8,102.8,106.2,105.2,108.1,106.0,104.9,103.4,103.6,103.5,103.8,102.8,105.6,105.8,104.5
