연도,월,경기전반체감,경기전반전망,매출체감,매출전망,자금사정체감,자금사정전망,비용상황체감,비용상황전망,구매고객수 체감,구매고객수 전망,재고체감,재고전망,고용체감,고용전망,영업이익체감,영업이익전망,원재료조달사정체감,원재료조달사정전망,구매고객수체감,구매고객수전망,농산물체감,농산물전망,축산물체감,축산물전망,수산물체감,수산물전망,가공식품체감,가공식품전망,의류 신발체감,의류 신발전망,가정용품체감,가정용품전망,음식점체감,음식점전망,기타소매업 근린생활서비스체감,기타소매업 근린생활서비스전망,서울체감,서울전망,부산체감,부산전망,대구체감,대구전망,인천체감,인천전망,광주체감,광주전망,대전체감,대전전망,울산체감,울산전망,세종체감,세종전망,경기체감,경기전망,강원체감,강원전망,충북체감,충북전망,충남체감,충남전망,전북체감,전북전망,전남체감,전남전망,경북체감,경북전망,경남체감,경남전망,제주체감,제주전망
2013,1,42.2,70.7,41.4,87.5,48.8,70.4,,,,,,,,,46.8,72.6,,,40.7,70.3,42,76.4,50,78.6,73.3,89,42.6,68.6,30,60,40.6,69.6,40,77.3,43.4,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2,50.2,82.6,50.6,87.5,54.2,92.8,,,,,,,,,54.1,81.7,,,49,86.2,59.8,104,66.7,103.9,66.7,98,53.4,91.9,33.9,66.9,44.3,81.7,42.6,71.2,57,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,3,55,97.3,53.4,103,55.5,87.6,,,,,,,,,58.4,93.4,,,52.6,98.4,49.6,94.3,44.5,85.2,42.9,78.3,55.2,94.8,54.4,105,46.3,89.5,55.5,99.6,68.8,102.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4,61.7,100.3,61.1,105.8,59.4,88.5,,,,,,,,,63.4,94.5,,,60.5,99.8,64.6,100.4,54.8,97.9,69.3,91.2,69.7,90.8,55.3,108.5,47.9,93.6,58.3,96.6,68.3,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,5,65.5,93.8,68.4,99.5,62.6,86.4,,,,,,,,,64.5,90.2,,,65.8,94.5,63.3,88.6,55.3,102.2,45.9,82.5,67.8,93.1,80,103.7,53.7,86.9,56.1,94.7,67,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,6,57,84,57.2,83.7,60,81.8,,,,,,,,,62.3,83.7,,,55.4,82.3,59.1,85.6,54.3,84.6,37.7,64.4,59.7,84.9,61.1,96.4,58.4,75.7,51.9,87.5,60.4,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,7,47.9,65.3,47.6,66.4,54.2,69,,,,,,,,,52.3,72.9,,,44.8,64.3,48.8,73.8,59.5,87.5,38.2,62,49.7,61.6,46.1,62.4,51.8,62,45,65.7,51,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,8,41.6,62.8,40,65.4,44.7,62.2,,,,,,,,,43.8,66.5,,,40.7,61.1,49.6,76.3,56,74.3,37.2,69.4,50.8,71.6,32,50.2,40.8,56.4,44.8,65.4,42,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,9,68.6,101.6,70.2,112.1,64.2,88.8,,,,,,,,,67.7,100.2,,,68.8,109.1,85.9,114.3,74,95.5,88.8,125.4,90.3,116.4,45.1,85.8,66.1,92.5,62.8,95.5,70.7,103.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,10,58.1,92.9,58,98.7,60.5,87.8,,,,,,,,,64.3,92.7,,,57.8,94.3,50.3,75.9,50.2,73.2,43.8,79.3,68.4,93.5,56.3,105.8,59.4,93.1,56,102.7,70.4,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,11,67.3,96.9,71.9,105.1,68.6,92.2,,,,,,,,,72.8,98.2,,,68.6,99,69.5,100,79.1,95.3,77.2,92,77.3,98.2,67.4,107.2,69.2,99.4,55.9,87,60.2,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,12,53.1,82.4,55.8,86.2,58.5,82.1,,,,,,,,,65.2,84.7,,,52.4,84.3,52.9,79.9,55,86,65.9,86.4,50,73.7,53.6,94.4,50.4,81.3,50,78.7,49.9,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,57.3,74.6,74.9,76.9,77.4,71.6,,,,,,,,,76.4,79.4,,,65.7,76.4,60.9,85,55.1,98,56.5,104,68.5,81.9,51.8,60.2,57.5,76.8,59.9,65.3,58.4,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,63.3,76,66.8,75,75.5,77.1,,,,,,,,,71.7,77.9,,,65.7,74.6,57.6,73.7,56.5,74.6,52,74.3,68.7,80.9,62.6,76,72.3,74.8,68.1,76.9,65.6,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,86.7,92,87.2,93.5,88.1,92.4,,,,,,,,,88.1,92.2,,,88.2,93.3,88.6,88.3,80,86,78.8,90.6,93.5,91.7,79.7,87.6,86.7,99,87.2,98,94.2,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,54.8,92.6,49,93,57.1,91.9,,,,,,,,,60.6,82.5,,,55,93.4,48.8,94.5,49.4,95.3,42.9,87.4,55.2,95.1,62.1,87.2,54.2,91.7,59.1,93.6,59.1,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,5,65.5,76.4,63.2,78.2,67.6,75.3,,,,,,,,,68.8,76.8,,,68.5,79.2,57.9,80.3,69,87.4,44.3,58.5,64.9,74.7,85.7,101.6,70.1,73.8,65.1,70.2,62.2,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6,59.3,76.5,56,76.8,61.9,77.7,,,,,,,,,59,79.3,,,57.9,77.7,62.6,79.1,59.2,93.1,54.7,61.3,62.9,61.3,60.8,93,64,84.6,57.1,76.6,55.2,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,7,48.2,85.9,44.1,84.6,50.7,83,,,,,,,,,48.6,83.6,,,46.3,85.8,50.4,89,54,95.4,47.2,84.4,41.8,88.7,47.5,87.9,53.7,91.1,47.6,83.3,45.6,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,8,65.5,74,58.6,71.7,64.3,71.3,,,,,,,,,63.1,71,,,63,72.3,76,82.7,78.7,86.2,76.4,90.6,76.3,69.6,39.2,62.1,62.6,71.5,73.8,81.3,58.8,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
