"시군구별(1)",시군구별(2),2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12
"시군구별(1)",시군구별(2),합계 (명),합계 (명),합계 (명),세대수 (세대),내국인 (명),내국인 (명),내국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명)
"시군구별(1)",시군구별(2),계,남,여,소계,계,남,여,계,남,여
"합계",소계,14222954,7191294,7031660,6121301,13730135,6894990,6835145,492819,296304,196515
"수원시",소계,1227331,616176,611155,541583,1186515,596008,590507,40816,20168,20648
"용인시",소계,1112645,552666,559979,448730,1091186,540342,550844,21459,12324,9135
"성남시",소계,924041,455877,468164,409252,905794,447380,458414,18247,8497,9750
"화성시",소계,1044827,552676,492151,428268,989969,513098,476871,54858,39578,15280
"부천시",소계,790512,390130,400382,342377,758796,373863,384933,31716,16267,15449
"안산시",소계,667284,344391,322893,287919,612508,313809,298699,54776,30582,24194
"평택시",소계,646589,341384,305205,292664,610402,320208,290194,36187,21176,15011
"안양시",소계,570598,281296,289302,239981,563279,277696,285583,7319,3600,3719
"시흥시",소계,557210,293357,263853,229801,515032,268171,246861,42178,25186,16992
"김포시",소계,511155,261877,249278,207222,484792,241910,242882,26363,19967,6396
"광주시",소계,412848,212943,199905,175865,397346,202342,195004,15502,10601,4901
"광명시",소계,296957,145410,151547,123100,293947,143943,150004,3010,1467,1543
"하남시",소계,330619,164024,166595,140900,327939,162749,165190,2680,1275,1405
"군포시",소계,257312,127620,129692,111657,251367,124561,126806,5945,3059,2886
"오산시",소계,260836,136108,124728,115234,249410,130160,119250,11426,5948,5478
"이천시",소계,234351,123834,110517,106808,222967,116452,106515,11384,7382,4002
"안성시",소계,212040,111670,100370,97042,196592,101588,95004,15448,10082,5366
"의왕시",소계,161462,79727,81735,66007,160370,79197,81173,1092,530,562
"양평군",소계,128690,64614,64076,63654,126933,63745,63188,1757,869,888
"여주시",소계,119311,61645,57666,56850,114002,58102,55900,5309,3543,1766
"과천시",소계,80143,38997,41146,28738,79908,38906,41002,235,91,144
"고양시",소계,1074469,523217,551252,466150,1060081,515838,544243,14388,7379,7009
"남양주시",소계,739827,366632,373195,308737,729754,360722,369032,10073,5910,4163
"파주시",소계,542476,276886,265590,233305,526005,265014,260991,16471,11872,4599
"의정부시",소계,469772,230665,239107,212285,461572,226640,234932,8200,4025,4175
"양주시",소계,306448,156206,150242,132518,296224,148931,147293,10224,7275,2949
"구리시",소계,187778,92952,94826,81784,186090,92162,93928,1688,790,898
"포천시",소계,157265,86941,70324,73702,140452,74290,66162,16813,12651,4162
"동두천시",소계,90889,45642,45247,43565,86438,43066,43372,4451,2576,1875
"가평군",소계,63495,32578,30917,33116,62125,31959,30166,1370,619,751
"연천군",소계,43774,23153,20621,22487,42340,22138,20202,1434,1015,419
