관리번호_PK,주용도코드명,연면적_sqm,세대수_세대,가구수_가구,착공일,사용년월,사용량_KWh
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202501,1741
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202502,2642
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202503,3229
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202504,1380
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202505,575
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202506,374
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202507,268
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202508,221
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202509,140
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202510,128
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202511,315
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202501,94
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202502,377
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202503,802
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202504,94
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202505,70
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202506,82
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202507,35
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202508,12
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202511,47
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202501,5670
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202502,6498
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202503,7828
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202504,4505
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202505,3016
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202506,1252
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202507,896
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202508,558
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202509,361
