관리번호_PK,주용도코드명,연면적_sqm,세대수_세대,가구수_가구,착공일,사용년월,사용량_KWh
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202501,3377
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202502,3542
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202503,2656
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202504,1634
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202505,732
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202506,727
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202507,914
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202508,1173
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202509,1104
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202510,751
10100-0001-0009,제2종근린생활시설,493.92,0,1,,202511,847
10100-0001-0012,판매시설,1591.76,9,0,,202501,8909
10100-0001-0012,판매시설,1591.76,9,0,,202502,9938
10100-0001-0012,판매시설,1591.76,9,0,,202503,7482
10100-0001-0012,판매시설,1591.76,9,0,,202504,8113
10100-0001-0012,판매시설,1591.76,9,0,,202505,10436
10100-0001-0012,판매시설,1591.76,9,0,,202506,9940
10100-0001-0012,판매시설,1591.76,9,0,,202507,10311
10100-0001-0012,판매시설,1591.76,9,0,,202508,10593
10100-0001-0012,판매시설,1591.76,9,0,,202509,11057
10100-0001-0012,판매시설,1591.76,9,0,,202510,8943
10100-0001-0012,판매시설,1591.76,9,0,,202511,6801
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202501,626
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202502,599
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202503,380
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202504,294
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202505,211
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202506,173
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202507,265
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202508,257
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202509,282
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202510,185
10100-0001-0017,제2종근린생활시설,184.38,0,0,19991028,202511,357
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202501,1949
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202502,1679
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202503,1083
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202504,1161
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202505,840
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202506,804
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202507,1057
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202508,1167
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202509,1186
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202510,772
10100-0001-0022,제1종근린생활시설,283.17,0,1,,202511,949
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202501,2475
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202502,2621
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202503,1828
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202504,1360
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202505,959
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202506,1001
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202507,1701
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202508,1986
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202509,2030
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202510,980
10100-0001-0026,제1종근린생활시설,363.8,0,1,,202511,1019
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202501,2070
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202502,1880
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202503,1600
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202504,1746
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202505,1635
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202506,1862
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202507,2749
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202508,3041
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202509,2667
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202510,1626
10100-0001-0028,제2종근린생활시설,382.68,0,1,,202511,1688
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202501,1111
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202502,1295
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202503,836
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202504,671
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202505,478
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202506,512
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202507,673
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202508,735
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202509,958
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202510,668
10100-0001-0029,제1종근린생활시설,181.48,0,1,,202511,523
10100-0001-0036,노유자시설,185.82,1,0,20020904,202501,416
10100-0001-0036,노유자시설,185.82,1,0,20020904,202502,425
10100-0001-0036,노유자시설,185.82,1,0,20020904,202503,450
10100-0001-0036,노유자시설,185.82,1,0,20020904,202504,436
10100-0001-0036,노유자시설,185.82,1,0,20020904,202505,433
10100-0001-0036,노유자시설,185.82,1,0,20020904,202506,514
10100-0001-0036,노유자시설,185.82,1,0,20020904,202507,668
10100-0001-0036,노유자시설,185.82,1,0,20020904,202508,876
10100-0001-0036,노유자시설,185.82,1,0,20020904,202509,606
10100-0001-0036,노유자시설,185.82,1,0,20020904,202510,373
10100-0001-0036,노유자시설,185.82,1,0,20020904,202511,399
10100-0002-0012,제2종근린생활시설,445.27,0,1,19960307,202501,5095
