법정동코드,번,지,사용년월,사용량(KWh)
10100,0001,0022,202501,1741
10100,0001,0022,202502,2642
10100,0001,0022,202503,3229
10100,0001,0022,202504,1380
10100,0001,0022,202505,575
10100,0001,0022,202506,374
10100,0001,0022,202507,268
10100,0001,0022,202508,221
10100,0001,0022,202509,140
10100,0001,0022,202510,128
10100,0001,0022,202511,315
10100,0001,0026,202501,94
10100,0001,0026,202502,377
10100,0001,0026,202503,802
10100,0001,0026,202504,94
10100,0001,0026,202505,70
10100,0001,0026,202506,82
10100,0001,0026,202507,35
10100,0001,0026,202508,12
10100,0001,0026,202511,47
10100,0001,0028,202501,5670
10100,0001,0028,202502,6498
10100,0001,0028,202503,7828
10100,0001,0028,202504,4505
10100,0001,0028,202505,3016
10100,0001,0028,202506,1252
10100,0001,0028,202507,896
10100,0001,0028,202508,558
10100,0001,0028,202509,361
10100,0001,0028,202510,385
10100,0001,0028,202511,1551
10100,0001,0029,202501,2059
10100,0001,0029,202502,2288
10100,0001,0029,202503,2841
10100,0001,0029,202504,1215
10100,0001,0029,202505,1044
10100,0001,0029,202506,421
10100,0001,0029,202507,256
10100,0001,0029,202508,163
10100,0001,0029,202509,152
10100,0001,0029,202510,129
10100,0001,0029,202511,280
10100,0001,0036,202501,3376
10100,0001,0036,202502,3527
10100,0001,0036,202503,4857
10100,0001,0036,202504,2489
10100,0001,0036,202505,1818
10100,0001,0036,202506,866
10100,0001,0036,202507,512
10100,0001,0036,202508,384
10100,0001,0036,202509,361
10100,0001,0036,202510,513
10100,0001,0036,202511,735
10100,0002,0011,202501,2177
10100,0002,0011,202502,2571
10100,0002,0011,202503,2440
10100,0002,0011,202504,1981
10100,0002,0011,202505,1947
10100,0002,0011,202506,1953
10100,0002,0011,202507,1699
10100,0002,0011,202508,1419
10100,0002,0011,202509,1609
10100,0002,0011,202510,1597
10100,0002,0011,202511,2041
10100,0002,0012,202501,3200
10100,0002,0012,202502,3279
10100,0002,0012,202503,3819
10100,0002,0012,202504,1875
10100,0002,0012,202505,1044
10100,0002,0012,202506,433
10100,0002,0012,202507,209
10100,0002,0012,202508,163
10100,0002,0012,202509,82
10100,0002,0012,202510,128
10100,0002,0012,202511,420
10100,0003,0002,202501,2176
10100,0003,0002,202502,2111
10100,0003,0002,202503,2818
10100,0003,0002,202504,1050
10100,0003,0002,202505,786
10100,0003,0002,202506,199
10100,0003,0002,202507,187
10100,0003,0002,202508,152
10100,0003,0002,202509,128
10100,0003,0002,202510,140
10100,0003,0002,202511,292
10100,0003,0009,202501,1812
10100,0003,0009,202502,2241
10100,0003,0009,202503,2935
10100,0003,0009,202504,1545
10100,0003,0009,202505,1032
10100,0003,0009,202506,234
10100,0003,0009,202507,256
10100,0003,0009,202508,244
10100,0003,0009,202509,140
10100,0003,0009,202510,257
10100,0003,0009,202511,700
10100,0003,0012,202501,3706
10100,0003,0012,202502,3373
10100,0003,0012,202503,4221
10100,0003,0012,202504,2181
10100,0003,0012,202505,1560
10100,0003,0012,202506,608
10100,0003,0012,202507,232
10100,0003,0012,202508,256
10100,0003,0012,202509,245
10100,0003,0012,202510,256
10100,0003,0012,202511,432
10100,0003,0016,202501,8011
10100,0003,0016,202502,7289
10100,0003,0016,202503,7769
10100,0003,0016,202504,8091
10100,0003,0016,202505,8705
10100,0003,0016,202506,7462
10100,0003,0016,202507,7400
10100,0003,0016,202508,6338
10100,0003,0016,202509,6157
10100,0003,0016,202510,4722
10100,0003,0016,202511,4758
10100,0004,0004,202501,6117
10100,0004,0004,202502,6039
10100,0004,0004,202503,7285
10100,0004,0004,202504,4754
10100,0004,0004,202505,4821
10100,0004,0004,202506,3217
10100,0004,0004,202507,3037
10100,0004,0004,202508,2314
10100,0004,0004,202509,1970
10100,0004,0004,202510,2286
10100,0004,0004,202511,3032
10100,0004,0006,202501,4305
10100,0004,0006,202502,4352
10100,0004,0006,202503,5281
10100,0004,0006,202504,2630
10100,0004,0006,202505,1408
10100,0004,0006,202506,550
10100,0004,0006,202507,233
10100,0004,0006,202508,128
10100,0004,0006,202509,116
10100,0004,0006,202510,128
10100,0004,0006,202511,630
10100,0004,0011,202501,2106
10100,0004,0011,202502,2253
10100,0004,0011,202503,2724
10100,0004,0011,202504,979
10100,0004,0011,202505,598
10100,0004,0011,202506,129
10100,0004,0011,202507,23
10100,0004,0011,202508,24
10100,0004,0011,202509,23
10100,0004,0011,202510,12
10100,0004,0011,202511,256
10100,0004,0012,202501,1789
10100,0004,0012,202502,1380
10100,0004,0012,202503,1733
10100,0004,0012,202504,1439
10100,0004,0012,202505,1583
10100,0004,0012,202506,1919
10100,0004,0012,202507,1815
10100,0004,0012,202508,1070
10100,0004,0012,202509,770
10100,0004,0012,202510,758
10100,0004,0012,202511,1120
10100,0004,0015,202501,1976
10100,0004,0015,202502,2206
10100,0004,0015,202503,2865
10100,0004,0015,202504,1050
10100,0004,0015,202505,973
10100,0004,0015,202506,339
10100,0004,0015,202507,128
10100,0004,0015,202508,70
10100,0004,0015,202509,58
10100,0004,0015,202510,116
10100,0004,0015,202511,420
10100,0005,0001,202501,12105
10100,0005,0001,202502,11701
10100,0005,0001,202503,19286
10100,0005,0001,202504,18435
10100,0005,0001,202505,6300
10100,0005,0001,202506,2901
10100,0005,0001,202507,1990
10100,0005,0001,202508,1326
10100,0005,0001,202509,268
10100,0005,0001,202510,431
10100,0005,0001,202511,1808
10100,0005,0003,202501,5188
10100,0005,0003,202502,5202
10100,0005,0003,202503,7132
10100,0005,0003,202504,3444
10100,0005,0003,202505,2123
10100,0005,0003,202506,1100
10100,0005,0003,202507,454
10100,0005,0003,202508,291
10100,0005,0003,202509,222
10100,0005,0003,202510,257
10100,0005,0003,202511,1283
10100,0005,0008,202501,12740
10100,0005,0008,202502,8823
10100,0005,0008,202503,10940
10100,0005,0008,202504,8291
10100,0005,0008,202505,9244
10100,0005,0008,202506,6573
10100,0005,0008,202507,6376
10100,0005,0008,202508,7257
10100,0005,0008,202509,7125
10100,0005,0008,202510,6915
10100,0005,0008,202511,8105
10100,0006,0020,202501,3835
10100,0006,0020,202502,5437
10100,0006,0020,202503,6402
10100,0006,0020,202504,3279
10100,0006,0020,202505,1009
10100,0006,0020,202506,421
10100,0006,0020,202507,58
10100,0006,0020,202508,70
10100,0006,0020,202509,58
10100,0006,0020,202510,152
10100,0006,0020,202511,327
10100,0018,0018,202501,718
10100,0018,0018,202502,908
10100,0018,0018,202503,1627
10100,0018,0018,202504,1120
10100,0018,0018,202505,469
10100,0018,0018,202506,409
10100,0018,0018,202507,349
10100,0018,0018,202508,209
10100,0018,0018,202509,163
10100,0018,0018,202510,210
10100,0018,0018,202511,362
10100,0018,0058,202501,2518
10100,0018,0058,202502,3610
10100,0018,0058,202503,4951
10100,0018,0058,202504,2783
10100,0018,0058,202505,1560
10100,0018,0058,202506,818
10100,0018,0058,202507,442
10100,0018,0058,202508,303
10100,0018,0058,202509,268
10100,0018,0058,202510,327
10100,0018,0058,202511,770
10100,0018,0062,202501,2541
10100,0018,0062,202502,1864
10100,0018,0062,202503,2582
10100,0018,0062,202504,1580
10100,0018,0062,202505,457
10100,0018,0062,202506,199
10100,0018,0062,202507,105
10100,0018,0062,202508,82
10100,0018,0062,202509,82
10100,0018,0062,202510,82
10100,0018,0062,202511,291
10100,0018,0063,202501,1318
10100,0018,0063,202502,1557
10100,0018,0063,202503,2039
10100,0018,0063,202504,1533
10100,0018,0063,202505,727
10100,0018,0063,202506,164
10100,0018,0063,202507,70
10100,0018,0063,202508,70
10100,0018,0063,202509,82
10100,0018,0063,202510,35
10100,0018,0063,202511,128
10100,0018,0077,202501,2353
10100,0018,0077,202502,2359
10100,0018,0077,202503,2357
10100,0018,0077,202504,2359
10100,0018,0077,202505,2347
10100,0018,0077,202506,1755
10100,0018,0077,202507,1746
10100,0018,0077,202508,1744
10100,0018,0077,202509,1749
10100,0018,0077,202510,2332
10100,0018,0077,202511,2332
10100,0018,0083,202501,1718
10100,0018,0083,202502,1911
10100,0018,0083,202503,2452
10100,0018,0083,202504,1533
10100,0018,0083,202505,1138
10100,0018,0083,202506,784
10100,0018,0083,202507,303
10100,0018,0083,202508,140
10100,0018,0083,202509,93
10100,0018,0083,202510,105
10100,0018,0083,202511,222
10100,0018,0097,202501,1553
10100,0018,0097,202502,1887
10100,0018,0097,202503,2452
10100,0018,0097,202504,1109
10100,0018,0097,202505,1032
10100,0018,0097,202506,409
10100,0018,0097,202507,186
10100,0018,0097,202508,174
10100,0018,0097,202509,152
10100,0018,0097,202510,105
10100,0018,0097,202511,163
10100,0018,0099,202501,600
10100,0018,0099,202502,590
10100,0018,0099,202503,1061
10100,0018,0099,202504,307
10100,0018,0099,202505,188
10100,0018,0099,202506,70
10100,0018,0099,202507,47
10100,0018,0099,202508,47
10100,0018,0099,202509,23
10100,0018,0099,202510,35
10100,0018,0099,202511,128
10100,0018,0101,202501,2447
10100,0018,0101,202502,2713
10100,0018,0101,202503,3418
10100,0018,0101,202504,1816
10100,0018,0101,202505,950
10100,0018,0101,202506,573
10100,0018,0101,202507,209
10100,0018,0101,202508,23
10100,0018,0101,202509,23
10100,0018,0101,202510,70
10100,0018,0101,202511,455
10100,0018,0110,202501,1941
10100,0018,0110,202502,1581
10100,0018,0110,202503,2346
10100,0018,0110,202504,1321
10100,0018,0110,202505,903
10100,0018,0110,202506,386
10100,0018,0110,202507,268
10100,0018,0110,202508,256
10100,0018,0110,202509,210
10100,0018,0110,202510,222
10100,0018,0110,202511,338
10100,0018,0112,202501,7650
10100,0018,0112,202502,7586
10100,0018,0112,202503,8771
10100,0018,0112,202504,3878
10100,0018,0112,202505,2155
10100,0018,0112,202506,1622
10100,0018,0112,202507,850
10100,0018,0112,202508,431
10100,0018,0112,202509,349
10100,0018,0112,202510,408
10100,0018,0112,202511,2183
10100,0018,0125,202501,5870
10100,0018,0125,202502,4458
10100,0018,0125,202503,6366
10100,0018,0125,202504,3161
10100,0018,0125,202505,974
10100,0018,0125,202506,222
10100,0018,0125,202507,35
10100,0018,0125,202508,23
10100,0018,0125,202510,12
10100,0018,0125,202511,93
10100,0018,0141,202501,2294
10100,0018,0141,202502,2418
10100,0018,0141,202503,3124
10100,0018,0141,202504,1569
10100,0018,0141,202505,821
10100,0018,0141,202506,257
10100,0018,0141,202507,186
10100,0018,0141,202508,140
10100,0018,0141,202509,82
10100,0018,0141,202510,128
10100,0018,0141,202511,198
10100,0018,0167,202501,7105
10100,0018,0167,202502,7868
10100,0018,0167,202503,9618
10100,0018,0167,202504,6204
10100,0018,0167,202505,5267
10100,0018,0167,202506,3812
10100,0018,0167,202507,3606
10100,0018,0167,202508,3175
10100,0018,0167,202509,4326
10100,0018,0167,202510,3125
10100,0018,0167,202511,3920
10100,0018,0196,202501,1541
10100,0018,0196,202502,2442
10100,0018,0196,202503,3006
10100,0018,0196,202504,625
10100,0018,0196,202505,422
10100,0018,0196,202506,246
10100,0018,0196,202507,81
10100,0018,0196,202508,12
10100,0018,0196,202511,35
10100,0018,0197,202501,4858
10100,0018,0197,202502,4859
10100,0018,0197,202503,6154
10100,0018,0197,202504,3986
10100,0018,0197,202505,2428
10100,0018,0197,202506,1918
10100,0018,0197,202507,2025
10100,0018,0197,202508,1838
10100,0018,0197,202509,1726
10100,0018,0197,202510,1807
10100,0018,0197,202511,2461
10100,0018,0198,202501,3623
10100,0018,0198,202502,3786
10100,0018,0198,202503,5210
10100,0018,0198,202504,2159
10100,0018,0198,202505,938
10100,0018,0198,202506,421
10100,0018,0198,202507,361
10100,0018,0198,202508,291
10100,0018,0198,202509,198
10100,0018,0198,202510,245
10100,0018,0198,202511,338
10100,0018,0204,202501,2988
10100,0018,0204,202502,2949
10100,0018,0204,202503,3619
10100,0018,0204,202504,1451
10100,0018,0204,202505,821
10100,0018,0204,202506,175
10100,0018,0204,202507,198
10100,0018,0204,202508,12
10100,0018,0204,202509,35
10100,0018,0204,202510,58
10100,0018,0204,202511,327
10100,0018,0206,202501,3282
10100,0018,0206,202502,3479
10100,0018,0206,202503,4386
10100,0018,0206,202504,2288
10100,0018,0206,202505,1326
10100,0018,0206,202506,924
10100,0018,0206,202507,780
10100,0018,0206,202508,396
10100,0018,0206,202509,501
10100,0018,0206,202510,513
10100,0018,0206,202511,1283
10100,0018,0233,202501,6776
10100,0018,0233,202502,6770
10100,0018,0233,202503,6590
10100,0018,0233,202504,4895
10100,0018,0233,202505,5373
10100,0018,0233,202506,4773
10100,0018,0233,202507,4747
10100,0018,0233,202508,4629
10100,0018,0233,202509,4653
10100,0018,0233,202510,4081
10100,0018,0233,202511,5668
10100,0018,0234,202501,59
10100,0018,0234,202502,47
10100,0018,0234,202503,59
10100,0018,0234,202504,35
10100,0018,0234,202505,47
10100,0018,0234,202506,35
10100,0018,0234,202507,47
10100,0018,0234,202508,47
10100,0018,0234,202509,58
10100,0018,0234,202510,35
10100,0018,0234,202511,47
10100,0018,0237,202501,3940
10100,0018,0237,202502,4281
10100,0018,0237,202503,5906
10100,0018,0237,202504,3468
10100,0018,0237,202505,2417
10100,0018,0237,202506,1299
10100,0018,0237,202507,326
10100,0018,0237,202508,151
10100,0018,0237,202509,163
10100,0018,0237,202510,175
10100,0018,0237,202511,1096
10100,0018,0238,202501,2494
10100,0018,0238,202502,2288
10100,0018,0238,202503,2982
10100,0018,0238,202504,1415
10100,0018,0238,202505,669
10100,0018,0238,202506,327
10100,0018,0238,202507,163
10100,0018,0238,202508,70
10100,0018,0238,202510,70
10100,0018,0238,202511,536
10100,0018,0251,202501,3647
10100,0018,0251,202502,3881
10100,0018,0251,202503,5352
10100,0018,0251,202504,2418
10100,0018,0251,202505,1407
10100,0018,0251,202506,468
10100,0018,0251,202507,233
10100,0018,0251,202508,151
10100,0018,0251,202509,187
10100,0018,0251,202510,186
10100,0018,0251,202511,548
10100,0018,0254,202501,5882
10100,0018,0254,202502,6665
10100,0018,0254,202503,6779
10100,0018,0254,202504,5355
10100,0018,0254,202505,3320
10100,0018,0254,202506,2550
10100,0018,0254,202507,2339
10100,0018,0254,202508,2395
10100,0018,0254,202509,2216
10100,0018,0254,202510,2099
10100,0018,0254,202511,2111
10100,0018,0256,202501,2741
10100,0018,0256,202502,3244
10100,0018,0256,202503,4396
10100,0018,0256,202504,2607
10100,0018,0256,202505,1255
10100,0018,0256,202506,316
10100,0018,0256,202507,175
10100,0018,0256,202508,162
10100,0018,0256,202509,93
10100,0018,0256,202510,187
10100,0018,0256,202511,699
10100,0018,0259,202501,7058
10100,0018,0259,202502,7313
10100,0018,0259,202503,8770
10100,0018,0259,202504,6451
10100,0018,0259,202505,4506
10100,0018,0259,202506,2994
10100,0018,0259,202507,2117
10100,0018,0259,202508,1966
10100,0018,0259,202509,2018
10100,0018,0259,202510,1609
10100,0018,0259,202511,2169
10100,0018,0262,202501,423
10100,0018,0262,202502,590
10100,0018,0262,202503,601
10100,0018,0262,202504,47
10100,0018,0273,202501,6082
10100,0018,0273,202502,8304
10100,0018,0273,202503,11447
10100,0018,0273,202504,4836
10100,0018,0273,202505,1221
10100,0018,0273,202506,995
10100,0018,0273,202507,907
10100,0018,0273,202508,651
10100,0018,0273,202509,233
10100,0018,0273,202510,723
10100,0018,0273,202511,828
10100,0018,0277,202501,2800
10100,0018,0277,202502,2701
10100,0018,0277,202503,3265
10100,0018,0277,202504,2135
10100,0018,0277,202505,1631
10100,0018,0277,202506,1204
10100,0018,0277,202507,873
10100,0018,0277,202508,942
10100,0018,0277,202509,909
10100,0018,0277,202510,712
10100,0018,0277,202511,863
10100,0018,0279,202501,6200
10100,0018,0279,202502,6594
10100,0018,0279,202503,7745
10100,0018,0279,202504,3751
10100,0018,0279,202505,2886
10100,0018,0279,202506,2281
10100,0018,0279,202507,1711
10100,0018,0279,202508,1686
10100,0018,0279,202509,1586
10100,0018,0279,202510,2017
10100,0018,0279,202511,2064
10100,0018,0283,202501,800
10100,0018,0283,202502,861
10100,0018,0283,202503,884
10100,0018,0283,202504,743
10100,0018,0283,202505,669
10100,0018,0283,202506,608
10100,0018,0283,202507,652
10100,0018,0283,202508,593
10100,0018,0283,202509,455
10100,0018,0283,202510,548
10100,0018,0283,202511,606
10100,0018,0284,202501,4071
10100,0018,0284,202502,4411
10100,0018,0284,202503,5375
10100,0018,0284,202504,3256
10100,0018,0284,202505,1831
10100,0018,0284,202506,795
10100,0018,0284,202507,303
10100,0018,0284,202508,128
10100,0018,0284,202509,443
10100,0018,0284,202510,70
10100,0018,0284,202511,513
10100,0018,0285,202501,4694
10100,0018,0285,202502,4022
10100,0018,0285,202503,4361
10100,0018,0285,202504,2406
10100,0018,0285,202505,1490
10100,0018,0285,202506,1322
10100,0018,0285,202507,1291
10100,0018,0285,202508,1325
10100,0018,0285,202509,1750
10100,0018,0285,202510,1656
10100,0018,0285,202511,2426
10100,0018,0300,202501,635
10100,0018,0300,202502,625
10100,0018,0300,202503,719
10100,0018,0300,202504,507
10100,0018,0300,202505,23
10100,0018,0300,202511,455
10100,0027,0003,202501,2141
10100,0027,0003,202502,2453
10100,0027,0003,202503,3371
10100,0027,0003,202504,1285
10100,0027,0003,202505,716
10100,0027,0003,202506,433
10100,0027,0003,202507,547
10100,0027,0003,202508,524
10100,0027,0003,202509,467
10100,0027,0003,202510,304
10100,0027,0003,202511,479
10100,0027,0019,202501,3964
10100,0027,0019,202502,4317
10100,0027,0019,202503,5316
