"월별(1)",2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"월별(1)",합계,합계,합계,가정용,가정용,가정용,공공용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,합계,가정용,가정용,가정용,공공용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,합계,가정용,가정용,가정용,공공용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,합계,가정용,가정용,가정용,공공용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,농림수산업,광업,광업,광업,제조업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,농림수산업,광업,광업,광업,제조업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,농림수산업,광업,광업,광업,제조업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,농림수산업,광업,광업,광업,제조업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업
"월별(1)",사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),금액 (백만원),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"월별(1)",소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%)
"합계",12017832,100.0,956830,554823,4.6,63680,239204,2.0,21127,925033,7.7,92336,10298772,85.7,779687,53835,0.4,2377,64471,0.5,5107,10180466,84.7,772203,11935946,100.0,1058533,562457,4.7,66520,260709,2.2,24995,935735,7.8,103159,10177045,85.3,863843,55625,0.5,2575,67087,0.6,5989,10054333,84.2,855265,12605849,100.0,1216217,574943,4.6,71563,265256,2.1,27202,940295,7.5,112411,10825353,85.9,1005040,58992,0.5,2975,65010,0.6,6368,10701349,84.8,995696,13457118,100.0,1354028,558677,4.2,67644,262875,2.0,27811,914634,6.8,116424,11720932,87.1,1142149,56823,0.4,2954,74444,0.6,7637,11589665,86.1,1131558,12368979,100.0,566904,4.6,291908,2.4,943166,7.6,10567001,85.4,57290,0.5,78469,0.6,10431242,84.3,11285717,100.0,582399,5.2,323120,2.9,977428,8.7,9402770,83.3,58388,0.5,78735,0.7,9265647,82.1,11731552,100.0,640801,5.5,355813,3.0,1148463,9.8,9586475,81.7,108852,0.9,81759,0.7,9395864,80.1,11115900,100.0,566241,5.1,338534,3.0,1022860,9.2,9188265,82.7,64659,0.6,81096,0.7,9042510,81.3,10147215,100.0,606106,6.0,353090,3.5,986907,9.7,8201112,80.8,66293,0.7,77791,0.8,8057028,79.4,8044514,100.0,633949,7.9,346183,4.3,951974,11.8,6112408,76.0,64229,0.8,68759,0.9,5979420,74.3
"1월",1144606,100.0,92984,51228,4.5,6490,23613,2.1,2048,96952,8.5,9301,972813,85.0,75145,4897,0.4,213,5702,0.5,462,962217,84.1,74470,1016480,100.0,95407,50252,4.9,6317,23257,2.3,2309,93693,9.2,10168,849278,83.6,76612,4896,0.5,224,5622,0.6,535,838760,82.5,75851,968132,100.0,101354,51371,5.3,6649,23319,2.4,2506,96841,10.0,11266,796599,82.3,80931,5315,0.7,266,5664,0.7,605,785620,80.9,80060,1191104,100.0,127422,49954,4.2,6527,22232,1.9,2514,90172,7.6,11425,1028746,86.4,106956,4932,0.4,266,5903,0.5,655,1017911,85.5,106035,1173424,100.0,51094,4.4,24113,2.1,96113,8.2,1002104,85.3,5153,0.4,7235,0.6,989716,84.3,996617,-,50706,-,27092,-,92295,-,826524,-,4979,-,7029,-,814516,-,981469,100.0,56018,5.7,28808,2.9,109658,11.2,786985,80.2,8374,0.9,6839,0.7,771772,78.6,990412,100.0,52439,5.3,29661,3.0,101765,10.3,806547,81.4,5648,0.6,7017,0.7,793882,80.2,972034,100.0,53152,5.5,29535,3.0,98402,10.1,790945,81.4,5993,0.6,6842,0.7,778110,80.0,731261,100.0,52958,7.2,29026,4.0,93311,12.8,555966,76.0,5798,0.8,6487,0.9,543681,74.3
"2월",956514,100.0,80883,51603,5.4,6646,19736,2.1,1791,93423,9.8,9046,791752,82.8,63400,4604,0.5,201,4736,0.5,394,782412,81.8,62805,940976,100.0,90855,50839,5.4,6442,15901,1.7,1716,93260,9.9,10293,780976,83.0,72402,4751,0.5,217,5658,0.6,550,770567,81.9,71635,888897,100.0,94202,50490,5.7,6525,22692,2.6,2495,90963,10.2,11039,724751,81.5,74142,5121,0.7,259,5112,0.7,559,714517,80.1,73323,1034214,100.0,115983,50510,4.9,6666,21598,2.1,2465,86530,8.4,11145,875576,84.7,95707,4542,0.4,242,5277,0.5,609,865757,83.7,94856,975497,100.0,50423,5.2,23466,2.4,91068,9.2,810540,83.2,4780,0.5,6221,0.6,799539,82.0,861277,-,51818,-,27917,-,95774,-,685768,-,4687,-,6202,-,674879,-,951333,100.0,56619,6.0,28784,3.0,111106,11.7,754824,79.3,8436,0.9,6505,0.7,739883,77.8,903186,100.0,53027,5.9,28856,3.2,103577,11.5,717726,79.5,5496,0.6,6109,0.7,706121,78.2,827976,100.0,51740,6.2,27329,3.3,92070,11.1,656837,79.3,5568,0.7,5761,0.7,645508,78.0,648738,100.0,53410,8.2,27113,4.2,89649,13.8,478566,73.8,5416,0.8,6201,1.0,466949,72.0
"3월",1064169,100.0,75698,43456,4.1,4496,18613,1.7,1483,77192,7.3,7199,924908,86.9,62520,3948,0.4,174,5955,0.6,406,915005,86.0,61940,1112182,100.0,86703,46295,4.2,5330,31978,2.9,2668,82128,7.4,8458,951781,85.6,70245,4193,0.4,192,6025,0.5,462,941563,84.7,69590,1129862,100.0,97436,44122,3.9,4956,21756,1.9,2020,75431,6.7,8751,988551,87.5,81708,4349,0.4,221,5748,0.6,490,978453,86.5,80996,1230742,100.0,109295,44554,3.6,5185,21182,1.7,2057,76666,6.2,9224,1088340,88.4,92829,3910,0.3,208,6180,0.5,551,1078250,87.6,92070,1095812,100.0,44642,4.1,24536,2.2,78405,7.1,948229,86.6,4168,0.4,7025,0.6,937036,85.5,1070843,-,46453,-,28116,-,82167,-,914107,-,4080,-,6945,-,903082,-,1002642,100.0,49285,4.9,29770,3.0,94362,9.4,829225,82.7,7206,0.7,7127,0.7,814892,81.3,965265,100.0,46460,4.8,28424,2.9,81443,8.4,808938,83.8,4521,0.5,6832,0.7,797585,82.6,1027464,100.0,46071,4.5,28874,2.8,77853,7.6,874666,85.1,4858,0.5,6991,0.7,862817,84.0,684037,100.0,50511,7.4,27629,4.0,74951,11.0,530946,77.6,4808,0.7,6553,1.0,519585,76.0
"4월",1033543,100.0,74511,45726,4.4,5111,17628,1.7,1366,75158,7.3,6535,895031,86.6,61499,4021,0.4,179,5539,0.5,384,885471,85.7,60936,1007060,100.0,79296,46727,4.6,5413,21064,2.1,1746,76558,7.6,7268,862711,85.7,64867,4091,0.4,186,5999,0.6,455,852621,84.7,64225,1020170,100.0,89343,46543,4.6,5491,21775,2.1,1968,74878,7.3,7935,876973,86.0,73947,4641,0.5,232,5526,0.6,479,866804,84.8,73235,1169335,100.0,105018,46324,4.0,5541,21341,1.8,1964,72322,6.2,8051,1029348,88.0,89462,4137,0.4,217,6261,0.5,562,1018950,87.1,88683,1146775,100.0,46905,4.1,23418,2.0,76946,6.7,999506,87.2,4275,0.4,6867,0.6,988364,86.2,991878,-,46870,-,25735,-,76743,-,842530,-,4259,-,6292,-,831979,-,940029,100.0,52165,5.5,25925,2.8,91940,9.8,769999,81.9,7380,0.8,7199,0.8,755420,80.4,940106,100.0,47558,5.1,26270,2.8,77797,8.3,788481,83.9,4748,0.5,6791,0.7,776942,82.6,951957,100.0,47936,5.0,28575,3.0,77816,8.2,797630,83.8,5204,0.5,6691,0.7,785735,82.5,684376,100.0,51961,7.6,25498,3.7,71440,10.4,535477,78.2,5177,0.8,6294,0.9,524006,76.6
"5월",1045082,100.0,72160,43190,4.1,4589,16669,1.6,1320,66333,6.3,6039,918890,87.9,60212,3812,0.4,172,5397,0.5,368,909699,87.0,59672,1055464,100.0,81028,42994,4.1,4615,19657,1.9,1662,66570,6.3,6654,926243,87.8,68096,4049,0.4,184,6107,0.6,462,916087,86.8,67448,1075465,100.0,93793,43759,4.1,4892,20540,1.9,1897,68062,6.3,7644,943103,87.7,79359,4511,0.5,229,5845,0.6,498,932747,86.6,78631,1131706,100.0,100486,43416,3.8,4888,20354,1.8,1882,65048,5.7,7551,1002888,88.6,86165,4169,0.4,215,6367,0.6,562,992352,87.7,85388,1062149,100.0,43390,4.1,20991,2.0,69313,6.5,928455,87.4,4199,0.4,6439,0.6,917817,86.4,1018398,-,43684,-,24732,-,69418,-,880564,-,4194,-,6447,-,869923,-,941724,100.0,48393,5.1,27225,2.9,82118,8.7,783988,83.3,7474,0.8,7196,0.8,769318,81.7,974041,100.0,44876,4.6,25824,2.7,72017,7.4,831324,85.3,4583,0.5,6974,0.7,819767,84.2,923915,100.0,45283,4.9,27089,2.9,71934,7.8,779609,84.4,4981,0.5,6714,0.7,767914,83.1,632397,100.0,48146,7.6,25853,4.1,68387,10.8,490011,77.5,4898,0.8,4329,0.7,480784,76.0
