"월별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"월별(1)",합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"월별(1)",소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%),소계,점유율 (%)
"1월",731261,100.0,52958,7.2,29026,4.0,93311,12.8,555966,76.0,5798,0.8,6487,0.9,543681,74.3,802946,100.0,57343,7.1,31849,4.0,94842,11.8,618912,77.1,5459,0.7,6602,0.8,606851,75.6,925139,100.0,55912,6.0,32024,3.5,97825,10.6,739378,79.9,39016,4.2,6279,0.7,694083,75.0
"2월",648738,100.0,53410,8.2,27113,4.2,89649,13.8,478566,73.8,5416,0.8,6201,1.0,466949,72.0,719401,100.0,54602,7.6,27753,3.9,88199,12.3,548847,76.3,5351,0.7,6063,0.8,537433,74.7,794531,100.0,55335,7.0,30001,3.8,95303,12.0,613892,77.3,37975,4.8,5808,0.7,570109,71.8
"3월",684037,100.0,50511,7.4,27629,4.0,74951,11.0,530946,77.6,4808,0.7,6553,1.0,519585,76.0,750653,100.0,48761,6.5,30768,4.1,76631,10.2,594493,79.2,4563,0.6,6617,0.9,583313,77.7,920931,100.0,49788,5.4,32212,3.5,81924,8.9,757007,82.2,40812,4.4,6340,0.7,709855,77.1
"4월",684376,100.0,51961,7.6,25498,3.7,71440,10.4,535477,78.2,5177,0.8,6294,0.9,524006,76.6,798609,100.0,49887,6.2,29482,3.7,75516,9.5,643724,80.6,4980,0.6,6589,0.8,632155,79.2,832093,100.0,50561,6.1,31360,3.8,78854,9.5,671318,80.7,39958,4.8,6477,0.8,624883,75.1
"5월",632397,100.0,48146,7.6,25853,4.1,68387,10.8,490011,77.5,4898,0.8,4329,0.7,480784,76.0,856015,100.0,47586,5.6,27821,3.3,70536,8.2,710072,83.0,4857,0.6,6770,0.8,698445,81.6,859707,100.0,47153,5.5,30424,3.5,74242,8.6,707888,82.3,40622,4.7,6145,0.7,661121,76.9
"6월",543314,100.0,49132,9.0,28385,5.2,74905,13.8,390892,71.9,5060,0.9,3328,0.6,382504,70.4,720030,100.0,48928,6.8,31489,4.4,75559,10.5,564054,78.3,5124,0.7,6428,0.9,552502,76.7,766774,100.0,49956,6.5,33194,4.3,81687,10.7,601937,78.5,40890,5.3,6051,0.8,554996,72.4
