연도,월,가정용_사용량,공공용_사용량,서비스업_사용량,산업용_사용량,총사용량,계절,가정용_사용량_계절조정,공공용_사용량_계절조정,서비스업_사용량_계절조정,산업용_사용량_계절조정
2020,1,731261,52958,29026,93311,906556,겨울,641608,47302,22892,96735
2020,2,648738,53410,27113,89649,818910,겨울,569202,47705,21384,92939
2020,3,684037,50511,27629,74951,837128,봄,684037,50511,27629,74951
2020,4,684376,51961,25498,71440,833275,봄,684376,51961,25498,71440
2020,5,632397,48146,25853,68387,774783,봄,632397,48146,25853,68387
2020,6,543314,49132,28385,74905,695736,여름,470618,41344,24308,77167
2020,7,654135,49994,31149,77179,812457,여름,566611,42069,26676,79509
2020,8,682802,64734,32919,88662,869117,여름,591443,54473,28191,91339
2020,9,698838,64175,31062,88807,882882,가을,627276,58251,28940,90236
2020,10,698962,47901,26855,68762,842480,가을,627388,43479,25020,69869
2020,11,680381,49155,28644,72843,831023,가을,610709,44617,26687,74015
2020,12,705273,51872,32050,83078,872273,겨울,618806,46332,25277,86126
2021,1,802946,57343,31849,94842,986980,겨울,704504,51218,25119,98322
2021,2,719401,54602,27753,88199,889955,겨울,631202,48770,21888,91435
2021,3,750653,48761,30768,76631,906813,봄,750653,48761,30768,76631
2021,4,798609,49887,29482,75516,953494,봄,798609,49887,29482,75516
2021,5,856015,47586,27821,70536,1001958,봄,856015,47586,27821,70536
2021,6,720030,48928,31489,75559,876006,여름,623689,41172,26967,77840
2021,7,753197,55570,32048,83646,924461,여름,652419,46762,27445,86172
2021,8,802243,72233,34241,96992,1005709,여름,694902,60784,29323,99921
2021,9,752025,55720,29972,83370,921087,가을,675017,50577,27924,84712
2021,10,792603,49952,30239,75906,948700,가을,711440,45341,28173,77128
2021,11,784919,50039,30771,76389,942118,가을,704543,45420,28669,77618
2021,12,832425,98337,32953,84693,1048408,겨울,730369,87834,25990,87801
2022,1,925139,55912,32024,97825,1110900,겨울,811716,49940,25257,101415
2022,2,794531,55335,30001,95303,975170,겨울,697121,49425,23661,98800
2022,3,920931,49788,32212,81924,1084855,봄,920931,49788,32212,81924
2022,4,832093,50561,31360,78854,992868,봄,832093,50561,31360,78854
2022,5,859707,47153,30424,74242,1011526,봄,859707,47153,30424,74242
2022,6,766774,49956,33194,81687,931611,여름,664179,42037,28427,84153
2022,7,859935,64374,35081,95943,1055333,여름,744875,54170,30043,98840
2022,8,836922,71864,35628,102463,1046877,여름,724941,60473,30511,105557
2022,9,552824,56967,32050,86739,728580,가을,496214,51708,29860,88135
2022,10,614845,47980,30078,75018,767921,가을,551884,43551,28023,76225
2022,11,686015,48937,30693,76663,842308,가을,615767,44420,28596,77897
2022,12,789352,51447,35261,87102,963162,겨울,692577,45952,27810,90298
