연도,월,가정용_사용량,공공용_사용량,서비스업_사용량,산업용_사용량,총사용량
2019,1,53152,29535,98402,790945,972034
2019,2,51740,27329,92070,656837,827976
2019,3,46071,28874,77853,874666,1027464
2019,4,47936,28575,77816,797630,951957
2019,5,45283,27089,71934,779609,923915
2019,6,45992,28402,76030,661420,811844
2019,7,48395,30171,78128,731774,888468
2019,8,67730,34009,97134,694831,893704
2019,9,55277,30573,86636,536206,708692
2019,10,46984,28745,73319,580196,729244
2019,11,47612,28792,73715,536813,686932
2019,12,49934,30996,83870,560185,724985
2020,1,52958,29026,93311,555966,731261
2020,2,53410,27113,89649,478566,648738
2020,3,50511,27629,74951,530946,684037
2020,4,51961,25498,71440,535477,684376
2020,5,48146,25853,68387,490011,632397
2020,6,49132,28385,74905,390892,543314
2020,7,49994,31149,77179,495813,654135
2020,8,64734,32919,88662,496487,682802
2020,9,64175,31062,88807,514794,698838
2020,10,47901,26855,68762,555444,698962
2020,11,49155,28644,72843,529739,680381
2020,12,51872,32050,83078,538273,705273
2021,1,57343,31849,94842,618912,802946
2021,2,54602,27753,88199,548847,719401
2021,3,48761,30768,76631,594493,750653
2021,4,49887,29482,75516,643724,798609
2021,5,47586,27821,70536,710072,856015
2021,6,48928,31489,75559,564054,720030
2021,7,55570,32048,83646,581933,753197
2021,8,72233,34241,96992,598777,802243
2021,9,55720,29972,83370,582963,752025
2021,10,49952,30239,75906,636506,792603
2021,11,50039,30771,76389,627720,784919
2021,12,98337,32953,84693,616442,832425
2022,1,55912,32024,97825,739378,925139
2022,2,55335,30001,95303,613892,794531
2022,3,49788,32212,81924,757007,920931
2022,4,50561,31360,78854,671318,832093
2022,5,47153,30424,74242,707888,859707
2022,6,49956,33194,81687,601937,766774
2022,7,64374,35081,95943,664537,859935
2022,8,71864,35628,102463,626967,836922
2022,9,56967,32050,86739,377068,552824
2022,10,47980,30078,75018,461769,614845
2022,11,48937,30693,76663,529722,686015
2022,12,51447,35261,87102,615542,789352
2023,1,62933,38816,123384,683574,908707
2023,2,61297,35214,117607,651304,865422
2023,3,53296,34610,95003,774347,957256
2023,4,54939,32792,91922,703260,882913
2023,5,52974,31954,88087,681641,854656
2023,6,55265,34256,94905,619855,804281
2023,7,65459,37632,104563,613672,821326
2023,8,84598,37886,120736,569064,812284
2023,9,69464,37259,111177,582271,800171
2023,10,55518,30572,90540,663187,839817
2023,11,55100,29500,91340,546558,722498
2023,12,58949,38396,104995,644238,846578
