연도,월,가정용_사용량,공공용_사용량,서비스업_사용량,산업용_사용량,총사용량
2011,1,4,2,8,85,99
2011,2,5,2,9,82,98
2011,3,4,1,7,86,98
2011,4,4,1,7,86,98
2011,5,4,1,6,87,98
2011,6,4,1,6,87,98
2011,7,4,2,8,84,98
2011,8,5,2,9,82,98
2011,9,5,2,8,84,99
2011,10,4,1,6,87,98
2011,11,4,2,7,86,99
2011,12,4,2,7,86,99
2012,1,4,2,9,83,98
2012,2,5,1,9,83,98
2012,3,4,2,7,85,98
2012,4,4,2,7,85,98
2012,5,4,1,6,87,98
2012,6,4,1,6,87,98
2012,7,4,2,7,85,98
2012,8,6,2,9,81,98
2012,9,5,2,8,84,99
2012,10,4,2,6,86,98
2012,11,4,2,7,86,99
2012,12,4,2,8,84,98
2013,1,5,2,10,82,99
2013,2,5,2,10,81,98
2013,3,3,1,6,87,97
2013,4,4,2,7,86,99
2013,5,4,1,6,87,98
2013,6,4,2,6,87,99
2013,7,4,2,7,85,98
2013,8,6,2,9,81,98
2013,9,4,2,7,85,98
2013,10,3,1,6,88,98
2013,11,4,1,6,87,98
2013,12,3,1,6,87,97
2014,1,4,1,7,86,98
2014,2,4,2,8,84,98
2014,3,3,1,6,88,98
2014,4,4,1,6,88,99
2014,5,3,1,5,88,97
2014,6,3,1,5,88,97
2014,7,3,2,6,87,98
2014,8,5,2,8,84,99
2014,9,4,2,6,86,98
2014,10,3,1,5,88,97
2014,11,4,2,6,86,98
2014,12,4,2,7,85,98
2015,1,4,2,8,85,99
2015,2,5,2,9,83,99
2015,3,4,2,7,86,99
2015,4,4,2,6,87,99
2015,5,4,2,6,87,99
2015,6,4,2,6,86,98
2015,7,4,2,7,85,98
2015,8,6,2,9,82,99
2015,9,4,2,7,84,97
2015,10,4,2,6,87,99
2015,11,5,2,8,83,98
2015,12,4,2,8,83,97
2017,1,5,2,11,80,98
2017,2,6,3,11,79,99
2017,3,4,3,9,82,98
2017,4,5,2,9,81,97
2017,5,5,2,8,83,98
2017,6,5,3,9,81,98
2017,7,5,3,10,80,98
2017,8,6,3,10,79,98
2017,9,5,3,9,81,98
2017,10,4,2,8,84,98
2017,11,4,2,8,84,98
2017,12,5,3,10,81,99
2018,1,5,3,10,81,99
2018,2,5,3,11,79,98
2018,3,4,2,8,83,97
2018,4,5,2,8,83,98
2018,5,4,2,7,85,98
2018,6,5,3,8,82,98
2018,7,0,3,9,86,98
2018,8,8,3,11,77,99
2018,9,5,3,9,81,98
2018,10,5,2,7,84,98
2018,11,5,3,8,82,98
2018,12,5,3,8,83,99
2019,1,5,3,10,81,99
2019,2,6,3,11,79,99
2019,3,4,2,7,85,98
2019,4,5,3,8,83,99
2019,5,4,2,7,84,97
2019,6,5,3,9,81,98
2019,7,5,3,8,82,98
2019,8,7,3,10,77,97
2019,9,7,4,12,75,98
2019,10,6,3,10,79,98
2019,11,6,4,10,78,98
2019,12,6,4,11,77,98
2020,1,7,4,12,76,99
2020,2,8,4,13,73,98
2020,3,7,4,11,77,99
2020,4,7,3,10,78,98
2020,5,7,4,10,77,98
2020,6,9,5,13,71,98
2020,7,7,4,11,75,97
2020,8,9,4,13,72,98
2020,9,9,4,12,73,98
2020,10,6,3,9,79,97
2020,11,7,4,10,77,98
2020,12,7,4,11,76,98
