연도,월,계절,가정용사용량,공공용사용량,서비스업사용량,산업용사용량,총사용량
2011,1,겨울,51228,23613,96952,972813,1144606
2011,2,겨울,51603,19736,93423,791752,956514
2011,3,봄,43456,18613,77192,924908,1064169
2011,4,봄,45726,17628,75158,895031,1033543
2011,5,봄,43190,16669,66333,918890,1045082
2011,6,여름,43437,18895,68054,876518,1006904
2011,7,여름,45159,21721,75146,774847,916873
2011,8,여름,49842,23239,82059,723390,878530
2011,9,가을,46510,18984,75396,760971,901861
2011,10,가을,42560,19419,65860,890838,1018677
2011,11,가을,45535,19814,69872,859121,994342
2011,12,겨울,46577,20873,79588,909693,1056731
2012,1,겨울,50252,23257,93693,849278,1016480
2012,2,겨울,50839,15901,93260,780976,940976
2012,3,봄,46295,31978,82128,951781,1112182
2012,4,봄,46727,21064,76558,862711,1007060
2012,5,봄,42994,19657,66570,926243,1055464
2012,6,여름,42842,19966,67627,902560,1032995
2012,7,여름,43594,22722,71533,831662,969511
2012,8,여름,55114,22787,86528,736990,901419
2012,9,가을,47851,20282,77020,796397,941550
2012,10,가을,42783,19009,64932,832341,959065
2012,11,가을,45662,20463,71251,858569,995945
2012,12,겨울,47504,23623,84635,847537,1003299
2013,1,겨울,51371,23319,96841,796599,968132
2013,2,겨울,50490,22692,90963,724751,888897
2013,3,봄,44122,21756,75431,988551,1129862
2013,4,봄,46543,21775,74878,876973,1020170
2013,5,봄,43759,20540,68062,943103,1075465
2013,6,여름,43800,21086,68763,919191,1052842
2013,7,여름,46836,24486,77308,880990,1029621
2013,8,여름,61224,23320,92403,782798,959747
2013,9,가을,51380,21696,79838,890474,1043390
2013,10,가을,43161,20206,65771,972501,1101641
2013,11,가을,45496,20756,69620,982847,1118721
2013,12,겨울,46753,23610,80403,1066565,1217351
2014,1,겨울,49954,22232,90172,1028746,1191104
2014,2,겨울,50510,21598,86530,875576,1034214
2014,3,봄,44554,21182,76666,1088340,1230742
2014,4,봄,46324,21341,72322,1029348,1169335
2014,5,봄,43416,20354,65048,1002888,1131706
2014,6,여름,44297,21357,68118,1011747,1145519
2014,7,여름,44927,24602,74775,998942,1143246
2014,8,여름,51734,21961,84252,843081,1001028
2014,9,가을,46165,21677,74446,938634,1080922
2014,10,가을,43165,20564,68517,1055076,1187322
2014,11,가을,46024,21469,72217,928523,1068233
2014,12,겨울,47607,24538,81571,920031,1073747
2015,1,겨울,51094,24113,96113,1002104,1173424
2015,2,겨울,50423,23466,91068,810540,975497
2015,3,봄,44642,24536,78405,948229,1095812
2015,4,봄,46905,23418,76946,999506,1146775
2015,5,봄,43390,20991,69313,928455,1062149
2015,6,여름,43772,22839,71412,917467,1055490
2015,7,여름,43767,25492,71906,830427,971592
2015,8,여름,58304,25825,88595,797321,970045
2015,9,가을,47416,25417,77514,824197,974544
2015,10,가을,43147,23863,67981,949970,1084961
2015,11,가을,46285,24419,72489,742596,885789
2015,12,겨울,47759,27529,81424,816189,972901
2016,1,겨울,50706,27092,92295,826524,996617
2016,2,겨울,51818,27917,95774,685768,861277
2016,3,봄,46453,28116,82167,914107,1070843
2016,4,봄,46870,25735,76743,842530,991878
2016,5,봄,43684,24732,69418,880564,1018398
2016,6,여름,44174,26091,73885,744276,888426
2016,7,여름,46238,27813,79434,747223,900708
2016,8,여름,62095,28881,95430,749835,936241
2016,9,가을,51936,27447,83205,714367,876955
2016,10,가을,44233,25252,70555,753076,893116
2016,11,가을,46801,25938,74701,751486,898926
2016,12,겨울,47391,28106,83821,793014,952332
2017,1,겨울,56018,28808,109658,786985,981469
2017,2,겨울,56619,28784,111106,754824,951333
2017,3,봄,49285,29770,94362,829225,1002642
2017,4,봄,52165,25925,91940,769999,940029
2017,5,봄,48393,27225,82118,783988,941724
2017,6,여름,48800,29559,86630,742293,907282
2017,7,여름,57003,32400,97640,781519,968562
2017,8,여름,63247,32870,105473,793689,995279
2017,9,가을,54804,32437,95732,791436,974409
2017,10,가을,49244,26709,82213,851659,1009825
2017,11,가을,51431,27187,87220,876060,1041898
2017,12,겨울,53792,34139,104371,824798,1017100
2018,1,겨울,52439,29661,101765,806547,990412
2018,2,겨울,53027,28856,103577,717726,903186
2018,3,봄,46460,28424,81443,808938,965265
2018,4,봄,47558,26270,77797,788481,940106
2018,5,봄,44876,25824,72017,831324,974041
2018,6,여름,46294,27505,76274,708199,858272
2018,7,여름,3642,29805,84914,740167,858528
2018,8,여름,74239,29949,104169,707556,915913
2018,9,가을,53967,28851,86789,747472,917079
2018,10,가을,46361,26415,71571,791889,936236
2018,11,가을,47666,27087,75516,724942,875211
2018,12,겨울,49712,29887,87028,815024,981651
2019,1,겨울,53152,29535,98402,790945,972034
2019,2,겨울,51740,27329,92070,656837,827976
2019,3,봄,46071,28874,77853,874666,1027464
2019,4,봄,47936,28575,77816,797630,951957
2019,5,봄,45283,27089,71934,779609,923915
2019,6,여름,45992,28402,76030,661420,811844
2019,7,여름,48395,30171,78128,731774,888468
2019,8,여름,67730,34009,97134,694831,893704
2019,9,가을,55277,30573,86636,536206,708692
2019,10,가을,46984,28745,73319,580196,729244
2019,11,가을,47612,28792,73715,536813,686932
2019,12,겨울,49934,30996,83870,560185,724985
2020,1,겨울,52958,29026,93311,555966,731261
2020,2,겨울,53410,27113,89649,478566,648738
2020,3,봄,50511,27629,74951,530946,684037
2020,4,봄,51961,25498,71440,535477,684376
2020,5,봄,48146,25853,68387,490011,632397
2020,6,여름,49132,28385,74905,390892,543314
2020,7,여름,49994,31149,77179,495813,654135
2020,8,여름,64734,32919,88662,496487,682802
2020,9,가을,64175,31062,88807,514794,698838
2020,10,가을,47901,26855,68762,555444,698962
2020,11,가을,49155,28644,72843,529739,680381
2020,12,겨울,51872,32050,83078,538273,705273
