Rank,Title,Genres,Tags,Where to Watch
1,Business Proposal,"Comedy, Romance, Drama","Boss-Employee Relationship, Secondary Couple, Contract Relationship, Fake Identity, Company President (CEO) Male Lead, Double Identity, Sismance, Rich Male Lead, Cheerful Female Lead, Rich Man/Poor Woman (Vote tags)","Seol In Ah in Business Proposal Korean Drama, suchimonster, Sin Ha Ri, Cha Seong Hun, Netflix, Lee Deok Hwa, King the Land, River Cloud, The Secret Life of My Secretary, scenophile, Love to Hate You, Swagoo, Edit Translation, Han Sul Hee, GeekyAmma, 사내 맞선, Comedy, Business Proposal poster, Choi Byung Chan in Business Proposal Korean Drama, Cheerful Female Lead, Read More, Hong Bo Hee, Her Private Life, Recs, Chemistry Kang Taemu and Shin Hari is On FIRE!!!, Episodes, Add Recommendations, View all (91), luckz, Reviews, Kim Min Gue in Business Proposal Korean Drama, Lee Deok Hwa in Business Proposal Korean Drama, Login, True Beauty, Kim Se Jeong, Feed, Ahn Hyo Seop, Which Couple is your Favourite?, Add Cast, Business Proposal Korean Drama photo, Yuichin, Discussions, What's Wrong with Secretary Kim, Timestamps/Spoilers, Kate, Company President (CEO) Male Lead, Fake Identity, Rich Male Lead, Kim Min Gue, Boss-Employee Relationship, Berry, Secondary Couple, Contract Relationship, Other reviews by this user, 8, Blossom, What do you think about episode 7, A Business Proposal Friends??, Details, Rich Man/Poor Woman, 6, Park Seon Ho, Edit this Page, Wavve, View all, Buy on Amazon, Write Review, Jin Yeong Seo, Business Proposal's Favorite Quotes, Seol In Ah, Cast, Choi Byung Chan, Photos, Kim Se Jeong in Business Proposal Korean Drama, Ahn Hyo Seop in Business Proposal Korean Drama, (Vote tags), Xia You Chu Yang, View all (627), Sismance, 555 users, Curious Business Proposal Story Y, Register, Romance, Vicky, Amaterasu, A Business Proposal, Drama, New Topic, Double Identity, Kang Tae Mu"
3,Vincenzo,"Comedy, Law, Crime, Drama","Mafia, Revenge, Slight Romance, Eccentric Female Lead, Smart Male Lead, Black Comedy, Badass Male Lead, Skilled Killer, Corruption, Slow Burn Romance (Vote tags)","QAS, Good Manager, Kayosai, Netflix, Vincenzo poster, Law, 빈센조, TVING, Vincenzo Korean Drama photo, Kwak Dong Yeon, Vincenzo: Special, Lawless Lawyer, Any guesses for the ending?, Skilled Killer, Edit Translation, dramaboo19, The Fiery Priest, xufeng_jinmi, The scenes in Italy are all CGI, Slow Burn Romance, Comedy, Read More, Black Comedy, Recs, OppasBitch, Episodes, Jo Han Chul, View all (294), Park Jae Bum, Feel that slow burn that is Vincha/Chayenzo, Revenge, Kwak Dong Yeon in Vincenzo Korean Drama, Add Recommendations, The Devil Judge, Ok Taec Yeon in Vincenzo Korean Drama, Reviews, Ok Taec Yeon, Links to Vincenzo promotional videos, Login, Vincenzo Cassano / Park Joo Hyung, 33, Jang Han Seo, Rina_a365, Feed, Smart Male Lead, Mindy, Jang Jun Woo / Jang Han Seok, Add Cast, 583 users, Big Mouth, Jo Han Chul in Vincenzo Korean Drama, 3, Slight Romance, Discussions, nastou19, Kim Yeo Jin, View all (159), Other reviews by this user, Tae Ho, Song Joong Ki in Vincenzo Korean Drama, Crime, Hyena, Jeon Yeo Been in Vincenzo Korean Drama, Details, Kim Yeo Jin in Vincenzo Korean Drama, Edit this Page, Corruption, Eccentric Female Lead, Song Joong Ki, Buy on Amazon, View all, Write Review, Speculations on the delay?, Choi Myung Hee, Toot, Cast, Cha Young is turning out to be my favourite FL of all time!, Mafia, Photos, (Vote tags), Kim Hee Won, Register, Hong Cha Young, Jeon Yeo Been, kokovibes_0202, Badass Male Lead, Drama, New Topic, Ivy"
5,Squid Game,"Action, Thriller, Mystery, Drama","Death, Death Game, Poor Male Lead, Debt, Competition, Survival, Murder, Suspense, Friends To Enemies, Massacre (Vote tags)","Hwang Dong Hyuk, Squid Game Korean Drama photo, Thriller, Netflix, 13, O Yeong Su in Squid Game Korean Drama, Cho Sang U / ""No. 218"", Ali Abdul / ""No. 199"", JustHonestReviewer, Death, Saygo, Friends To Enemies, Viviana99, Murder, Edit Translation, Gyro_Z, whos excited??, Poor Male Lead, Lee Jung Jae, 21, Read More, Survival, O Il Nam / ""No. 001"", Kang Sae Byeok / ""No. 067"", Recs, Episodes, Park Hae Soo, Add Recommendations, As the Gods Will, Massacre, Reviews, Wi Ha Joon, Login, What do you think would happen in season 2?, Dramanogu, Feed, Liar Game, Add Cast, O Yeong Su, Seong Gi Hun / ""No. 456"", Anupam Tripathi, Hwang Jun Ho, Discussions, Squid Game poster, WandereR, Tainooz Gaming, Squid Game Season 2, Wi Ha Joon in Squid Game Korean Drama, Anupam Tripathi in Squid Game Korean Drama, WHICH OTHER KDRAMA CHARACTERS WOULD PARTICIPATE IN ''SQUID GAME '' TO COMPETE FOR THE \45 BILLION?, Other reviews by this user, 266 users, Alice in Borderland, Battle Royale, estrgrace7, Sunset, Competition, Action, Details, 오징어 게임, Mystery, Edit this Page, Something Like This OR Better ?, Lee Jung Jae in Squid Game Korean Drama, View all, Buy on Amazon, Park Hae Soo in Squid Game Korean Drama, Write Review, Debt, Spoilers: Clarifications on character back stories and the show, Proxy, tanya, View all (88), Jung Ho Yeon in Squid Game Korean Drama, newgrl, Cast, View all (139), Suspense, Photos, (Vote tags), The 8 Show, Jung Ho Yeon, Register, Death Game, Drama, New Topic, New role in Squid game"
7,Alchemy of Souls,"Action, Historical, Romance, Fantasy","Transmigration, Master-Disciple Relationship, Supernatural, Hidden Identity, Body Swap, Elemental Power, Fake Identity, Comedy, Master-Servant Relationship, Flashback To Past (Vote tags)","Love between Fairy and Devil, Netflix, mashii271, Alchemy of Souls Season 2: Light and Shadow, Jang Uk, Fangirl_7, 417 users, haruaui, Why was Mudeok/Naksu such a, Elemental Power, Hwang Min Hyun in Alchemy of Souls Korean Drama, Fantasy, Edit Translation, Oh Na Ra, Yoo Joon Sang, Hong Mi Ran, Comedy, Master-Servant Relationship, Read More, View all (109), Kim Do Ju, Lee Jae Wook, Recs, Episodes, Alchemy of Souls Korean Drama photo, Music43v3r, View all (392), Dokuwan, Transmigration, Mu Deok, Jung So Min, Add Recommendations, Shin Seung Ho, Reviews, Supernatural, Login, Seo Yul, Hidden Identity, Feed, rika, AOS - MuDeok's thinking voice is Go Yoon Jung's voice, not JSM, The Untamed, Body Swap, 환혼, 43, Add Cast, Hong Jeong Eun, Discussions, Oh Na Ra in Alchemy of Souls Korean Drama, Thoughts on season 2, Lee Jae Wook in Alchemy of Souls Korean Drama, Winter, I have a question...?, Fake Identity, Music Video Idea, Alchemy of Souls poster, Master-Disciple Relationship, Jung So Min in Alchemy of Souls Korean Drama, Park Jin, Yoo  Joon Sang in Alchemy of Souls Korean Drama, Other reviews by this user, jxxvvxxkstan, Bulgasal: Immortal Souls, Hwang Min Hyun, Lovers of the Red Sky, Action, Flashback To Past, Details, Shin Seung Ho in Alchemy of Souls Korean Drama, Conservative Torch, Annette, Edit this Page, View all, Buy on Amazon, Write Review, Cast, Historical, Photos, (Vote tags), Your wildest theories about AoS(part 2), Moon Lovers: Scarlet Heart Ryeo, Register, 4, Romance, the_sapio_nerd, Go Won, Park Joon Hwa, New Topic"
9,Weak Hero Class 1,"Action, Youth, Drama","Student Male Lead, Teenager Male Lead, Violence, Friendship, School Bullying, School Setting, Bromance, Skilled Fighter, High School, Introverted Male Lead (Vote tags)","Bromance, Lee Yeon, View all (132), Youth, Netflix, Weak Hero Class 1 poster, DramasBMH, Pyramid Game, 약한영웅 Class 1, Kim Su Gyeom, Yeong I, Edit Translation, Hong Kyung, Viki, Jeon Seok Dae, Park Dhan Hee, AnthonyH, 14, Park Ji Hoon in Weak Hero Class 1 Korean Drama, Queer, Violence, wrongtryitagain, Read More, Recs, Episodes, Lee Yeon in Weak Hero Class 1 Korean Drama, Extracurricular, Choi Hyun Wook in Weak Hero Class 1 Korean Drama, Hong Kyung in Weak Hero Class 1 Korean Drama, Mary, Choi Hyun Wook, Introverted Male Lead, Add Recommendations, Study Group, Shin Seung Ho, Prime Video, Reviews, Login, ggtt, High School, Kocowa, Feed, Yeon Si Eun / Gray Yeon, Weak Hero Class 1: An Elegy on Youth Fragility, Add Cast, Weak Hero Class 2, High School Return of a Gangster, Discussions, Teenager Male Lead, Student Male Lead, School Setting, 407 users, Kim Su Gyeom in Weak Hero Class 1 Korean Drama, Other reviews by this user, Friendship, Webtoon or kdrama first?, crayrules, How to watch Weak Hero?, chrome_toaster, Action, Korean character names from the Webtoon, School Bullying, Details, 1, Edit this Page, Wavve, Weak Hero Class 1: Behind the Scenes, View all, Buy on Amazon, AllyCat29, Write Review, nini, Opening Song HERO English Translation, An Su Ho / Stephen An, Cast, Photos, (Vote tags), Shin Seung Ho in Weak Hero Class 1 Korean Drama, The Glory, Cho Na, Register, Weak Hero Class 1 Korean Drama photo, View all (44), O Beom Seok / Bryce O, Yoo Su Min, Skilled Fighter, Bluebell5, Park Ji Hoon, Drama, New Topic, iQIYI, metrikfire, Suho's intervention: Si Eun vs Bum Seok, D.P."
11,Twinkling Watermelon,"Romance, Youth, Drama, Fantasy","Time Travel, Child From The Future, Deafness, Sign Language, Father-Son Relationship, 1990s, Music, Coming Of Age, Friendship, Comedy (Vote tags)","What's your favourite OST from this drama?, View all (78), Youth, Shin Eun Soo in Twinkling Watermelon Korean Drama, 18 Again, Netflix, Twinkling Watermelon poster, TVING, Fanvids for Twinkling Watermelon, Child From The Future, Fantasy, Coming Of Age, Peephole, Ha Eun Gyeol, A Time Called You, Edit Translation, Bong Jae Hyun in Twinkling Watermelon Korean Drama, Viki, Sign Language, Comedy, Ha I Chan, Read More, Recs, Episodes, Choi Hyun Wook, Add Recommendations, Twinkling Watermelon Korean Drama photo, Castaway Diva, relationship scheme, Reviews, 491 users, Login, Lovely Runner, Feed, Add Cast, Jason Patrick, Kim Joo Ryoung, fl1ckz, Clarabela, View all (95), pomegranate, 3, Music, Discussions, Time Travel, Father-Son Relationship, Deafness, Ryeo Un, Bong Jae Hyun, Other reviews by this user, Friendship, LadySilka, Confused after Ep 1 - can big brother talk?, Son Jung Hyun, Choi Hyun Wook in Twinkling Watermelon Korean Drama, Details, 반짝이는 워터멜론, marguerite blakeney, My Perfect Stranger, 6, Edit this Page, Jin Soo Wan, Seol In Ah in Twinkling Watermelon Korean Drama, View all, Buy on Amazon, Write Review, Twenty Five Twenty One, Unreleased Scene - Twinkling Watermelon - CheongChan, Seol In Ah, just a girl, Cast, Photos, Coffee Lover01, (Vote tags), Kim Joo Ryoung in Twinkling Watermelon Korean Drama, Shin Eun Soo, Confused...?? (Spoilers), KellyBinMI, Register, Romance, Ryeo Un in Twinkling Watermelon Korean Drama, 1990s, Drama, Adri, New Topic"
13,Extraordinary Attorney Woo,"Law, Romance, Life, Drama","Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character, Slow Burn Romance (Vote tags)","Episode 11, Woo Yeong U, Han Seon Yeong, 333 users, Netflix, Workplace Setting, Why Am I Here, Law, View all (513), Father-Daughter Relationship, Lee Jun Ho, WYW Introductory Phrase, Kang Ki Young, Autistic Female Lead, Autistics On 《Extraordinary Attorney Woo》, nosnoop, Extraordinary Attorney Woo ^ OST ^, phelieros, Edit Translation, Smart Female Lead, Autism, Slow Burn Romance, Hala, Jung Myeong Seok, Read More, Recs, Episodes, FanFanX, Good Doctor, Attorney Female Lead, Add Recommendations, 이상한 변호사 우영우, Reviews, sp_oo_ks, Jeon Bae Soo in Extraordinary Attorney Woo Korean Drama, Jin Kyung in Extraordinary Attorney Woo Korean Drama, Login, Life, omo-omo-omo, Feed, AnnaFrost2390, It's Okay to Not Be Okay, Add Cast, Extraordinary Attorney Woo poster, IM YourOnlyOne, Episode 9 feedback, Discussions, Tae Su Mi, Move to Heaven, Courtroom Setting, Will there be a satisfying ending?, Nice Male Lead, Other reviews by this user, Woo Gwang Ho, She and Her Perfect Husband, Moon Ji Won, Kang Ki Young in Extraordinary Attorney Woo Korean Drama, Details, Yoo In Shik, Extraordinary Attorney Woo Korean Drama photo, Edit this Page, Park Eun Bin in Extraordinary Attorney Woo Korean Drama, Park Eun Bin, Innocent Witness, View all, Buy on Amazon, Write Review, Cast, Extraordinary Attorney Woo Season 2, Photos, Single Mother/Father Supporting Character, Miss Hammurabi, (Vote tags), kretuzerwilhelmxiii, Kang Tae Oh in Extraordinary Attorney Woo Korean Drama, 0, Baek Ji Won in Extraordinary Attorney Woo Korean Drama, View all (193), Jeon Bae Soo, Register, Romance, Jin Kyung, the_sapio_nerd, Kang Tae Oh, Drama, New Topic, Baek Ji Won, 11"
15,Hometown Cha-Cha-Cha,"Comedy, Romance, Life, Drama","Nice Male Lead, Character Development, Nice Female Lead, Cheerful Male Lead, Smart Female Lead, Hardworking Male Lead, Hardworking Female Lead, Opposites Attract, Village Setting, Healing (Vote tags)","Our Blues, Ji Sung Hyun, Read More, Lee Bong Ryun in Hometown Cha-Cha-Cha Korean Drama, Lee Bong Ryun, Jo Han Chul in Hometown Cha-Cha-Cha Korean Drama, Recs, Once upon a Small Town, Episodes, Edit this Page, Nice Female Lead, Hardworking Male Lead, Discussions, 382 users, Yoo Je Won, Opposites Attract, Add Cast, Buy on Amazon, Netflix, Jo Han Chul, Write Review, View all, create a discussion, Cheerful Male Lead, Shin Ha Eun, Summer Strike, Hometown Cha-Cha-Cha poster, TVING, Add Recommendations, Cast, Mr. Hong, Healing, Kim Seon Ho, Lee Sang Yi in Hometown Cha-Cha-Cha Korean Drama, Photos, In Gyo Jin, Yoon Hye Jin, (Vote tags), Shin Min Ah in Hometown Cha-Cha-Cha Korean Drama, 5, Shin Min Ah, Reviews, Nice Male Lead, Character Development, Other reviews by this user, Village Setting, Hong Doo Shik, Login, Life, Hometown Cha-Cha-Cha Korean Drama photo, 4, Register, Edit Translation, Romance, When the Camellia Blooms, Smart Female Lead, 갯마을 차차차, In Gyo Jin in Hometown Cha-Cha-Cha Korean Drama, the_sapio_nerd, Meet Yourself, Feed, View all (708), Drama, Hardworking Female Lead, View all (80), foxyjojar, New Topic, Lee Sang Yi, Welcome to Samdal-ri, Comedy, Kim Seon Ho in Hometown Cha-Cha-Cha Korean Drama, Details"
17,The Glory,"Thriller, Drama, Melodrama","Revenge, School Bullying, School Violence, Sexual Content, Social Issues, Doctor Male Lead, Antiheroine Female Lead, Nonlinear Narrative, Time Skip, Psychological (Vote tags)","The Glory Part 2, Thriller, Netflix, latteholic, Antiheroine Female Lead, Psychological, Shafkat, Edit Translation, The Glory Korean Drama photo, Luffy, Taxi Driver, TaliaToo, Jung Sung Il, barely here, ChanceGarrard, Lee Do Hyun in The Glory Korean Drama, View all (104), My Name, Read More, Im Ji Yeon in The Glory Korean Drama, Nonlinear Narrative, Recs, Episodes, Ahn Gil Ho, Park Yeon Jin, Revenge, Moon Dong Eun, Add Recommendations, The King of Pigs, Sexual Content, Reviews, Do you think the ending needs more?, Login, unterwegsimkoreanischenD, Melodrama, Feed, Ha Do Young, Yeom Hye Ran in The Glory Korean Drama, 더 글로리, Add Cast, Discussions, Doctor Male Lead, What Glory?, 227 users, Weak Hero Class 1, What kind of ending do you want/guess?, Social Issues, Episode 4's revenge, Other reviews by this user, Kim Eun Sook, Kang Hyun Nam, Revenge of Others, Park Sung Hoon, Jung Sung Il in The Glory Korean Drama, School Bullying, Episode 9's Doyoung unease inside the closet, Details, Park Sung Hoon in The Glory Korean Drama, 1, Time Skip, allmylifekdrama, Edit this Page, View all, Buy on Amazon, Write Review, Yeom Hye Ran, Cast, Photos, (Vote tags), Song Hye Kyo in The Glory Korean Drama, Joo Yeo Jung, The Glory poster, View all (79), Jeon Jae Jun, 4, Register, Song Hye Kyo, School Violence, Drama, New Topic, Im Ji Yeon, Disgursting Sheet, Lee Do Hyun"
19,Lovely Runner,"Music, Comedy, Romance, Fantasy","Butterfly Effect, Time Travel, Passionate Male Lead, Second Chance, Famous Male Lead, Time Altering, Love At First Sight, Famous Man/Common Woman, Determined Female Lead, Female Chases Male First (Vote tags)","Netflix, Suggest other name than ^Lovely Runner^ for the title..., Song Geon Hee, Priyankojit, Song Geon Hee in Lovely Runner Korean Drama, TVING, Byeon Woo Seok, Shining for One Thing, Jung Young Joo, 선재 업고 튀어, Ms Superman, Extraordinary You, Kim Hye Yoon, Seong Byung Sook, Fantasy, Lovely Runner OR Hidden Love??, A Time Called You, Edit Translation, Viki, Determined Female Lead, Comedy, Read More, Recs, Lee Shi Eun, Episodes, Lee Seung Hyub, Byeon Woo Seok in Lovely Runner Korean Drama, FanFanX, 462, Add Recommendations, Passionate Male Lead, Butterfly Effect, Reviews, DA202, Yoon Jong Ho, Login, Lovely Runner poster, Feed, o_reo123, Add Cast, 810 users, Links to News of Lovely Runner and Its Leads..., Music, Discussions, Time Travel, Second Chance, View all (97), View all (559), Blue Birthday, Famous Male Lead, Other reviews by this user, Newuserme, 51, Details, Runner Unwound, Time Altering, Jung Young Joo in Lovely Runner Korean Drama, Lovely Runner ^ OST ^, ASHES, Edit this Page, View all, Buy on Amazon, Write Review, Lovely Runner Korean Drama photo, MadelineMaureen, Official OST & Old Music Feature List - Every Episode Update, Seong Byung Sook in Lovely Runner Korean Drama, Timeline Breakdowns and Important Dates to Remember: SPOILERS(Updated to Ep 16), just a girl, Cast, Twinkling Watermelon, Photos, (Vote tags), Lee Seung Hyub in Lovely Runner Korean Drama, Female Chases Male First, Apple TV, Kim Tae Yub, Head over Heels, Register, Romance, Kim Hye Yoon in Lovely Runner Korean Drama, Love At First Sight, New Topic, Famous Man/Common Woman"
