"특성별(1)",특성별(2),2025,2025,2025,2025,2025,2025,2025,2025,2025
"특성별(1)",특성별(2),사례수 (명),동영상 콘텐츠의 종류가 다양해서 (%),시간 장소에 구애받지 않고 콘텐츠를 감상할 수 있어서 (%),OTT 서비스에서만 제공하는 콘텐츠를 감상하기 위해서 (%),콘텐츠 검색 메뉴 화면구성 등 이용이 편리해서 (%),연계된 제휴 서비스에 가입되어 있어서 (%),추천 알고리즘이 만족스러워서 (%),구독료가 합리적이라서 (%),할인 혜택/프로모션을 제공해서 (%)
"전체",소계,3729,75.7,64.1,60.2,31.1,21.7,16.2,15.4,8.6
"성별",남성,1845,75.7,64.2,59.1,30.9,22.2,17.1,15.7,8.8
"성별",여성,1884,75.8,64.0,61.3,31.3,21.1,15.3,15.0,8.4
"연령",10대,424,76.5,61.1,55.4,33.6,17.1,15.9,12.3,7.2
"연령",20대,713,78.4,68.1,65.4,32.4,26.5,17.4,14.5,8.5
"연령",30대,782,79.1,66.2,64.9,33.7,22.4,16.8,15.4,8.9
"연령",40대,790,76.8,64.7,58.9,29.1,25.2,14.6,18.1,8.2
"연령",50대,671,72.4,66.3,58.1,28.9,18.9,16.8,15.8,9.2
"연령",60대,282,72.9,52.5,52.2,23.7,11.2,14.5,12.6,7.4
"연령",70세 이상,67,36.7,36.4,50.4,45.6,20.5,16.8,18.4,17.1
