Rank,Title,Native Title,Genres,Tags,Where to Watch
1,Single’s Inferno,솔로지옥 시즌1,Romance,"Dating Show, Reality Show, Multiple Couples, Competition, Island Setting, Seaside Setting, Summer Setting, Friendship (Vote tags)",Netflix
2,Young Actors' Retreat,청춘MT,Comedy,"Teamwork, Variety Show, Outdoor Variety Show, Reality Show, Friendship (Vote tags)",
3,Single’s Inferno Season 2,솔로지옥 시즌2,Romance,"Dating Show, Multiple Couples, Reality Show, Summer Setting, Island Setting, Seaside Setting, Competition, Friendship (Vote tags)",Netflix
4,Single’s Inferno Season 3,솔로지옥 시즌3,Romance,"Blind Dating, Summer Setting, Island Setting, Seaside Setting, Dating Show, Multiple Couples, Competition, Reality Show, Friendship (Vote tags)",Netflix
5,Physical: 100,피지컬: 100,Sports,"Survival Show, Competition, Wrestling, Reality Show (Vote tags)",Netflix
6,Run BTS! 2022 Special Episode: Telepathy,달려라 방탄 2022 Special Episode 텔레파시,Comedy,"Pop Music, K-Pop, Variety Show, BTS (Vote tags)",
7,BTS in the Soop Season 2,인더숲BTS편 시즌2,"Adventure, Comedy, Life, Youth","Healing, BTS, Reality Show, Friendship, K-Pop, Pop Music, Vacation Setting, Travel Show (Vote tags)",
8,BTS in the Soop Season 2: Behind The Scene,,"Adventure, Comedy, Life, Youth","Pop Music, Vacation Setting, Healing, K-Pop, Travel Show, BTS, Reality Show, Friendship (Vote tags)",
9,Are You Sure?!,이게 맞아?!,"Adventure, Documentary","Variety Show, Travel Show, BTS, Friendship, Food, Vacation Setting, Family (Vote tags)",Disney+
10,Kingdom: Legendary War,킹덤: 레전더리 워,Music,"Competition, ATEEZ, IKON, SF9, Stray Kids, BTOB, Survival Show, The Boyz, Pop Music, LA POEM (Vote tags)",Viki
11,Run BTS! 2023 Special Episode: Mini Field Day,달려라 방탄! 2023 특집 - 미니 운동회,"Music, Comedy, Sports, Documentary","BTS, Friendship, Variety Show, K-Pop, Pop Music, Game Show (Vote tags)",
12,Boys Planet,보이즈 플래닛,Music,"Singing, K-Pop, Survival Show, Dance, Pentagon, Pop Music, ZeroBaseOne, Idol Show, EVNNE, XODIAC (Vote tags)","Viki, TVING"
13,The Devil's Plan,데블스 플랜,"Psychological, Comedy","Game Show, Variety Show, Survival Show, SEVENTEEN, Competition (Vote tags)",Netflix
14,His Man,남의연애 시즌1,"Romance, Life","Gay Romance, Dating Show, Reality Show, LGBTQ+, Vacation Setting, Matchmaking, Coming Out, Cohabitation, Love Square, Variety Show (Vote tags)","Viki, Netflix, iQiyi"
15,Nineteen to Twenty,19/20,"Romance, Life, Youth","School Setting, Housemates' Relationship, Cohabitation, Coming Of Age, Dating Show, Reality Show, Friendship (Vote tags)",Netflix
16,Jinny's Kitchen,서진이네,"Food, Adventure, Business","Restaurant Setting, Filmed Abroad, Friendship, Restaurant Management, Cooking Show, Variety Show, Travel Show, BTS, Reality Show (Vote tags)",TVING
17,Let's BTS,2021 스페셜 토크쇼 'Let’s BTS',"Music, Comedy","Pop Music, K-Pop, BTS, Talk Show (Vote tags)",Viki
18,In The Soop: Friendcation,인더숲: 우정여행,"Adventure, Comedy, Life","Reality Show, Travel Show, Friendship, BTS (Vote tags)",Disney+
19,Single’s Inferno Season 4,솔로지옥 시즌4,Romance,"Dating Show, Island Setting, Seaside Setting, Multiple Couples, Blind Dating, Summer Setting, Matchmaking, Competition, Reality Show, Friendship (Vote tags)",Netflix
20,Busted Season 3,범인은 바로 너! 3,"Mystery, Comedy","Murder, Game Show, Investigation, Hidden Agenda, EXO, Teamwork, Hidden Identity, Death, Corruption, Revenge (Vote tags)",Netflix
21,His Man Season 2,남의연애 시즌2,Romance,"LGBTQ+, Dating Show, Reality Show, Gay Romance, Matchmaking (Vote tags)","Wavve, Netflix, iQiyi"
22,Run BTS! 2023 Special Episode: Next Top Genius,달려라 방탄! 2023 스페셜 에피소드 - 넥스트 탑 지니어스,"Music, Comedy, Documentary","Pop Music, K-Pop, Variety Show, BTS, Friendship (Vote tags)",
23,Seventeen in the Soop,인더숲 SEVENTEEN편,"Adventure, Comedy","Pop Music, Vacation Setting, SEVENTEEN, Road Trip, K-Pop, Variety Show, Travel Show, Friendship (Vote tags)",Kocowa
24,Nana Tour with Seventeen,나나투어-세븐틴,"Adventure, Comedy","Pop Music, SEVENTEEN, K-Pop, Travel Show, Reality Show, Friendship (Vote tags)","Viki, Kocowa, TVING"
25,Single’s Inferno Season 5,솔로지옥 시즌5,Romance,"Blind Dating, Matchmaking, Dating Show, Multiple Couples, Competition, Reality Show, Friendship (Vote tags)",Netflix
26,Run BTS! 2022 Special Episode: Fly BTS Fly,Run BTS! 2022 Special Episode: Fly BTS Fly,"Comedy, Sports","Yoga, Variety Show, BTS (Vote tags)",
27,Seventeen in the Soop Season 2,인더숲 SEVENTEEN편 시즌2,"Adventure, Comedy","Pop Music, Vacation Setting, SEVENTEEN, Road Trip, Healing, K-Pop, Variety Show, Travel Show, Friendship (Vote tags)","Viki, Kocowa"
28,Culinary Class Wars,흑백요리사: 요리 계급 전쟁,"Food, Life","Cooking Show, Survival Show, Competition (Vote tags)",Netflix
29,Physical: 100 Season 2 - Underground,피지컬: 100 시즌2 - 언더그라운드,Sports,"Survival Show, Competition (Vote tags)",Netflix
30,EXO Arcade Season 2,보여줄게 EXO - 엑소오락관 시즌2,Comedy,"Pop Music, EXO-CBX, EXO, K-Pop, Variety Show, Competition, Reality Show, Game Show, Friendship (Vote tags)",
31,BTS Monuments: Beyond the Star,BTS MONUMENTS: BEYOND THE STAR,"Music, Documentary","Pop Music, Interview, K-Pop, BTS (Vote tags)",Disney+
32,Suchwita,슈취타,"Food, Music, Comedy","Talk Show, Drinking, BTS, Epik High, Big Bang, Tomorrow X Together, CNBLUE, SEVENTEEN, SHINee (Vote tags)",
33,Run BTS! 2022 Special Episode: 'Run BTS TV' On-air,달려라 방탄! 2022년 특집 - 'RUN BTS TV' 온에어,"Music, Comedy, Documentary","Pop Music, K-Pop, Variety Show, BTS, Friendship (Vote tags)",
34,Elite League,대학전쟁,"Psychological, Life","School Setting, Battle, Teamwork, University, Mathematics, Survival Show, Competition, Reality Show, Game Show (Vote tags)",
35,Nana Tour with Seventeen Uncut,나나투어-세븐틴 Uncut,"Adventure, Music, Comedy","SEVENTEEN, Variety Show, Travel Show, Friendship (Vote tags)",
36,Agents of Mystery,미스터리 수사단,"Thriller, Mystery, Supernatural","Investigation, Submarine Setting, Cult, Aespa, Girl's Day, Reality Show, Game Show, Suspense (Vote tags)",Netflix
37,Girls Planet 999,걸스 플래닛 999,Music,"K-Pop, Kep1er, Girls' Generation (SNSD), Survival Show, Cherry Bullet, Bvndit, WONDER GIRLS, CLC, Singing, Dance (Vote tags)","TVING, iQiyi"
38,Zombieverse,좀비버스,"Mystery, Horror, Comedy, Sci-Fi","Supernatural Being, Survival, Variety Show, Investigation, Supernatural, Zombies, Suspense (Vote tags)",Netflix
39,EXchange Season 2,환승연애 시즌2,"Romance, Life","Ex-couple Relationship, Girl's Day, Lovers Reunited, Victon, Break Up, GOT7, Cohabitation, Dating Show, Variety Show, Reality Show (Vote tags)",TVING
40,EXchange,환승연애,"Romance, Life","Dating Show, Reality Show, Rooftop Moonlight, Ex-couple Relationship, Uniq, X1, Girl's Day, Lovers Reunited, The Boyz, Break Up (Vote tags)",TVING
41,BTS Dinner Party (2022),BTS (방탄소년단) ‘찐 방탄회식’,"Music, Life","Pop Music, K-Pop, BTS, Friendship (Vote tags)",
42,Better Late than Single,모태솔로지만 연애는 하고 싶어,Romance,"Cohabitation, Dating Show, Variety Show, First Love, Reality Show, Friendship (Vote tags)",Netflix
43,Cityboy_Log,CITYBOY_LOG,"Romance, Youth","Gay Romance, Vlogging, LGBTQ+, Long Time Friends, Web Series, Difficult Adulthood, Share House Setting, T.A.N, Gay Male Lead, Gay Supporting Character (Vote tags)",
44,Sixth Sense Season 2,식스센스2,"Mystery, Comedy","Investigation, Variety Show, Lucky J, Lovelyz, Mamamoo, EXO, 2PM, Family Relationship, SHINee, Outdoor Variety Show (Vote tags)",
45,His Man Season 3,남의연애 시즌3,"Romance, Life","Gay Romance, Matchmaking, LGBTQ+, Dating Show, Reality Show (Vote tags)","Wavve, Netflix, iQiyi"
46,The Devil’s Plan Death Room,데블스 플랜: 데스룸,"Thriller, Psychological, Comedy","Loona, Super Junior, Variety Show, Survival Show, Competition, Game Show, Suspense (Vote tags)",Netflix
47,New World,신세계로부터,"Adventure, Comedy","Reality Show, K-Pop, Pop Music, Vacation Setting, Island Setting, Sechs Kies, EXO, Teamwork, Loona, Super Junior (Vote tags)",Netflix
48,Rented in Finland,핀란드 셋방살이,"Comedy, Life","Rural Life, Filmed Abroad, Reality Show, Outdoor Variety Show, Village Setting, Astro, Variety Show (Vote tags)",Viki
49,Boys II Planet,보이즈 2 플래닛,Music,"Pop Music, EASTSHINE, WHIB, AMPERS&ONE, Izna, ZeroBaseOne, XODIAC, BLANK2Y, NINE.i, 1THE9 (Vote tags)",Viki
