"특성별(1)",특성별(2),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"특성별(1)",특성별(2),사례수 (명),가족 (%),수사/추리 (%),청춘/성장 (%),재난/전쟁 (%),직업/직장 (%),복수 (%),초능력/히어로 (%),시간 여행 (%),불륜/막장 (%),좀비/크리처/오컬트 (%),정치 (%),실존 인물/실화 (%),스포츠 (%),예술음악/미술 등 (%),여성 서사 (%),GL/BL (%)
"전체",소계,3201,56.0,53.1,46.1,32.5,26.3,26.2,24.6,22.9,18.8,12.9,12.2,11.4,9.5,8.2,4.1,0.5
"성별",남성,1531,44.3,60.2,38.6,41.5,28.3,28.6,29.3,21.3,14.7,16.1,16.6,11.0,14.7,6.6,1.9,0.5
"성별",여성,1670,66.7,46.6,53.0,24.2,24.5,24.0,20.2,24.3,22.6,10.0,8.3,11.7,4.7,9.7,6.2,0.5
"연령",10대,336,47.2,40.9,67.5,27.2,15.7,18.8,35.2,33.8,6.4,17.1,3.1,4.9,7.5,8.8,2.2,1.1
"연령",20대,627,43.8,55.2,58.7,37.2,28.4,30.4,27.9,26.1,16.4,18.8,10.1,8.4,11.8,9.0,3.1,0.8
"연령",30대,685,52.6,56.3,45.6,32.4,30.0,26.6,26.1,24.9,19.4,14.2,11.4,13.3,8.5,8.9,5.6,0.7
"연령",40대,706,58.9,58.8,41.4,34.5,26.7,26.2,26.1,21.0,20.4,11.2,14.6,11.3,10.9,6.8,3.5,0.1
"연령",50대,583,66.0,51.6,32.2,31.9,28.8,29.1,16.4,17.7,23.7,7.3,15.6,11.9,8.5,8.6,5.1,0.1
"연령",60대,223,72.9,46.9,32.8,21.8,18.9,20.7,13.5,13.5,24.1,7.1,15.8,18.5,5.4,5.4,4.2,0.7
"연령",70세 이상,41,85.9,24.0,36.6,35.8,17.6,6.3,10.3,7.4,18.7,7.2,25.5,34.1,20.9,14.8,7.4,0.0
