"특성별(1)",특성별(2),2025,2025,2025,2025,2025,2025,2025,2025,2025
"특성별(1)",특성별(2),사례수 (명),리얼 버라이어티 (%),관찰 예능 (%),토크쇼 (%),코미디쇼 (%),오디션/서바이벌 (%),음악 방송 (%),시사/교양 (%),퀴즈 (%)
"전체",소계,2200,80.4,55.5,40.9,40.2,35.0,16.5,11.5,9.0
"성별",남성,1080,79.4,55.6,38.7,41.8,36.7,13.3,11.9,9.7
"성별",여성,1120,81.4,55.5,43.0,38.6,33.4,19.6,11.2,8.3
"연령",10대,301,75.7,49.0,27.8,43.9,41.7,22.1,4.1,9.4
"연령",20대,480,83.1,57.0,40.9,41.0,39.6,19.0,8.6,7.7
"연령",30대,479,83.9,61.7,44.3,41.3,37.0,14.9,12.6,10.2
"연령",40대,456,81.9,53.0,42.2,42.0,31.4,14.2,16.0,9.3
"연령",50대,339,74.8,57.5,43.9,35.6,30.3,14.5,13.5,6.4
"연령",60대,118,74.8,49.1,44.8,32.2,23.7,17.7,14.5,10.6
"연령",70세 이상,26,90.2,40.3,53.3,27.8,11.6,0.0,16.8,23.2
