기관명,주소,구분,정원(명),요양보호사(명)
평화노인요양원,부산광역시 사하구 괴정동,요양시설 / 치매전담,176,73
한마음주간보호센터,부산광역시 부산진구 당감동,방문요양 / 주야간보호,176,33
해피케어하우스 재활주간보호,부산광역시 남구 대연동,주야간보호,170,17
하나노인요양원,부산광역시 북구 구포동,요양시설,155,56
하니데이케어센터,부산광역시 수영구 민락동,방문요양 / 주야간보호,154,57
실버웰요양센터,부산광역시 서구 서대신동3가,요양시설,150,24
신망애치매전문요양원,부산광역시 금정구 장전동,요양시설,146,51
인창동구노인요양원,부산광역시 동구 초량동,요양시설,144,61
사상구재가노인복지센터,부산광역시 사상구 감전동,주야간보호,142,18
신망애노인요양원,부산광역시 금정구 장전동,요양시설,138,53
애광노인치매전문요양원,부산광역시 금정구 장전동,요양시설 / 치매전담,133,71
부산광역시 노인건강센터,부산광역시 사상구 학장동,요양시설 / 치매전담,131,85
(주)우리들재활주간보호센터,부산광역시 동래구 안락동,방문요양 / 주야간보호 / 단기보호,129,47
효성제일노인건강센터,부산광역시 기장군 장안읍,요양시설,127,37
기장실버홈,부산광역시 기장군 정관읍,요양시설,126,61
파랑새노인건강센터,부산광역시 영도구 청학동,요양시설 / 치매전담,123,43
동구케어 노인주간보호센터,부산광역시 동구 범일동,방문요양 / 주야간보호,121,53
무량수노인요양원,부산광역시 동래구 온천동,요양시설,120,56
송원노인전문요양원,부산광역시 동구 범일동,요양시설,120,45
활기찬 성모재활센터,부산광역시 남구 문현동,방문요양 / 주야간보호,118,22
정화노인요양원,부산광역시 북구 화명동,요양시설,113,54
(주)길데이케어센터,부산광역시 해운대구 좌동,방문요양 / 주야간보호,109,44
참사랑노인건강센터,부산광역시 강서구 강동동,요양시설,109,31
살루스플러스데이케어,부산광역시 해운대구 좌동,방문요양 / 주야간보호,105,44
케어링 주간보호센터 부산 연제점,부산광역시 연제구 거제동,방문요양 / 방문목욕 / 주야간보호,101,19
환희노인요양원,부산광역시 사하구 당리동,요양시설,100,50
인창실버웰,부산광역시 사하구 괴정동,요양시설,100,50
기장실버타운,부산광역시 기장군 기장읍,요양시설,100,48
인창서구재가노인복지센터,부산광역시 서구 동대신동3가,방문요양 / 주야간보호,100,63
다올요양원,부산광역시 해운대구 반여동,요양시설,100,10
