분류명,데이터값,분류값ID(코드),수록주기,단위영문명,항목ID,통계표ID,항목명,통계표명,수록시점,최종수정일,분류값영문,분류값명,단위명,항목영문명,기관코드,분류영문명
시설별,89698,A,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-10-18,Total,총계,개소,Number of Facilities,117,By Facility
시설별,93056,A,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Total,총계,개소,Number of Facilities,117,By Facility
시설별,96430,A,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Total,총계,개소,Number of Facilities,117,By Facility
시설별,358447,A,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Total,총계,명,Fixed Number of Entry,117,By Facility
시설별,387391,A,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Total,총계,명,Fixed Number of Entry,117,By Facility
시설별,412917,A,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Total,총계,명,Fixed Number of Entry,117,By Facility
시설별,308,B,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Residential Welfare Facility For The Aged,노인주거복지시설,개소,Number of Facilities,117,By Facility
시설별,297,B,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Residential Welfare Facility For The Aged,노인주거복지시설,개소,Number of Facilities,117,By Facility
시설별,281,B,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Residential Welfare Facility For The Aged,노인주거복지시설,개소,Number of Facilities,117,By Facility
시설별,19355,B,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Residential Welfare Facility For The Aged,노인주거복지시설,명,Fixed Number of Entry,117,By Facility
시설별,19369,B,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Residential Welfare Facility For The Aged,노인주거복지시설,명,Fixed Number of Entry,117,By Facility
시설별,19412,B,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Residential Welfare Facility For The Aged,노인주거복지시설,명,Fixed Number of Entry,117,By Facility
시설별,180,B_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Home For The Aged,양로시설,개소,Number of Facilities,117,By Facility
시설별,175,B_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Home For The Aged,양로시설,개소,Number of Facilities,117,By Facility
시설별,166,B_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Home For The Aged,양로시설,개소,Number of Facilities,117,By Facility
시설별,9752,B_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Home For The Aged,양로시설,명,Fixed Number of Entry,117,By Facility
시설별,9653,B_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Home For The Aged,양로시설,명,Fixed Number of Entry,117,By Facility
시설별,9567,B_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Home For The Aged,양로시설,명,Fixed Number of Entry,117,By Facility
