연번,장기요양기관,급여종류,정원,현원,잔여,대기,주소,전화번호,위도,경도
1,인창서구재가노인복지센터,주야간보호,100,96,4,0," 부산광역시 서구 망양로  72-1 (동대신동3가, 보현빌딩)",051-242-0906,35.1154261584694,129.016953991395
2,효송주야간보호센터,주야간보호,60,49,11,0, 부산광역시 서구 암남로14번길  12 (암남동),051-242-7085,35.0792582317386,129.015504340039
3,송도노인주간보호센터,주야간보호,57,45,0,0, 부산광역시 서구 암남공원로  522 6층 (암남동),051-248-3315,35.0797369885957,129.012137977952
4,소은노인주간보호센터,주야간보호,25,19,6,0, 부산광역시 서구 천마로199번길  13 (남부민동),051-248-8888,35.0931264367831,129.021308688741
5,서구케어재가노인주간보호센터,주야간보호,93,69,24,0, 부산광역시 서구 구덕로  249 2~4층 (부용동2가),051-925-9972,35.0931264367831,129.021308688741
6,더드림재가복지센터,방문간호,-,-,-,-, 부산광역시 서구 구덕로  164-2 3층 (토성동3가),051-243-1925,35.0991167718877,129.020069271539
7,송도노인복지센터,방문요양,-,-,-,-, 부산광역시 서구 암남공원로  522 신관동1층 (암남동),051-246-9312,35.0797369885957,129.012137977952
8,가족사랑재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 구덕로  284-1 3층 (동대신동1가),051-242-6222,35.1094916821085,129.018402142852
9,(주)가온누리종합복지센터,방문요양,-,-,-,-," 부산광역시 서구 구덕로286번길  3 302,303호 (동대신동1가)",051-242-7355,35.1094916821085,129.018402142852
10,가정요양재가복지센터,방문요양,-,-,-,-," 부산광역시 서구 구덕로  350 2층10호 (동대신동3가, 문화아파트)",051-417-1021,35.1150726941653,129.01590480137
11,구덕재가노인복지센터,방문요양,-,-,-,-, 부산광역시 서구 꽃마을로  48 301동1층102호 (서대신동3가),051-256-3111,35.1183783315399,129.012199836572
12,초장재가노인복지센터,방문요양,-,-,-,-, 부산광역시 서구 해돋이로  203 1층 (초장동),051-242-2303,35.0951823956857,129.018712565914
13,성산재가노인복지센터,방문요양,-,-,-,-, 부산광역시 서구 천마로  189-2 (남부민동),051-242-0060,35.0925296078262,129.022177243048
14,성심재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 구덕로148번길  31 3층 (토성동5가),051-248-8387,35.0982557503454,129.022432827772
15,세광재가노인복지센터,방문요양,-,-,-,-, 부산광역시 서구 해돋이로  259 (아미동2가),051-247-0675,35.0996613626681,129.015982560783
