연번,장기요양기관,급여종류,정원,현원,잔여,대기,주소,전화번호,위도,경도
1,파랑새노인건강센터,치매전담실나형1실,0,0,0,0, 부산광역시 영도구 와치로  78 (청학동),051-412-5422,35.0859515078014,129.059603122949
2,파랑새노인건강센터,치매전담실나형2실,0,0,0,0, 부산광역시 영도구 와치로  78 (청학동),051-412-5422,35.0859515078014,129.059603122949
3,혜원영도구노인복지센터,주야간보호,19,16,3,0, 부산광역시 영도구 절영로29번길  14 (대교동2가),051-417-6344,35.0913300208287,129.040097492103
4,영도주간보호센터,주야간보호,81,67,14,0," 부산광역시 영도구 중리로  35 101호, 201호 (동삼동, 영도빌딩)",051-405-7888,35.0740264903197,129.068034917019
5,다사랑장기요양기관,주야간보호,31,27,4,0, 부산광역시 영도구 태종로  417 6층 (청학동),051-404-0676,35.0903954756835,129.066622081691
6,선한노인복지센터,주야간보호,28,25,3,0," 부산광역시 영도구 꿈나무길  60 3층 (영선동1가, 정원빌딩)",051-415-5552,35.0889494658427,129.044328985437
7,영도구 효 어르신 데이케어센터,주야간보호,64,61,3,0, 부산광역시 영도구 꿈나무길  17 (영선동1가),051-416-9992,35.0903495766843,129.044481144665
8,엘림재가복지센터,주야간보호,9,6,3,0, 부산광역시 영도구 동삼로108번길  7 (동삼동),051-403-2770,35.0827898657922,129.071964692742
9,봉봉재활주간보호센터,주야간보호,35,35,3,0, 부산광역시 영도구 와치로  235 1층 (동삼동),051-404-1233,35.0758736195678,129.067432699482
10,편한세상실버센터 주야간보호,주야간보호,30,0,0,0, 부산광역시 영도구 와치로3번길  20 (청학동),051-414-8896,35.0909156920625,129.058240157645
11,강남주간보호센터,주야간보호,20,14,6,0, 부산광역시 영도구 꿈나무길  183 2~3층 (영선동2가),051-711-3069,35.0909156920625,129.058240157645
12,부산사랑노인복지센터주식회사,방문간호,-,-,-,-," 부산광역시 영도구 태종로  382 2층 (청학동, 동구빌딩)",051-853-2323,35.0928776133579,129.065276476472
13,(주)사랑나눔복지센터,방문요양,-,-,-,-, 부산광역시 영도구 한사랑길  114 (영선동1가),051-412-3315,35.0892683141725,129.044515217671
14,(주)참사랑재가복지센터,방문요양,-,-,-,-," 부산광역시 영도구 태종로  519 1층102호 (동삼동, 조은아크로빌)",051-403-9944,35.0846323395163,129.074065252467
15,가람노인복지센터,방문요양,-,-,-,-," 부산광역시 영도구 한결길  25 102호,103호 (봉래동3가)",051-412-8889,35.0915854570916,129.045399222892
16,(주)금잔디복지센터,방문요양,-,-,-,-, 부산광역시 영도구 동삼로50번길  18 (동삼동),051-404-2420,35.0775673653626,129.071566327416
17,순풍방문요양센터,방문요양,-,-,-,-, 부산광역시 영도구 청학로8번길  6 2층 (청학동),051-418-3242,35.091265264606,129.062570769115
18,함께재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 절영로  161 2호 (영선동4가),051-416-8302,35.0819872448666,129.041490569078
19,신일재가복지센터,방문요양,-,-,-,-," 부산광역시 영도구 상리로  63-4 (동삼동, 동삼주공아파트상가 202호)",070-4111-0055,35.085635453399,129.070817122248
20,희망영도노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 절영로  97 (영선동3가),051-412-1999,35.0863580706455,129.040203865151
21,상리노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 상리로  63-16 (동삼동),051-711-7573,35.086165592266,129.070776038957
22,(주)윤정은빛종합복지센터,방문요양,-,-,-,-, 부산광역시 영도구 남항로  48 2층 (영선동2가),051-417-1113,35.0882968959349,129.041421997209
23,㈜금빛종합복지센터,방문요양,-,-,-,-, 부산광역시 영도구 영선대로  47-1 2층 (영선동3가),051-417-0909,35.0855561458353,129.040566071478
24,참 재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 청학동로  50 1층 (청학동),051-414-5295,35.0916682961788,129.063442702495
25,(주)두레재가센터,방문요양,-,-,-,-," 부산광역시 영도구 태종로  39 1205호 (대교동1가, 영도해안루미너스오피스텔)",051-403-6588,35.0945978765904,129.037251591465
26,봉산재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 하나길  746 (봉래동4가),051-415-1033,35.0925516247207,129.050012023577
27,샬롬재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 절영로  126 (영선동3가),051-416-8926,35.085060929675,129.04228494815
28,효사랑재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 일산봉로  64 201호 (청학동),051-414-3588,35.0877964305585,129.064865463424
29,섬김이재가노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 와치로  8 (청학동),051-413-3500,35.0904704334918,129.05729472422
30,평화재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 태종로  387 2층 (청학동),051-414-1109,35.0925862966301,129.065824577434
31,가화재가노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 동백꽃길  4 (봉래동4가),051-415-2777,35.0916218608702,129.049166104419
32,안정재가노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 참샘길  109 (신선동1가),051-416-8291,35.0888967118855,129.048019839269
33,다사랑장기요양기관,방문요양,-,-,-,-, 부산광역시 영도구 태종로  417 6층 (청학동),051-404-0676,35.0903954756835,129.066622081691
34,절영재가장기요양기관,방문요양,-,-,-,-," 부산광역시 영도구 함지로  33-10 (동삼동, 도개공 아파트)",051-404-5530,35.0722162881235,129.061750367721
