장기요양기관내역,,,,,,,,,,
,,,,,,,,,,
연번,장기요양기관,급여종류,평가결과,정원,현원,잔여,대기,방문목욕차량,주소,전화번호
1,인창서구재가노인복지센터,주야간보호,"A (최우수)
2023
정기평가",100,96,4,0,," 부산광역시 서구 망양로  72-1 (동대신동3가, 보현빌딩)",051-242-0906
2,효송주야간보호센터,주야간보호,"B (우수)
2024
정기평가",60,49,11,0,, 부산광역시 서구 암남로14번길  12 (암남동),051-242-7085
3,송도노인주간보호센터,주야간보호,"C (양호)
2023
정기평가",57,45,0,0,, 부산광역시 서구 암남공원로  522 6층 (암남동),051-248-3315
4,소은노인주간보호센터,주야간보호,"E (미흡)
2016
수시평가",25,19,6,0,, 부산광역시 서구 천마로199번길  13 (남부민동),051-248-8888
5,서구케어재가노인주간보호센터,주야간보호,신설기관,93,69,24,0,, 부산광역시 서구 구덕로  249 2~4층 (부용동2가),051-925-9972
6,더드림재가복지센터,방문간호,신설기관,-,-,-,-,, 부산광역시 서구 구덕로  164-2 3층 (토성동3가),051-243-1925
7,송도노인복지센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,, 부산광역시 서구 암남공원로  522 신관동1층 (암남동),051-246-9312
8,가족사랑재가복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,, 부산광역시 서구 구덕로  284-1 3층 (동대신동1가),051-242-6222
9,(주)가온누리종합복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,," 부산광역시 서구 구덕로286번길  3 302,303호 (동대신동1가)",051-242-7355
10,가정요양재가복지센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,," 부산광역시 서구 구덕로  350 2층10호 (동대신동3가, 문화아파트)",051-417-1021
11,구덕재가노인복지센터,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 서구 꽃마을로  48 301동1층102호 (서대신동3가),051-256-3111
12,초장재가노인복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 서구 해돋이로  203 1층 (초장동),051-242-2303
13,성산재가노인복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 서구 천마로  189-2 (남부민동),051-242-0060
14,성심재가복지센터,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 서구 구덕로148번길  31 3층 (토성동5가),051-248-8387
15,세광재가노인복지센터,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 서구 해돋이로  259 (아미동2가),051-247-0675
16,평화재가복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 서구 구덕로  165 2층 (아미동1가),051-911-1153
17,인창서구재가노인복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,," 부산광역시 서구 망양로  72-1 (동대신동3가, 보현빌딩)",051-242-0906
18,부산서구지역자활센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 서구 대영로45번길  102 3층 (서대신동3가),051-253-1957
19,더조은재가복지센터,방문요양,"C (양호)
2023
정기평가",-,-,-,-,, 부산광역시 서구 충무대로241번길  5-3 (남부민동),051-208-1448
20,서연재가노인복지시설,방문요양,"C (양호)
2024
정기평가",-,-,-,-,," 부산광역시 서구 보수대로154번길  29 상가 301동111호 (동대신동1가, 동대신역 비스타 동원 아파트)",051-207-7611
21,건강한노인재가복지,방문요양,"D (보통)
2024
정기평가",-,-,-,-,," 부산광역시 서구 대영로73번길  39 105호 (동대신동2가, 삼익아파트)",051-257-1166
22,행복노인재가센터,방문요양,"D (보통)
2016
수시평가",-,-,-,-,, 부산광역시 서구 충무시장길  53 (충무동3가),051-418-4114
23,로드웨이 노인복지센터,방문요양,"E (미흡)
2024
정기평가",-,-,-,-,, 부산광역시 서구 보수대로  15 (토성동1가),051-242-3903
24,마음재가복지센터,방문요양,신설기관,-,-,-,-,, 부산광역시 서구 구덕로214번길  10 3층 (부민동1가),051-257-0257
25,보람재가복지센터,방문요양,신설기관,-,-,-,-,," 부산광역시 서구 대티로  159 117동302호 (서대신동3가, 협성르네상스)",051-246-8086
26,대신노인재가복지센터,방문요양,신설기관,-,-,-,-,, 부산광역시 서구 망양로  54 2층 (서대신동3가),051-248-1101
27,진사랑방문요양센터,방문요양,신설기관,-,-,-,-,, 부산광역시 서구 대영로  92 2층 (동대신동1가),051-710-9843
28,(주)해든실버데이케어,방문요양,평가비대상,-,-,-,-,," 부산광역시 서구 꽃마을로  43 상가동203호 (서대신동3가, 남성한빛가든아파트)",051-243-0005
29,영락재가복지센터,방문요양,신설기관,-,-,-,-,, 부산광역시 서구 대청로6번길  15 1층 (부민동1가),051-254-2520
30,초록숲재가복지센터,방문요양,신설기관,-,-,-,-,, 부산광역시 서구 구덕로  297 4층 (서대신동2가),051-242-7141
31,효송주야간보호센터,방문요양,신설기관,-,-,-,-,, 부산광역시 서구 암남로14번길  12 (암남동),051-242-7085
32,옹달샘재가복지센터,방문요양,신설기관,-,-,-,-,," 부산광역시 서구 보수대로  141 1층101호 (동대신동1가, 미소지음5차)",051-245-7778
