분석 대상 주소,500m 내 버스정류장 수,500m 내 지하철역 수,500m 내 요양시설 수,500m 내 병원 수,500m 내 약국 수,가장 가까운 종합병원 거리,가장 가까운 대학병원 거리
부산광역시 서구 해돋이로153번길 9-17,21,0,12,3,2,부산대학교병원 (1.1km),부산대학교병원 (1.1km)
부산광역시 서구 해돋이로153번길 9-17,21,0,12,3,2,부산대학교병원 (1.1km),부산대학교병원 (1.1km)
부산광역시 서구 해돋이로153번길 9-17,21,0,12,3,2,부산대학교병원 (1.1km),부산대학교병원 (1.1km)
부산광역시 서구 해돋이로153번길 9-17,21,0,12,3,2,부산대학교병원 (1.1km),부산대학교병원 (1.1km)
부산광역시 서구 해돋이로153번길 9-17,21,0,12,3,2,부산대학교병원 (1.1km),부산대학교병원 (1.1km)
부산광역시 서구 해돋이로153번길 9-17,21,0,12,3,2,부산대학교병원 (1.1km),부산대학교병원 (1.1km)
부산광역시 서구 해돋이로153번길 9-17,21,0,12,3,2,부산대학교병원 (1.1km),부산대학교병원 (1.1km)
부산광역시 서구 남부민동 18번지,12,0,11,2,0,부산대학교병원 (1.0km),부산대학교병원 (1.0km)
부산광역시 영도구 청학동 482-161,22,0,3,0,0,의료법인행도의료재단해동병원 (1.5km),고신대학교복음병원 (3.9km)
부산광역시 영도구 영선동4가 1275-5,6,0,0,0,0,신한클리닉센터 (2.1km),고신대학교복음병원 (3.3km)
부산광역시 서구 해돋이로153번길 9-17,21,0,12,3,2,부산대학교병원 (1.1km),부산대학교병원 (1.1km)
부산광역시 서구 망양로 72-1,50,0,10,14,8,동아대학교병원 (520m),동아대학교병원 비뇨의학과 (504m)
부산광역시 서구 망양로 72-1,50,0,10,14,8,동아대학교병원 (520m),동아대학교병원 비뇨의학과 (504m)
부산광역시 서구 구덕로 322번길 63,45,1,17,13,7,동아대학교병원 (720m),동아대학교 대신병원 (700m)
부산광역시 서구 구덕로 322번길 63,45,1,17,13,7,동아대학교병원 (720m),동아대학교 대신병원 (700m)
부산광역시 서구 구덕로 322번길 63,45,1,17,13,7,동아대학교병원 (720m),동아대학교 대신병원 (700m)
부산광역시 서구 구덕로 322번길 63,45,1,17,13,7,동아대학교병원 (720m),동아대학교 대신병원 (700m)
부산광역시 서구 구덕로 322번길 63,45,1,12,13,7,동아대학교병원 (720m),동아대학교 대신병원 (700m)
부산광역시 서구 구덕로 322번길 63,45,1,12,13,7,동아대학교병원 (720m),동아대학교 대신병원 (700m)
부산광역시 서구 구덕로 322번길 63,45,1,12,13,7,동아대학교병원 (720m),동아대학교 대신병원 (700m)
부산광역시 서구 구덕로 322번길 63,45,1,12,13,7,동아대학교병원 (720m),동아대학교 대신병원 (700m)
