지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),합계 일조시간(hr)
165,목포,2014-01-01,6.1,3.2,9.3,,3.1,.6,69.1,8.3
165,목포,2014-01-02,4.1,.8,9.9,,1.3,-.5,76,5.8
165,목포,2014-01-03,4.9,.1,12.2,,1.4,-1.8,63.4,6
165,목포,2014-01-04,2.7,-1.2,6,,4.9,-1.2,76.1,9.1
165,목포,2014-01-05,1,-2.7,6.3,,3,-3.4,73.3,9
165,목포,2014-01-06,2,-1.9,8.5,,1.5,-2.8,72.6,9
165,목포,2014-01-07,4,-.7,9.3,0,1,-1.2,69.9,4
165,목포,2014-01-08,2.7,.2,5,3.6,6,.3,85.4,1.9
165,목포,2014-01-09,-2.1,-4.9,.2,0,8.5,-8.7,60.9,7.2
165,목포,2014-01-10,-1.1,-5.9,3.2,0,1.4,-4.7,77.6,5.4
165,목포,2014-01-11,1,-2.1,5.3,,1.8,-2.8,76.9,4.7
165,목포,2014-01-12,1.5,-.6,6.6,,4.2,-2.2,77,3.4
165,목포,2014-01-13,-1.5,-4.3,1.9,,5.5,-8.5,59.6,8.9
165,목포,2014-01-14,-1.6,-6.6,4.2,,3.5,-8.6,60.3,9.3
165,목포,2014-01-15,-.7,-4.3,5.2,,2.4,-5.7,69.5,9.2
165,목포,2014-01-16,.3,-3.5,6.3,,2.1,-3.6,76.1,8.5
165,목포,2014-01-17,1.9,-2,7,.4,1.4,-.7,84.3,6.9
165,목포,2014-01-18,1.3,-.5,4.1,0,5.5,-1.7,81.8,2.8
165,목포,2014-01-19,.6,-4.1,4.5,,2,-4.6,68.5,8.9
165,목포,2014-01-20,3.1,-.3,6.8,.4,5.6,-.4,78.8,3.9
165,목포,2014-01-21,-1,-2.1,.1,.5,7.3,-3.3,84.1,3.1
165,목포,2014-01-22,.1,-2.5,4.7,,2.8,-3.9,74.6,7.5
165,목포,2014-01-23,1,-4,6.6,,1.3,-3.9,71.9,9.5
165,목포,2014-01-24,7.4,.6,13.6,,3.5,4.3,81.8,3.7
