조회연도,sidoNm,dbyhsNm,inqireValue,inqireCnClCode,sidoCode
2023,전라남도,잎도열병(발생추정면적),3.985,SF0001,46
2023,전라남도,잎도열병(감수율),0.0,SF0002,46
2023,전라남도,잎도열병(피해율),0.0,SF0003,46
2023,전라남도,잎도열병(발생면적율),0.082,SF0004,46
2023,전라남도,이삭도열병(발생추정면적),12.958,SF0005,46
2023,전라남도,이삭도열병(감수율),0.001,SF0006,46
2023,전라남도,이삭도열병(피해율),0.002,SF0007,46
2023,전라남도,이삭도열병(발생면적율),0.067,SF0008,46
2023,전라남도,잎집무늬마름병(발생추정면적),134.602,SF0009,46
2023,전라남도,잎집무늬마름병(감수율),0.028,SF0010,46
2023,전라남도,잎집무늬마름병(피해율),0.142,SF0011,46
2023,전라남도,잎집무늬마름병(발생면적율),0.917,SF0012,46
2023,전라남도,흰잎마름병(발생추정면적),3.858,SF0013,46
2023,전라남도,흰잎마름병(감수율),0.001,SF0014,46
2023,전라남도,흰잎마름병(피해율),0.004,SF0015,46
2023,전라남도,흰잎마름병(발생면적율),0.069,SF0016,46
2023,전라남도,세균벼알마름병(발생추정면적),0.179,SF0017,46
2023,전라남도,세균벼알마름병(감수율),0.0,SF0018,46
2023,전라남도,세균벼알마름병(피해율),0.0,SF0019,46
2023,전라남도,세균벼알마름병(발생면적율),0.002,SF0020,46
2023,전라남도,줄무늬잎마름병(발생면적),0.0,SF0021,46
2023,전라남도,줄무늬잎마름병(감수율),0.0,SF0022,46
2023,전라남도,줄무늬잎마름병(피해율),0.0,SF0023,46
2023,전라남도,줄무늬잎마름병(발생면적률),0.0,SF0024,46
2023,전라남도,벼검은줄오갈병(발생면적),0.0,SF0025,46
2023,전라남도,벼검은줄오갈병(감수율),0.0,SF0026,46
2023,전라남도,벼검은줄오갈병(피해율),0.0,SF0027,46
2023,전라남도,벼검은줄오갈병(발생면적률),0.0,SF0028,46
2023,전라남도,오갈병(발생면적),0.0,SF0029,46
2023,전라남도,오갈병(감수율),0.0,SF0030,46
2023,전라남도,오갈병(피해율),0.0,SF0031,46
2023,전라남도,오갈병(발생면적률),0.0,SF0032,46
2023,전라남도,이삭누룩병(발생추정면적),0.0,SF0033,46
2023,전라남도,이삭누룩병(감수율),0.0,SF0034,46
2023,전라남도,이삭누룩병(피해율),0.0,SF0035,46
2023,전라남도,이삭누룩병(발생면적율),0.0,SF0036,46
2023,전라남도,깨씨무늬병(발생추정면적),5.329,SF0037,46
2023,전라남도,깨씨무늬병(감수율),0.001,SF0038,46
2023,전라남도,깨씨무늬병(피해율),0.005,SF0039,46
2023,전라남도,깨씨무늬병(발생면적율),0.1,SF0040,46
2023,전라남도,벼잎벌레(발생추정면적),0.0,SF0041,46
2023,전라남도,벼잎벌레(감수율),0.0,SF0042,46
2023,전라남도,벼잎벌레(피해율),0.0,SF0043,46
2023,전라남도,벼잎벌레(발생면적율),0.0,SF0044,46
2023,전라남도,벼애잎굴파리(발생추정면적),0.0,SF0045,46
2023,전라남도,벼애잎굴파리(감수율),0.0,SF0046,46
2023,전라남도,벼애잎굴파리(피해율),0.0,SF0047,46
2023,전라남도,벼애잎굴파리(발생면적율),0.0,SF0048,46
2023,전라남도,벼줄기굴파리(발생추정면적),0.161,SF0049,46
2023,전라남도,벼줄기굴파리(감수율),0.0,SF0050,46
2023,전라남도,벼줄기굴파리(피해율),0.0,SF0051,46
2023,전라남도,벼줄기굴파리(발생면적율),0.001,SF0052,46
2023,전라남도,애멸구(발생추정면적),0.066,SF0053,46
2023,전라남도,애멸구(감수율),0.0,SF0054,46
2023,전라남도,애멸구(피해율),0.0,SF0055,46
2023,전라남도,애멸구(발생면적율),0.001,SF0056,46
2023,전라남도,끝동매미충(발생추정면적),0.225,SF0057,46
2023,전라남도,끝동매미충(감수율),0.0,SF0058,46
2023,전라남도,끝동매미충(피해율),0.0,SF0059,46
2023,전라남도,끝동매미충(발생면적율),0.002,SF0060,46
