조회년도,시군구명,조사시기(회차),병해충명(수치설명),값
2014,강진군,8,깨씨무늬병(피해율),0.0
2014,강진군,8,깨씨무늬병(피해율),0.0
2014,강진군,8,깨씨무늬병(피해율),0.0
2014,강진군,8,먹노린재(피해율),0.28
2014,강진군,8,먹노린재(피해율),0.28
2014,강진군,8,먹노린재(피해율),0.28
2014,강진군,8,벼멸구(피해율),0.0
2014,강진군,8,벼멸구(피해율),0.0
2014,강진군,8,벼멸구(피해율),0.0
2014,강진군,8,세균벼알마름병(피해율),0.02
2014,강진군,8,세균벼알마름병(피해율),0.02
2014,강진군,8,세균벼알마름병(피해율),0.02
2014,강진군,8,이삭도열병(피해율),0.07
2014,강진군,8,이삭도열병(피해율),0.07
2014,강진군,8,이삭도열병(피해율),0.07
2014,강진군,8,혹명나방(피해율),0.0
2014,강진군,8,혹명나방(피해율),0.0
2014,강진군,8,혹명나방(피해율),0.0
2014,강진군,8,흰등멸구(피해율),1.11
2014,강진군,8,흰등멸구(피해율),1.11
2014,강진군,8,흰등멸구(피해율),1.11
2014,강진군,8,흰잎마름병(피해율),0.14
2014,강진군,8,흰잎마름병(피해율),0.14
2014,강진군,8,흰잎마름병(피해율),0.14
2014,고흥군,8,깨씨무늬병(피해율),0.11
2014,고흥군,8,깨씨무늬병(피해율),0.11
2014,고흥군,8,깨씨무늬병(피해율),0.11
2014,고흥군,8,먹노린재(피해율),0.0
2014,고흥군,8,먹노린재(피해율),0.0
2014,고흥군,8,먹노린재(피해율),0.0
2014,고흥군,8,벼멸구(피해율),0.071
2014,고흥군,8,벼멸구(피해율),0.071
2014,고흥군,8,벼멸구(피해율),0.071
2014,고흥군,8,세균벼알마름병(피해율),0.0
2014,고흥군,8,세균벼알마름병(피해율),0.0
2014,고흥군,8,세균벼알마름병(피해율),0.0
2014,고흥군,8,이삭도열병(피해율),0.009
2014,고흥군,8,이삭도열병(피해율),0.009
2014,고흥군,8,이삭도열병(피해율),0.009
2014,고흥군,8,혹명나방(피해율),0.0
2014,고흥군,8,혹명나방(피해율),0.0
2014,고흥군,8,혹명나방(피해율),0.0
2014,고흥군,8,흰등멸구(피해율),0.0
2014,고흥군,8,흰등멸구(피해율),0.0
2014,고흥군,8,흰등멸구(피해율),0.0
2014,고흥군,8,흰잎마름병(피해율),0.0
2014,고흥군,8,흰잎마름병(피해율),0.0
2014,고흥군,8,흰잎마름병(피해율),0.0
2014,곡성군,8,깨씨무늬병(피해율),0.17
2014,곡성군,8,깨씨무늬병(피해율),0.17
2014,곡성군,8,깨씨무늬병(피해율),0.17
2014,곡성군,8,먹노린재(피해율),0.0
2014,곡성군,8,먹노린재(피해율),0.0
2014,곡성군,8,먹노린재(피해율),0.0
2014,곡성군,8,벼멸구(피해율),0.0
2014,곡성군,8,벼멸구(피해율),0.0
2014,곡성군,8,벼멸구(피해율),0.0
2014,곡성군,8,세균벼알마름병(피해율),0.0
2014,곡성군,8,세균벼알마름병(피해율),0.0
2014,곡성군,8,세균벼알마름병(피해율),0.0
2014,곡성군,8,이삭도열병(피해율),0.08
2014,곡성군,8,이삭도열병(피해율),0.08
2014,곡성군,8,이삭도열병(피해율),0.08
2014,곡성군,8,혹명나방(피해율),0.0
2014,곡성군,8,혹명나방(피해율),0.0
2014,곡성군,8,혹명나방(피해율),0.0
2014,곡성군,8,흰등멸구(피해율),0.0
2014,곡성군,8,흰등멸구(피해율),0.0
2014,곡성군,8,흰등멸구(피해율),0.0
2014,곡성군,8,흰잎마름병(피해율),0.0
2014,곡성군,8,흰잎마름병(피해율),0.0
2014,곡성군,8,흰잎마름병(피해율),0.0
2014,광양시,8,깨씨무늬병(피해율),0.01
2014,광양시,8,깨씨무늬병(피해율),0.01
2014,광양시,8,깨씨무늬병(피해율),0.01
2014,광양시,8,먹노린재(피해율),0.0
2014,광양시,8,먹노린재(피해율),0.0
2014,광양시,8,먹노린재(피해율),0.0
2014,광양시,8,벼멸구(피해율),0.0
2014,광양시,8,벼멸구(피해율),0.0
2014,광양시,8,벼멸구(피해율),0.0
2014,광양시,8,세균벼알마름병(피해율),0.043
2014,광양시,8,세균벼알마름병(피해율),0.043
2014,광양시,8,세균벼알마름병(피해율),0.043
2014,광양시,8,이삭도열병(피해율),0.0
2014,광양시,8,이삭도열병(피해율),0.0
2014,광양시,8,이삭도열병(피해율),0.0
2014,광양시,8,혹명나방(피해율),0.0
2014,광양시,8,혹명나방(피해율),0.0
2014,광양시,8,혹명나방(피해율),0.0
2014,광양시,8,흰등멸구(피해율),0.0
2014,광양시,8,흰등멸구(피해율),0.0
2014,광양시,8,흰등멸구(피해율),0.0
2014,광양시,8,흰잎마름병(피해율),0.0
2014,광양시,8,흰잎마름병(피해율),0.0
2014,광양시,8,흰잎마름병(피해율),0.0
2014,구례군,8,깨씨무늬병(피해율),0.0
2014,구례군,8,깨씨무늬병(피해율),0.0
2014,구례군,8,깨씨무늬병(피해율),0.0
2014,구례군,8,먹노린재(피해율),0.0
2014,구례군,8,먹노린재(피해율),0.0
2014,구례군,8,먹노린재(피해율),0.0
2014,구례군,8,벼멸구(피해율),0.0
2014,구례군,8,벼멸구(피해율),0.0
2014,구례군,8,벼멸구(피해율),0.0
2014,구례군,8,세균벼알마름병(피해율),0.0
2014,구례군,8,세균벼알마름병(피해율),0.0
2014,구례군,8,세균벼알마름병(피해율),0.0
2014,구례군,8,이삭도열병(피해율),0.0
2014,구례군,8,이삭도열병(피해율),0.0
2014,구례군,8,이삭도열병(피해율),0.0
2014,구례군,8,혹명나방(피해율),0.0
2014,구례군,8,혹명나방(피해율),0.0
2014,구례군,8,혹명나방(피해율),0.0
2014,구례군,8,흰등멸구(피해율),0.0
2014,구례군,8,흰등멸구(피해율),0.0
2014,구례군,8,흰등멸구(피해율),0.0
2014,구례군,8,흰잎마름병(피해율),0.0
2014,구례군,8,흰잎마름병(피해율),0.0
2014,구례군,8,흰잎마름병(피해율),0.0
2014,나주시,8,깨씨무늬병(피해율),
2014,나주시,8,깨씨무늬병(피해율),
2014,나주시,8,깨씨무늬병(피해율),
2014,나주시,8,먹노린재(피해율),
2014,나주시,8,먹노린재(피해율),
2014,나주시,8,먹노린재(피해율),
2014,나주시,8,벼멸구(피해율),
2014,나주시,8,벼멸구(피해율),
2014,나주시,8,벼멸구(피해율),
2014,나주시,8,세균벼알마름병(피해율),
2014,나주시,8,세균벼알마름병(피해율),
2014,나주시,8,세균벼알마름병(피해율),
2014,나주시,8,이삭도열병(피해율),0.033
2014,나주시,8,이삭도열병(피해율),0.033
2014,나주시,8,이삭도열병(피해율),0.033
2014,나주시,8,혹명나방(피해율),
2014,나주시,8,혹명나방(피해율),
2014,나주시,8,혹명나방(피해율),
2014,나주시,8,흰등멸구(피해율),
2014,나주시,8,흰등멸구(피해율),
2014,나주시,8,흰등멸구(피해율),
2014,나주시,8,흰잎마름병(피해율),
2014,나주시,8,흰잎마름병(피해율),
2014,나주시,8,흰잎마름병(피해율),
2014,담양군,8,깨씨무늬병(피해율),0.0
2014,담양군,8,깨씨무늬병(피해율),0.0
2014,담양군,8,깨씨무늬병(피해율),0.0
2014,담양군,8,먹노린재(피해율),0.01
2014,담양군,8,먹노린재(피해율),0.01
2014,담양군,8,먹노린재(피해율),0.01
2014,담양군,8,벼멸구(피해율),0.0
2014,담양군,8,벼멸구(피해율),0.0
2014,담양군,8,벼멸구(피해율),0.0
2014,담양군,8,세균벼알마름병(피해율),0.023
2014,담양군,8,세균벼알마름병(피해율),0.023
2014,담양군,8,세균벼알마름병(피해율),0.023
2014,담양군,8,이삭도열병(피해율),0.002
2014,담양군,8,이삭도열병(피해율),0.002
2014,담양군,8,이삭도열병(피해율),0.002
2014,담양군,8,혹명나방(피해율),0.0
2014,담양군,8,혹명나방(피해율),0.0
2014,담양군,8,혹명나방(피해율),0.0
2014,담양군,8,흰등멸구(피해율),0.0
2014,담양군,8,흰등멸구(피해율),0.0
2014,담양군,8,흰등멸구(피해율),0.0
2014,담양군,8,흰잎마름병(피해율),0.015
2014,담양군,8,흰잎마름병(피해율),0.015
2014,담양군,8,흰잎마름병(피해율),0.015
2014,무안군,8,깨씨무늬병(피해율),0.0
2014,무안군,8,깨씨무늬병(피해율),0.0
2014,무안군,8,깨씨무늬병(피해율),0.0
2014,무안군,8,먹노린재(피해율),0.0
2014,무안군,8,먹노린재(피해율),0.0
2014,무안군,8,먹노린재(피해율),0.0
2014,무안군,8,벼멸구(피해율),0.0
2014,무안군,8,벼멸구(피해율),0.0
2014,무안군,8,벼멸구(피해율),0.0
2014,무안군,8,세균벼알마름병(피해율),0.0
2014,무안군,8,세균벼알마름병(피해율),0.0
2014,무안군,8,세균벼알마름병(피해율),0.0
2014,무안군,8,이삭도열병(피해율),0.0
2014,무안군,8,이삭도열병(피해율),0.0
2014,무안군,8,이삭도열병(피해율),0.0
2014,무안군,8,혹명나방(피해율),0.0
2014,무안군,8,혹명나방(피해율),0.0
2014,무안군,8,혹명나방(피해율),0.0
2014,무안군,8,흰등멸구(피해율),0.0
2014,무안군,8,흰등멸구(피해율),0.0
2014,무안군,8,흰등멸구(피해율),0.0
2014,무안군,8,흰잎마름병(피해율),0.08
2014,무안군,8,흰잎마름병(피해율),0.08
2014,무안군,8,흰잎마름병(피해율),0.08
2014,보성군,8,깨씨무늬병(피해율),0.0
2014,보성군,8,깨씨무늬병(피해율),0.0
2014,보성군,8,깨씨무늬병(피해율),0.0
2014,보성군,8,먹노린재(피해율),0.0
2014,보성군,8,먹노린재(피해율),0.0
2014,보성군,8,먹노린재(피해율),0.0
2014,보성군,8,벼멸구(피해율),0.0
2014,보성군,8,벼멸구(피해율),0.0
2014,보성군,8,벼멸구(피해율),0.0
2014,보성군,8,세균벼알마름병(피해율),0.0
2014,보성군,8,세균벼알마름병(피해율),0.0
2014,보성군,8,세균벼알마름병(피해율),0.0
2014,보성군,8,이삭도열병(피해율),0.0
2014,보성군,8,이삭도열병(피해율),0.0
2014,보성군,8,이삭도열병(피해율),0.0
2014,보성군,8,혹명나방(피해율),0.0
2014,보성군,8,혹명나방(피해율),0.0
2014,보성군,8,혹명나방(피해율),0.0
2014,보성군,8,흰등멸구(피해율),0.0
2014,보성군,8,흰등멸구(피해율),0.0
2014,보성군,8,흰등멸구(피해율),0.0
2014,보성군,8,흰잎마름병(피해율),0.0
2014,보성군,8,흰잎마름병(피해율),0.0
2014,보성군,8,흰잎마름병(피해율),0.0
2014,순천시,8,깨씨무늬병(피해율),
2014,순천시,8,깨씨무늬병(피해율),
2014,순천시,8,깨씨무늬병(피해율),
2014,순천시,8,먹노린재(피해율),0.02
2014,순천시,8,먹노린재(피해율),0.02
2014,순천시,8,먹노린재(피해율),0.02
2014,순천시,8,벼멸구(피해율),
2014,순천시,8,벼멸구(피해율),
2014,순천시,8,벼멸구(피해율),
