구분,사고(건),사망(명),부상(명)
2014-01-01,169,7,347
2014-02-01,145,3,268
2014-03-01,206,12,358
2014-04-01,182,4,360
2014-05-01,218,17,474
2014-06-01,233,13,457
2014-07-01,229,14,431
2014-08-01,222,9,447
2014-09-01,225,15,430
2014-10-01,210,14,392
2014-11-01,209,10,386
2014-12-01,178,12,329
2015-01-01,205,8,375
2015-02-01,175,8,375
2015-03-01,237,4,492
2015-04-01,227,10,486
2015-05-01,231,9,504
2015-06-01,207,8,401
2015-07-01,273,7,556
2015-08-01,268,19,534
2015-09-01,252,10,501
2015-10-01,214,14,475
2015-11-01,199,3,398
2015-12-01,213,8,428
2016-01-01,192,5,387
2016-02-01,174,6,328
2016-03-01,217,7,435
2016-04-01,216,7,419
2016-05-01,239,13,522
2016-06-01,200,12,362
2016-07-01,227,9,460
2016-08-01,230,7,490
2016-09-01,187,13,347
2016-10-01,183,10,367
2016-11-01,200,5,418
2016-12-01,168,4,364
