연도,교통량구분,소형,중형,대형,합계
2018,천대,1399610,43620,161836,1605066
2018,천대/일,3835,120,443,4397
2018,점유율,0.872,0.027,0.101,1
2019,천대,1454022,42699,163343,1660064
2019,천대/일,3984,117,448,4548
2019,점유율,0.876,0.026,0.098,1
2020,천대,1416753,41730,155131,1613614
2020,천대/일,3871,114,424,4409
2020,점유율,0.878,0.026,0.098,1
2021,천대,1491439,43100,163558,1698097
2021,천대/일,4086,118,448,4652
2021,점유율,0.878,0.025,0.097,1
2022,천대,1560464,43641,166275,1770380
2022,천대/일,4275,120,455,4850
2022,점유율,0.881,0.025,0.094,1
2023,천대,1606696,43499,169609,1819804
2023,천대/일,4403,119,464,4986
2023,점유율,0.883,0.024,0.093,1
2024,천대,1657191,44300,172579,1874070
2024,천대/일,4528,121,472,5120
2024,점유율,0.884,0.024,0.092,1
