노선,방향,명칭,시간,총합계,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
경부선,부산,오산,07:00-08:00,36,25,1,8,2,0,0,0,0,0,0,0,0
경부선,부산,오산,08:00-09:00,63,52,0,10,1,0,0,0,0,0,0,0,0
경부선,부산,오산,09:00-10:00,72,58,0,9,5,0,0,0,0,0,0,0,0
경부선,부산,오산,10:00-11:00,62,50,0,8,2,2,0,0,0,0,0,0,0
경부선,부산,오산,11:00-12:00,64,53,0,9,0,1,1,0,0,0,0,0,0
경부선,부산,오산,12:00-13:00,86,71,0,12,2,0,1,0,0,0,0,0,0
경부선,부산,오산,13:00-14:00,78,63,0,11,2,2,0,0,0,0,0,0,0
경부선,부산,오산,14:00-15:00,81,68,0,12,1,0,0,0,0,0,0,0,0
경부선,부산,오산,15:00-16:00,67,54,0,7,3,2,1,0,0,0,0,0,0
경부선,부산,오산,16:00-17:00,57,53,0,4,0,0,0,0,0,0,0,0,0
경부선,부산,오산,17:00-18:00,62,54,0,7,0,1,0,0,0,0,0,0,0
경부선,부산,오산,18:00-19:00,48,40,0,6,1,0,0,1,0,0,0,0,0
경부선,부산,오산,19:00-20:00,34,28,1,1,2,1,0,1,0,0,0,0,0
경부선,부산,오산,20:00-21:00,27,26,0,1,0,0,0,0,0,0,0,0,0
경부선,부산,오산,21:00-22:00,33,24,0,6,0,3,0,0,0,0,0,0,0
경부선,부산,오산,22:00-23:00,16,11,0,1,1,1,0,2,0,0,0,0,0
경부선,부산,오산,23:00-24:00,11,9,1,1,0,0,0,0,0,0,0,0,0
경부선,부산,오산,00:00-01:00,12,7,0,2,0,2,0,0,0,0,1,0,0
경부선,부산,오산,01:00-02:00,5,3,0,1,0,0,0,1,0,0,0,0,0
경부선,부산,오산,02:00-03:00,8,4,0,1,1,1,0,1,0,0,0,0,0
경부선,부산,오산,03:00-04:00,9,5,0,2,2,0,0,0,0,0,0,0,0
경부선,부산,오산,04:00-05:00,9,5,0,3,1,0,0,0,0,0,0,0,0
경부선,부산,오산,05:00-06:00,15,9,0,2,1,3,0,0,0,0,0,0,0
경부선,부산,오산,06:00-07:00,35,19,0,10,3,2,1,0,0,0,0,0,0
경부선,부산,남사,07:00-08:00,36,31,0,5,0,0,0,0,0,0,0,0,0
경부선,부산,남사,08:00-09:00,44,35,0,6,0,2,1,0,0,0,0,0,0
경부선,부산,남사,09:00-10:00,49,34,0,9,4,1,1,0,0,0,0,0,0
경부선,부산,남사,10:00-11:00,46,36,0,6,2,1,1,0,0,0,0,0,0
경부선,부산,남사,11:00-12:00,56,47,0,5,0,4,0,0,0,0,0,0,0
경부선,부산,남사,12:00-13:00,59,48,0,5,1,4,1,0,0,0,0,0,0
경부선,부산,남사,13:00-14:00,64,55,1,5,1,1,1,0,0,0,0,0,0
경부선,부산,남사,14:00-15:00,68,57,0,7,3,1,0,0,0,0,0,0,0
경부선,부산,남사,15:00-16:00,42,33,0,7,0,1,1,0,0,0,0,0,0
경부선,부산,남사,16:00-17:00,54,41,0,8,3,1,0,1,0,0,0,0,0
경부선,부산,남사,17:00-18:00,33,27,0,3,1,0,2,0,0,0,0,0,0
경부선,부산,남사,18:00-19:00,33,28,0,3,0,2,0,0,0,0,0,0,0
경부선,부산,남사,19:00-20:00,15,12,0,2,1,0,0,0,0,0,0,0,0
경부선,부산,남사,20:00-21:00,25,22,0,1,0,1,1,0,0,0,0,0,0
경부선,부산,남사,21:00-22:00,21,19,0,2,0,0,0,0,0,0,0,0,0
경부선,부산,남사,22:00-23:00,12,9,0,1,0,0,1,1,0,0,0,0,0
경부선,부산,남사,23:00-24:00,11,10,0,0,0,1,0,0,0,0,0,0,0
경부선,부산,남사,00:00-01:00,9,3,0,2,1,1,1,0,0,0,1,0,0
경부선,부산,남사,01:00-02:00,5,4,0,1,0,0,0,0,0,0,0,0,0
경부선,부산,남사,02:00-03:00,7,4,0,1,0,2,0,0,0,0,0,0,0
경부선,부산,남사,03:00-04:00,4,2,0,1,0,0,1,0,0,0,0,0,0
경부선,부산,남사,04:00-05:00,9,7,0,1,0,0,1,0,0,0,0,0,0
경부선,부산,남사,05:00-06:00,20,12,0,5,2,0,1,0,0,0,0,0,0
경부선,부산,남사,06:00-07:00,27,20,0,4,1,1,1,0,0,0,0,0,0
경부선,서울,청성,07:00-08:00,13,7,0,4,0,1,0,1,0,0,0,0,0
경부선,서울,청성,08:00-09:00,14,9,0,4,1,0,0,0,0,0,0,0,0
