노선,방향,명칭,총합계,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
경부선,서울,양산졸음쉼터,897,571,7,233,37,23,5,7,0,0,10,0,4
경부선,부산,언양졸음쉼터,591,431,1,96,35,27,0,0,0,0,1,0,0
경부선,서울,내남졸음쉼터,465,291,4,101,21,29,6,4,0,0,9,0,0
경부선,서울,북안졸음쉼터,324,192,2,68,34,25,0,2,0,0,1,0,0
경부선,부산,북안졸음쉼터,341,208,1,64,22,40,0,1,0,0,5,0,0
경부선,서울,석적졸음쉼터,698,490,2,127,38,28,0,2,0,0,11,0,0
경부선,부산,대신졸음쉼터,309,204,1,59,20,16,5,2,0,0,1,1,0
경부선,서울,대신졸음쉼터,460,318,1,75,35,14,2,2,0,0,12,0,1
경부선,부산,추풍령졸음쉼터,295,198,3,27,18,30,3,8,0,0,2,0,6
경부선,서울,추풍령졸음쉼터,167,83,2,31,43,8,0,0,0,0,0,0,0
경부선,서울,옥천졸음쉼터,429,269,2,70,23,50,4,6,0,0,5,0,0
경부선,부산,입장졸음쉼터,560,447,1,72,26,7,0,3,0,0,0,0,4
경부선,서울,원곡졸음쉼터,1155,939,1,132,41,23,9,7,0,0,3,0,0
경부선,부산,남사졸음쉼터,1078,901,4,142,19,8,1,1,0,0,2,0,0
고창담양선,담양,장성물류졸음쉼터,308,252,0,37,9,8,0,1,0,0,1,0,0
고창담양선,담양,태령졸음쉼터,251,175,3,50,15,4,1,3,0,0,0,0,0
광주대구선,광주,대강졸음쉼터,223,161,1,34,9,13,2,1,0,0,2,0,0
광주대구선,광주,함양졸음쉼터,180,129,0,37,5,6,1,0,0,0,1,0,1
광주대구선,광주,남상졸음쉼터,295,184,0,37,38,27,0,5,0,0,4,0,0
광주대구선,대구,남상졸음쉼터,189,137,0,31,6,12,0,0,0,0,3,0,0
광주대구선,광주,쌍림졸음쉼터,414,297,5,53,27,27,0,2,0,0,3,0,0
광주대구선,대구,고령졸음쉼터,582,386,1,65,21,77,11,14,0,0,6,0,1
남해1지선,창원,창원졸음쉼터,722,529,4,141,32,15,0,1,0,0,0,0,0
남해선,순천,진례졸음쉼터,625,359,39,145,48,26,0,6,0,0,2,0,0
남해선(순천부산),순천,광양졸음쉼터,294,214,10,26,15,11,1,16,0,0,1,0,0
남해선(순천부산),부산,광양졸음쉼터,298,198,1,36,22,21,0,4,0,0,16,0,0
남해선(순천부산),부산,곤양졸음쉼터,404,256,5,68,33,27,0,2,0,0,13,0,0
남해선(순천부산),순천,지수졸음쉼터,937,627,2,111,57,72,9,28,0,0,25,0,6
남해선(순천부산),부산,지수졸음쉼터,925,539,3,121,73,78,12,47,0,0,33,0,19
남해선(영암순천),영암,강진졸음쉼터,144,95,0,36,5,7,0,1,0,0,0,0,0
당진영덕선(당진청주),청주,배방졸음쉼터,487,265,3,64,39,47,11,26,0,0,24,1,7
당진영덕선(당진청주),당진,배방졸음쉼터,698,381,11,101,51,63,20,32,0,1,19,0,19
당진영덕선(청주영덕),청주,회인졸음쉼터,458,344,0,68,21,14,1,6,0,0,2,0,2
당진영덕선(청주영덕),청주,탄부졸음쉼터,361,241,0,72,18,20,3,5,0,0,1,0,1
대구외곽순환선,달서,칠곡졸음쉼터,633,404,9,109,36,62,3,5,0,0,3,0,2
대구외곽순환선,동대구,칠곡졸음쉼터,314,226,2,62,9,9,5,1,0,0,0,0,0
대구외곽순환선,달서,봉무졸음쉼터,520,376,1,79,22,32,6,1,0,0,1,0,2
대구외곽순환선,동대구,봉무졸음쉼터,606,450,6,113,16,12,6,1,0,0,2,0,0
부산외곽순환선,창원,일광졸음쉼터,742,534,14,117,43,18,2,12,0,0,2,0,0
새만금포항선(대구포항),포항,화산졸음쉼터,349,261,2,60,8,7,7,1,0,0,3,0,0
서울양양선,서울,화도졸음쉼터,1183,965,16,158,27,11,2,3,0,0,1,0,0
서울양양선,양양,화도졸음쉼터,1552,1281,13,208,25,17,4,3,0,0,0,0,1
서울양양선,서울,남산졸음쉼터,522,443,2,50,14,7,3,2,0,0,1,0,0
서울양양선,서울,북방졸음쉼터,403,345,3,42,5,5,0,1,0,0,2,0,0
서천공주선,서천,시초졸음쉼터,257,234,1,18,2,1,0,0,0,0,0,0,1
서천공주선,공주,부여졸음쉼터,267,231,0,22,3,10,1,0,0,0,0,0,0
서해안선,목포,서김제졸음쉼터,229,160,0,33,11,19,4,2,0,0,0,0,0
서해안선,서울,서김제졸음쉼터,251,214,0,32,3,0,0,2,0,0,0,0,0
서해안선,서울,서천졸음쉼터,199,150,1,30,13,2,1,1,0,0,1,0,0
서해안선,목포,서천졸음쉼터,242,175,0,46,6,12,3,0,0,0,0,0,0
서해안선,목포,춘장대졸음쉼터,433,341,0,57,19,13,1,1,0,0,0,0,1
서해안선,서울,춘장대졸음쉼터,236,176,1,49,7,0,0,1,0,0,2,0,0
서해안선,서울,광천졸음쉼터,290,210,0,50,16,10,3,1,0,0,0,0,0
서해안선,목포,당진졸음쉼터,1244,958,5,158,56,32,9,17,0,0,9,0,0
서해안선,목포,향남졸음쉼터,933,669,3,186,50,18,2,2,0,0,2,0,1
서해안선,목포,서서울졸음쉼터,597,388,2,82,36,56,19,8,0,0,6,0,0
수도권제1순환선,외측,성남졸음쉼터,2750,2001,13,466,81,95,58,15,0,0,18,0,3
수도권제1순환선,내측,김포졸음쉼터,1544,1056,162,264,19,28,2,10,2,0,1,0,0
수도권제1순환선,외측,김포졸음쉼터,2118,1603,16,383,61,36,6,11,0,0,2,0,0
수도권제1순환선,내측,시흥졸음쉼터,766,542,4,146,27,35,2,8,1,1,0,0,0
수도권제1순환선,외측,시흥졸음쉼터,369,265,9,51,25,10,5,2,0,0,2,0,0
영동선,강릉,용인졸음쉼터,1234,894,17,225,45,30,9,9,2,0,3,0,0
영동선,강릉,이천졸음쉼터,902,694,5,128,31,37,0,1,0,0,6,0,0
영동선,인천,적금졸음쉼터,464,325,3,84,21,16,6,5,0,0,3,0,1
영동선,강릉,적금졸음쉼터,472,329,0,76,20,21,11,6,0,0,7,0,2
영동선,강릉,소초졸음쉼터,526,413,8,57,17,14,7,9,0,0,0,1,0
영동선,인천,월정졸음쉼터,271,201,2,28,18,12,5,4,0,1,0,0,0
영동선,강릉,월정졸음쉼터,495,339,5,54,40,14,7,27,1,0,8,0,0
영동선,인천,대관령졸음쉼터,307,221,2,34,14,11,9,11,0,0,2,0,3
중부내륙선,창원,오봉졸음쉼터,316,206,2,31,26,21,18,3,0,0,8,0,1
중부내륙선,양평,낙상졸음쉼터,645,493,3,71,20,25,15,7,0,0,9,0,2
중부내륙선,창원,사벌졸음쉼터,765,507,3,125,51,63,9,4,0,0,3,0,0
중부내륙선,창원,노은졸음쉼터,773,565,9,111,40,32,6,8,0,0,2,0,0
중부내륙선,양평,앙성졸음쉼터,805,623,2,107,35,17,3,9,0,0,4,0,5
중부내륙선,창원,가남졸음쉼터,932,745,6,102,26,30,10,8,0,0,5,0,0
중부내륙선,창원,여주졸음쉼터,528,316,3,107,32,40,12,12,0,0,4,0,2
중부선,통영,오창졸음쉼터,426,285,5,72,27,22,4,6,0,0,5,0,0
중부선,하남,오창졸음쉼터,817,596,6,112,41,30,13,16,0,1,0,0,2
중부선,통영,농다리졸음쉼터,1177,833,14,171,54,46,13,20,0,0,22,0,4
중부선,하남,진천졸음쉼터,755,500,1,112,44,61,11,15,0,0,10,0,1
중부선,하남,대소졸음쉼터,676,461,2,108,41,38,16,8,0,0,2,0,0
중부선,통영,도척졸음쉼터,729,436,3,191,54,33,9,3,0,0,0,0,0
중부선,하남,번천졸음쉼터,1204,919,4,200,39,30,4,6,0,0,2,0,0
중부선,통영,번천졸음쉼터,972,702,7,196,33,20,7,6,0,0,1,0,0
중앙선,부산,명곡졸음쉼터,519,399,2,89,10,10,4,3,0,0,0,0,2
중앙선,춘천,명곡졸음쉼터,303,224,4,43,18,9,0,2,0,0,3,0,0
중앙선,춘천,안평졸음쉼터,392,264,2,89,18,9,8,0,0,0,2,0,0
중앙선,부산,죽령졸음쉼터,250,176,1,41,6,12,4,0,0,0,1,5,4
중앙선,춘천,죽령졸음쉼터,273,200,3,29,10,15,6,4,0,0,2,3,1
중앙선,춘천,봉양졸음쉼터,416,336,2,48,17,6,2,3,0,1,1,0,0
중앙선,부산,만종졸음쉼터,598,422,9,92,33,12,4,7,0,0,15,0,4
중앙선,춘천,횡성졸음쉼터,375,277,1,65,16,11,1,4,0,0,0,0,0
중앙선,부산,홍천강졸음쉼터,435,315,1,65,16,20,5,4,0,0,4,0,5
통영대전선,통영,금곡졸음쉼터,197,165,3,20,9,0,0,0,0,0,0,0,0
통영대전선,하남,수동졸음쉼터,351,171,2,20,8,32,45,24,0,0,39,0,10
통영대전선,통영,무주졸음쉼터,180,127,0,42,6,5,0,0,0,0,0,0,0
통영대전선,하남,금산졸음쉼터,365,256,2,49,5,34,4,2,0,0,13,0,0
평택제천선,제천,송탄졸음쉼터,631,326,9,136,58,58,14,9,1,0,11,1,8
평택제천선,평택,광혜원졸음쉼터,515,346,1,78,38,25,8,15,0,0,3,0,1
평택제천선,평택,중앙탑졸음쉼터,329,234,1,42,12,16,8,6,0,0,10,0,0
평택제천선,제천,중앙탑졸음쉼터,577,420,2,68,24,18,11,12,0,0,20,0,2
평택제천선,제천,금성졸음쉼터,364,235,8,45,16,10,18,13,0,0,18,0,1
호남선,순천,주암졸음쉼터,279,219,0,38,14,6,0,0,0,0,1,0,1
호남선,천안,삼기졸음쉼터,434,315,2,92,14,8,2,0,0,0,0,0,1
호남선,순천,삼기졸음쉼터,218,180,0,22,11,2,2,0,0,0,1,0,0
호남선,순천,장성졸음쉼터,473,314,1,103,28,23,2,1,0,0,0,0,1
호남선,순천,정우졸음쉼터,653,465,2,61,40,70,6,8,0,0,1,0,0
호남선,천안,정우졸음쉼터,313,219,2,41,23,22,2,3,0,0,1,0,0
호남선,천안,태인졸음쉼터,190,133,1,33,16,6,1,0,0,0,0,0,0
호남선,천안,서전주졸음쉼터,252,163,5,42,35,4,0,2,0,0,1,0,0
호남선,순천,전주졸음쉼터,334,178,1,58,26,45,5,14,0,0,7,0,0
호남선,천안,삼례졸음쉼터,374,248,3,41,26,37,5,11,0,0,3,0,0
호남지선,회덕,유성졸음쉼터,645,523,5,61,24,25,1,6,0,0,0,0,0
호남지선,회덕,북대전졸음쉼터,568,400,7,80,63,9,0,9,0,0,0,0,0
