"졸음쉼터명",시도명,시군구명,도로종류,도로노선명,도로노선번호,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,총연장,주차면수,화장실유무,방범용CCTV수,기타편의시설,관리기관명,관리기관전화번호,데이터기준일자
"김포",09,김포시,01,서울외곽선,100,판교기점 + 일산종점,경기도 김포시 고촌읍 신곡리 757-1,경기도 김포시 고촌읍 신곡리 757-1,37.75085157,127.9398963,,79,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"김포",09,김포시,01,서울외곽선,100,일산기점 + 판교종점,경기도 김포시 고촌읍 신곡리 800-1,경기도 김포시 고촌읍 신곡리 800-1,37.7554516,127.9496519,,28,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"시흥",09,시흥시,01,서울외곽선,100,판교기점 + 일산종점,경기도 시흥시 계수동 90-6,경기도 시흥시 계수동 90-6,37.7909441,128.1479195,,26,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"시흥",09,시흥시,01,서울외곽선,100,일산기점 + 판교종점,경기도 시흥시 계수동 460,경기도 시흥시 계수동 460,37.7909441,128.1479195,,14,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"서서울",09,안산시,01,서해안선,15,목포기점 + 서울종점,경기도 안산시 상록구 장하동 산8-1,경기도 안산시 상록구 장하동 산8-1,37.3610022,126.8660299,,92,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"서서울",09,안산시,01,서해안선,15,서울기점 + 목포종점,경기도 안산시 상록구 장하동 151,경기도 안산시 상록구 장하동 151,37.3549338995,126.861989641,,16,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"군자",09,시흥시,01,영동선,50,강릉기점 + 인천종점,경기도 시흥시 군자로335번길 36-29,경기도 시흥시 군자로335번길 36-29,37.3586465,126.7805731,,51,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"이목",09,수원시,01,영동선,50,인천기점 + 강릉종점,경기도 수원시 장안구 이목동 산108,경기도 수원시 장안구 이목동 산108,37.32036587,126.9821332,,42,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"용인",09,용인시,01,영동선,50,인천기점 + 강릉종점,경기도 용인시 기흥구 청덕동 390-7,경기도 용인시 기흥구 청덕동 390-7,37.28864204,127.1393265,,8,N,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"향남",09,화성시,01,서해안선,15,서울기점 + 목포종점,경기도 화성시 향남읍 구문천리 144-11,경기도 화성시 향남읍 구문천리 144-11,37.06656115,126.8890997,,8,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"오산",09,오산시,01,경부선,1,서울기점 + 부산종점,경기도 오산시 부산동 437-4,경기도 오산시 부산동 437-4,37.15924889,127.0882175,,11,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
