번호,설치년도,노선,이정,방향,명칭
1,2015,서울외곽선,76,내측,김포
2,2015,서울외곽선,77,외측,김포
3,2015,서울외곽선,95.8,내측,시흥
4,2015,서울외곽선,95.8,외측,시흥
5,2015,서해안선,327.5,서울,서서울
6,2015,서해안선,327.5,목포,서서울
7,2016,영동선,10.5,인천,군자
8,2013,영동선,30.2,강릉,이목
9,2014,영동선,45.1,강릉,용인
10,2011,서해안선,293.4,목포,향남
11,2013,경부선,379.6,부산,오산
12,2012,경부선,379.6,서울,오산
13,2012,경부선,371.8,부산,남사
14,2013,경부선,361.1,서울,원곡
15,2011,중부선,353.4,통영,번천
16,2012,중부선,353.3,하남,번천
17,2012,중부선,336.2,통영,도척
18,2012,중부선,336.2,하남,도척
19,2012,제2중부선,351.8,통영,상번천
20,2012,제2중부선,351.8,하남,상번천
21,2015,서울외곽선,121.5,외측,청계
22,2015,서울외곽선,5.1,외측,성남
23,2015,서울외곽선,26.9,내측,구리남양주
24,2014,영동선,89.5,강릉,생태습지
25,2012,영동선,99,인천,적금
26,2012,영동선,99,강릉,적금
27,2012,영동선,135.6,인천,소초
28,2012,영동선,135.6,강릉,소초
29,2013,영동선,167.3,인천,삽교
30,2013,영동선,167.3,강릉,삽교
31,2011,영동선,202.2,인천,월정
32,2012,영동선,202.2,강릉,월정
33,2016,영동선,214.2,인천,대관령
34,2016,영동선,226,강릉,대관령전망대
35,2012,중앙선,366.8,부산,홍천강
36,2011,중앙선,316,부산,만종
37,2011,중앙선,316,춘천,만종
38,2018,중앙선,345.1,춘천,횡성
39,2018,중앙선,346,부산,횡성
40,2014,서울양양선,70.4,서울,북방
41,2014,서울양양선,26.1,서울,서종
42,2016,동해선,11.7,삼척,단봉
43,2016,동해선,109.3,삼척,강현
44,2016,동해선,109.3,속초,강현
45,2017,서울양양선,106.4,양양,인제
46,2017,서울양양선,106,서울,인제
47,2017,서울양양선,141.1,양양,양양
48,2017,서울양양선,141.2,서울,양양
49,2014,영동선,76,인천,이천
50,2015,영동선,76.8,강릉,이천
51,2016,중부내륙선,279,양평,여주
52,2016,중부내륙선,279,창원,여주
53,2011,중부선,319,통영,모가
54,2011,중부선,319,하남,모가
55,2012,중부선,305.9,통영,일죽
56,2011,중부선,305.9,하남,일죽
57,2011,중부선,293.3,하남,대소
58,2011,중부선,279.2,하남,진천
59,2016,중부선,277.4,통영,농다리
60,2011,중부선,263.4,통영,오창
61,2011,중부선,263.4,하남,오창
62,2014,중앙선,287,춘천,봉양
63,2013,중부내륙선,257.8,창원,가남
64,2011,중부내륙선,245.7,양평,앙성
65,2015,중부내륙선,236.4,창원,노은
66,2015,중부내륙선,224.1,양평,대소원
67,2012,청주영덕선,16.6,청주,회인
68,2012,청주영덕선,34.2,청주,탄부
69,2012,청주영덕선,34.1,영덕,탄부
70,2012,청주영덕선,59.7,청주,상주
71,2012,청주영덕선,62.8,영덕,상주
72,2014,평택제천선,93.5,평택,중앙탑
73,2014,평택제천선,93.5,제천,중앙탑
74,2015,평택제천선,124.6,평택,금성
75,2015,평택제천선,124.6,제천,금성
76,2012,중부내륙선,188,창원,문경
77,2011,중부내륙선,152,창원,사벌
78,2011,중부내륙선,149,양평,낙상
79,2014,경부선,355,부산,연곡
80,2012,경부선,350.4,부산,입장
81,2013,경부선,280.1,부산,신탄진
82,2012,호남지선,37.1,논산,서대전
83,2012,호남지선,44.8,회덕,유성
84,2012,호남지선,49.1,논산,북대전
85,2015,호남지선,49.1,회덕,북대전
86,2012,경부선,261.8,부산,옥천
87,2012,경부선,263.1,서울,옥천
88,2015,경부선,242,서울,청성
89,2012,경부선,214.6,부산,추풍령
90,2012,경부선,214.6,서울,추풍령
91,2016,대전남부순환선,12.4,산내,산내
92,2012,서해안선,265.9,목포,당진
93,2012,서해안선,265.6,서울,당진
94,2012,서해안선,257.9,서울,용연
95,2012,서해안선,230.8,목포,고북
96,2012,서해안선,229.2,서울,갈산
97,2018,서해안선,251.6,목포,서산
98,2015,당진대전선,81.4,대전,금남
99,2015,서천공주선,10.8,서천,시초
100,2015,서천공주선,34.9,공주,부여
101,2013,호남선,172.1,순천,삼례
102,2012,호남선,174.4,천안,삼례
103,2012,호남선,168.4,순천,전주
104,2013,호남선,168.4,천안,전주
105,2014,호남선,162.1,천안,서전주
106,2011,호남선,142.1,천안,태인
107,2013,호남선,137.8,순천,정우
108,2013,호남선,137.8,천안,정우
109,2013,호남선,118.9,순천,내장산
110,2012,호남선,123.6,천안,내장산
111,2011,서해안선,126.7,목포,서김제
112,2011,서해안선,126.7,서울,서김제
113,2014,서해안선,91.7,목포,줄포
114,2014,서해안선,68,목포,고창
115,2012,통영대전,176.3,통영,금산
116,2012,통영대전,179,하남,금산
117,2011,통영대전,160.3,통영,무주
118,2012,호남지선,11.2,논산,논산
119,2012,호남지선,9.8,회덕,논산
120,2014,호남선,177.8,천안,익산
121,2014,익산장수선,2,익산,완주
122,2014,익산장수선,2,장수,완주
123,2016,익산장수선,34.8,익산,마이산
124,2016,익산장수선,35.4,장수,마이산
125,2012,서해안선,211.4,서울,광천
126,2012,서해안선,186.4,서울,무창포
127,2014,서해안선,176.1,목포,춘장대
128,2012,서해안선,176.4,서울,춘장대
129,2012,서해안선,154.8,목포,서천
130,2012,서해안선,154.4,서울,서천
131,2014,광주대구선,8.8,대구,담양
132,2011,호남선,97.2,순천,장성
133,2011,호남선,97.4,천안,장성
134,2015,호남선,85.8,천안,광산
135,2015,호남선,61.4,천안,대덕
136,2012,호남선,61.5,순천,대덕
137,2015,호남선,43.2,천안,삼기
138,2015,호남선,43.2,순천,삼기
139,2016,고창담양선,14.2,고창,장성물류
140,2016,고창담양선,14.1,담양,장성물류
141,2011,고창담양선,32.4,고창,태령
142,2011,고창담양선,32.4,담양,태령
143,2011,호남선,20.3,천안,주암
144,2015,호남선,20.3,순천,주암
145,2016,남해선,1.4,서순천,순천
146,2012,남해선,10.8,순천,광양
147,2011,남해선,10.8,부산,광양
148,2012,서해안선,51.7,서울,영광
149,2012,서해안선,16.6,목포,몽탄
150,2012,서해안선,17.5,서울,몽탄
151,2013,남해선(영암순천),87.8,영암,벌교
152,2015,남해선(영암순천),81.6,순천,벌교
153,2013,남해선(영암순천),25.3,순천,강진
154,2014,남해선(영암순천),23.4,영암,강진
155,2015,광주대구선,34.8,광주,대강
156,2012,경부선,207.4,부산,봉산
157,2012,경부선,207.1,서울,봉산
158,2011,경부선,189.9,부산,대신
159,2012,경부선,189.9,서울,대신
160,2012,경부선,178,부산,선기
161,2012,경부선,178,서울,선기
162,2012,경부선,162.6,서울,석적
163,2018,경부선,145,서울,지천
164,2011,경부선,130.5,부산,검단
165,2011,경부선,130.5,서울,검단
166,2018,경부선,92.7,부산,북안
167,2018,경부선,92.2,서울,북안
168,2012,중앙선,166.8,부산,안평
169,2012,중앙선,166.8,춘천,안평
170,2011,중앙선,136.8,부산,명곡
171,2011,중앙선,136.8,춘천,명곡
172,2015,중앙선,115.3,춘천,읍내
173,2012,대구포항선,25.5,포항,화산
174,2012,대구포항선,51.2,대구,기계
175,2015,광주대구선,107.1,광주,남상
176,2015,광주대구선,110.8,대구,남상
177,2015,광주대구선,146.4,광주,쌍림
178,2015,광주대구선,153.8,대구,고령
179,2015,중앙선,210.4,춘천,보문
180,2015,중앙선,198.6,부산,풍산
181,2013,중앙선,243.8,부산,죽령
182,2013,중앙선,243.8,춘천,죽령
183,2012,중부내륙선,118.5,창원,아포
184,2012,중부내륙선,120.2,양평,아포
185,2014,중부내륙선,106,창원,오봉
186,2012,중부내륙선,55.6,양평,개진
187,2016,청주영덕선,111.8,영덕,삼춘
188,2016,청주영덕선,123.4,청주,하화
189,2016,청주영덕선,145.3,영덕,묵계
190,2016,청주영덕선,169.4,청주,지품
191,2016,청주영덕선,173.3,영덕,수암
192,2017,부산외곽순환선,47.7,기장,일광
193,2017,부산외곽순환선,47.8,창원,일광
194,2016,남해선,153.8,순천,김해
195,2016,남해선,153.8,부산,김해
196,2014,남해선,126,부산,북창원
197,2011,남해선,141.2,부산,진례
198,2011,남해선,141.7,순천,진례
199,2011,남해1지선,15.3,산인,창원
200,2011,남해1지선,15.3,창원,창원
201,2011,남해선,49.8,순천,곤양
202,2011,남해선,49.8,부산,곤양
203,2013,남해선,85.8,순천,지수
204,2012,남해선,86.1,부산,지수
205,2015,통영대전,121.1,통영,서상
206,2015,통영대전,120.1,하남,서상
207,2012,통영대전,101.7,통영,수동
208,2014,통영대전,101.7,하남,수동
209,2012,통영대전,90.8,통영,금서
210,2015,통영대전,90.8,하남,금서
