구분,차종,2020년,2021년,2022년,2023년,2024년
경부선,소형차,408073,433649,445960,458833,472579
경부선,중형차,12801,13272,13273,13275,13320
경부선,대형차,53503,57871,59983,61522,62019
남해선,소형차,141992,144881,135925,140109,143784
남해선,중형차,3883,3852,3528,3490,3413
남해선,대형차,20037,20315,19450,19864,20068
광주대구선,소형차,27348,29536,27176,27859,29482
광주대구선,중형차,785,782,722,721,726
광주대구선,대형차,3541,3644,3606,3553,3543
고창담양선,소형차,22653,21847,14904,15344,15950
고창담양선,중형차,715,649,481,495,490
고창담양선,대형차,3609,3467,2563,2633,2701
서해안선,소형차,135775,139830,139743,140548,146147
서해안선,중형차,3927,3930,3848,3873,3875
서해안선,대형차,19194,19265,18972,19340,19398
울산선,소형차,22427,23826,28210,29664,29452
울산선,중형차,569,586,704,749,707
울산선,대형차,4062,4164,5190,5629,5705
평택화성선,소형차,3077,3284,3106,2981,3590
평택화성선,중형차,122,122,114,105,118
평택화성선,대형차,619,617,614,555,662
새만금포항선,소형차,27262,29700,27458,27967,29020
새만금포항선,중형차,758,785,748,730,719
새만금포항선,대형차,3101,3292,3224,3300,3247
호남선(논산천안선),소형차,115825,118349,111158,114198,115915
호남선(논산천안선),중형차,3069,3050,2837,2872,2866
호남선(논산천안선),대형차,20168,20219,19130,19286,18274
세종포천선,소형차,0,0,0,0,111
세종포천선,중형차,0,0,0,0,4
세종포천선,대형차,0,0,0,0,13
당진영덕선,소형차,76365,80509,82134,82027,83925
당진영덕선,중형차,1953,1990,1854,1893,1866
당진영덕선,대형차,14533,15047,15058,15099,14481
당진청주선,소형차,2943,3649,4723,6666,12274
당진청주선,중형차,114,144,183,248,435
당진청주선,대형차,719,930,1264,1823,3464
중부선(대전통영선),소형차,135102,140109,138593,140431,145676
중부선(대전통영선),중형차,5202,5197,5178,5145,5127
중부선(대전통영선),대형차,18746,18610,18916,18931,18711
평택제천선,소형차,73296,82650,86557,91109,94125
평택제천선,중형차,3429,3555,3614,3654,3694
평택제천선,대형차,17573,19840,20743,21399,21022
중부내륙선,소형차,68771,73151,66905,69437,75803
중부내륙선,중형차,2380,2430,2214,2245,2328
중부내륙선,대형차,15892,16252,15340,15587,16030
영동선,소형차,172737,179167,185684,190797,199550
영동선,중형차,6248,6301,6395,6371,6412
영동선,대형차,20595,21044,21100,21035,21265
제2영동선,소형차,12790,13496,13571,13647,13739
제2영동선,중형차,210,222,234,235,222
제2영동선,대형차,876,897,922,949,866
중앙선(대구부산선),소형차,140714,165114,191786,180733,189846
중앙선(대구부산선),중형차,4310,5026,5767,5370,5396
중앙선(대구부산선),대형차,17713,23606,27335,25849,25885
서울양양선,소형차,15634,16293,16481,16222,22647
서울양양선,중형차,203,203,199,201,347
서울양양선,대형차,716,746,752,765,1392
