사고연도,사고일자,사고시간,노선명,사고발생이정,방향,사망,부상
2022년,2022-01-01,17:15,부산포항선,73.1,부산,0,0
2022년,2022-01-03,15:33,중부선,21,하남,1,0
2022년,2022-01-05,05:03,무안광주선,15.5,광주,0,0
2022년,2022-01-10,08:08,경부선,61,부산,0,1
2022년,2022-01-11,00:25,영동선,65.5,인천,1,0
2022년,2022-01-16,13:34,중부선,248.8,통영,0,0
2022년,2022-01-18,05:05,제2중부선,332.4,하남,0,2
2022년,2022-01-19,07:14,서천공주선,40.3,공주,0,1
2022년,2022-01-19,11:04,서울양양선,117.7,양양,1,2
2022년,2022-01-20,03:39,남해제2지선,18.5,부산,0,0
2022년,2022-01-20,07:17,중부내륙선,183.7,양평,0,0
2022년,2022-01-21,00:20,남해선,16.7,영암,0,0
2022년,2022-01-22,02:10,서천공주선,22.9,서천,0,0
2022년,2022-01-24,14:30,서해안선,50.6,목포,0,0
2022년,2022-01-25,02:27,당진대전선,63,대전,0,0
2022년,2022-01-25,07:16,서해안선,77.4,목포,0,0
2022년,2022-01-28,01:15,경부선,345.4,서울,0,0
2022년,2022-01-28,16:40,중부내륙선,257.5,창원,0,0
2022년,2022-01-28,23:56,호남선,193.7,천안,0,0
2022년,2022-01-30,03:40,중부선,340.8,하남,0,2
2022년,2022-01-30,06:24,영동선,52.1,강릉,0,1
2022년,2022-02-04,06:42,중부선,140.4,하남,0,1
2022년,2022-02-05,18:28,경부선,244.6,서울,0,0
2022년,2022-02-08,18:30,평택제천선,24.2,평택,0,1
2022년,2022-02-09,01:13,중부내륙선,114.6,창원,0,0
2022년,2022-02-14,09:14,중부선,81,하남,0,0
2022년,2022-02-16,01:35,중부내륙선,144.5,창원,0,1
2022년,2022-02-16,08:37,수도권제1순환선,5.2,판교,0,0
2022년,2022-02-17,02:55,호남선,164,천안,1,1
2022년,2022-02-21,06:01,중앙선,209.5,춘천,0,0
2022년,2022-02-21,09:15,서해안선,126.6,서울,0,0
2022년,2022-02-21,10:56,서해안선,283.1,목포,0,0
2022년,2022-02-21,14:23,중부내륙선,47.9,창원,0,2
2022년,2022-02-21,15:26,동해선,72.5,속초,0,1
2022년,2022-02-24,06:38,대구포항선,69.3,대구,0,1
2022년,2022-02-25,03:55,중부내륙선,131,양평,0,0
2022년,2022-02-26,16:00,호남선,101.5,순천,0,1
2022년,2022-02-27,22:55,중부선,296.7,통영,0,0
2022년,2022-03-01,15:25,광주대구선,23.3,광주,1,2
2022년,2022-03-02,06:30,광주대구선,161,광주,0,0
2022년,2022-03-03,09:35,남해선,124,순천,0,0
2022년,2022-03-03,14:35,대구포항선,47,대구,0,0
2022년,2022-03-04,03:33,중부내륙선,263.6,창원,0,0
2022년,2022-03-04,15:13,중부내륙선,185.6,창원,1,0
2022년,2022-03-05,02:15,중앙선,204,부산,0,0
2022년,2022-03-17,05:10,경부선,211.4,부산,0,0
2022년,2022-03-18,08:57,호남선의 지선,6.4,논산,0,0
2022년,2022-03-18,14:12,평택제천선,110.2,제천,0,0
2022년,2022-03-21,14:42,남해선,85.6,순천,0,0
2022년,2022-03-22,10:01,호남선,179,천안,0,0
2022년,2022-03-23,05:03,경부선,410,서울,0,1
2022년,2022-03-23,10:31,영동선,136,인천,0,0
2022년,2022-03-25,01:04,호남선,193.7,순천,0,0
2022년,2022-03-25,14:12,서해안선,78.2,목포,0,0
2022년,2022-03-27,15:05,당진대전선,37,당진,0,0
2022년,2022-03-28,04:50,수도권제1순환선,70.1,일산,0,0
2022년,2022-03-28,10:10,중부선,160.1,통영,0,1
2022년,2022-03-28,13:40,중부선,363.5,하남,0,1
2022년,2022-03-29,15:57,당진대전선,58.1,대전,0,0
2022년,2022-03-30,10:27,서해안선,210.8,서울,0,0
2022년,2022-03-30,13:54,남해선,148.2,순천,0,1
2022년,2022-03-31,02:18,남해선,76.7,순천,0,1
2022년,2022-04-01,16:21,무안광주선,21.8,무안,0,1
2022년,2022-04-01,22:55,영동선,209,강릉,1,1
2022년,2022-04-04,04:10,수도권제1순환선,24.9,판교,0,0
2022년,2022-04-06,04:26,서울양양선,138.4,양양,0,0
2022년,2022-04-08,06:50,중부내륙선,32.6,양평,0,1
2022년,2022-04-10,17:05,남해선,100.6,부산,0,1
2022년,2022-04-11,14:40,서해안선,206.4,서울,0,1
2022년,2022-04-14,12:15,호남선,4.4,천안,0,0
2022년,2022-04-14,13:07,평택제천선,30.3,제천,1,1
2022년,2022-04-14,14:10,중앙선,365,춘천,0,0
2022년,2022-04-15,21:40,남해선,82.4,부산,0,0
2022년,2022-04-16,04:10,중앙선,128,부산,0,0
2022년,2022-04-16,06:29,광주대구선,85.5,광주,0,1
2022년,2022-04-16,20:03,서울양양선,111.8,서울,0,0
2022년,2022-04-17,16:40,경부선,309.1,서울,0,0
2022년,2022-04-17,18:20,영동선,79.8,강릉,0,1
2022년,2022-04-17,19:22,서천공주선,5.6,공주,0,1
2022년,2022-04-19,03:45,중부선,247.9,통영,0,1
2022년,2022-04-20,02:27,수도권제1순환선,86.4,일산,0,1
2022년,2022-04-25,12:13,중부내륙선,113.5,창원,0,1
2022년,2022-04-25,13:52,중부선,258.4,통영,0,1
2022년,2022-04-27,10:33,중앙선,346.4,부산,0,0
2022년,2022-04-28,14:45,남해제2지선,10.7,부산,0,0
2022년,2022-05-03,05:28,중부선,273.2,통영,0,2
2022년,2022-05-03,23:42,서해안선,218.2,목포,0,0
2022년,2022-05-04,04:37,중부선,298,하남,0,1
2022년,2022-05-04,05:36,서해안선,229.8,목포,1,0
2022년,2022-05-06,00:19,순천완주선,73,완주,0,0
2022년,2022-05-06,14:44,호남선의 지선,5.7,논산,0,0
2022년,2022-05-08,15:00,남해선,127.9,순천,0,1
2022년,2022-05-09,04:57,남해선,36.8,부산,0,0
2022년,2022-05-12,06:55,중부내륙선,159.7,창원,0,1
2022년,2022-05-12,23:36,경부선,163.1,부산,0,0
