search_day,rank,singer,title
20220322,1,Red Velvet (레드벨벳),Feel My Rhythm
20220322,2,i-dle (아이들),TOMBOY
20220322,3,박재범,GANADARA (Feat. 아이유)
20220322,4,멜로망스(MeloMance),사랑인가 봐
20220322,5,벤,벚꽃이 피면 우리 그만 헤어져
20220322,6,뉴이스트,"다시, 봄"
20220322,7,하이라이트 (HIGHLIGHT),DAYDREAM
20220322,8,태연 (TAEYEON),INVU
20220322,9,Red Velvet (레드벨벳),BAMBOLEO
20220322,10,MSG워너비(M.O.M),듣고 싶을까
20220322,11,STAYC(스테이씨),RUN2U
20220322,12,GAYLE,abcdefu
20220322,13,원슈타인,존재만으로
20220322,14,태일 (TAEIL),Starlight
20220322,15,박보람,애쓰지 마요 (2022)
20220322,16,YENA (최예나),SMILEY (Feat. BIBI)
20220322,17,폴킴(Paul Kim),어제처럼
20220322,18,이하이,우린 어떠한 별보다 빛날 거야
20220322,19,Red Velvet (레드벨벳),Rainbow Halo
20220322,20,i-dle (아이들),MY BAG
20220322,21,김민석 (멜로망스),취중고백
20220322,22,Red Velvet (레드벨벳),Beg For Me
20220322,23,IVE (아이브),ELEVEN
20220322,24,Red Velvet (레드벨벳),In My Dreams
20220322,25,아이유(IU),드라마
20220322,26,임영웅,사랑은 늘 도망가
20220322,27,비비(BIBI),"아주, 천천히"
20220322,28,NMIXX,O.O
20220322,29,박봄 (Park Bom),꽃 (With 김민석 of 멜로망스)
20220322,30,이무진,신호등
20220322,31,적재,"손을 잡는다거나, 같이 걷는다거나"
20220322,32,Kelly Clarkson(켈리 클락슨),Stronger (What Doesn't Kill You)
20220322,33,하이라이트 (HIGHLIGHT),밤안개 (Night Fog)
20220322,34,브레이브걸스(Brave Girls),Thank You
20220322,35,자우림(Jaurim),"스물다섯, 스물하나"
20220322,36,김태리(Kim Tae Ri),With
20220322,37,GOT the beat,Step Back
20220322,38,Red Velvet (레드벨벳),"Good, Bad, Ugly"
20220322,39,i-dle (아이들),말리지 마
20220322,40,케이시,언제나 사랑해
20220322,41,아이유(IU),strawberry moon
20220322,42,aespa,Next Level
20220322,43,경서예지,다정히 내 이름을 부르면
20220322,44,The Kid LAROI,STAY
20220322,45,Charlie Puth(찰리 푸스),Light Switch
20220322,46,에픽하이 (EPIK HIGH),그래서 그래 (Feat. 윤하)
20220322,47,태연 (TAEYEON),Can't Control Myself
20220322,48,sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
20220322,49,Xydo(시도),가보자
20220322,50,뉴이스트,GALAXY
20220322,51,aespa,Dreams Come True
20220322,52,하이라이트 (HIGHLIGHT),시선 (Our Eyes)
20220322,53,비투비,노래 (The Song)
20220322,54,비비(BIBI),우리가 헤어져야 했던 이유
20220322,55,태연 (TAEYEON),Weekend
20220322,56,10CM,서랍
20220322,57,아이유(IU),라일락
20220322,58,i-dle (아이들),VILLAIN DIES
20220322,59,aespa,Savage
20220322,60,프로미스나인,DM
20220322,61,아이유(IU),Celebrity
20220322,62,방탄소년단,Butter
20220322,63,태연 (TAEYEON),그런 밤 (Some Nights)
20220322,64,조현아 (어반자카파),늦은 후회
20220322,65,방탄소년단,Dynamite
20220322,66,하이라이트 (HIGHLIGHT),PLAY
20220322,67,TREASURE(트레저),다라리 (DARARI)
20220322,68,이예준,내 생에 아름다운
20220322,69,방탄소년단,Permission to Dance
20220322,70,하이라이트 (HIGHLIGHT),Don't Leave
20220322,71,백예린 (Yerin Baek),너머 (The Other Side)
20220322,72,이무진,눈이 오잖아(Feat.헤이즈)
20220322,73,V,Christmas Tree
20220322,74,Coldplay(콜드플레이),My Universe
20220322,75,BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY)
20220322,76,MSG워너비(M.O.M),바라만 본다
20220322,77,양다일,소주 한 잔
20220322,78,탑현,호랑수월가
20220322,79,아이유(IU),Blueming
20220322,80,BE'O (비오),Counting Stars (Feat. Beenzino)
20220322,81,주시크 (Joosiq),너를 생각해
20220322,82,도겸,Go!
20220322,83,아이유(IU),겨울잠
20220322,84,성시경,너의 모든 순간
20220322,85,하이라이트 (HIGHLIGHT),될 대로 되라고 해 (Whatever)
20220322,86,BE'O (비오),문득
20220322,87,지효 (TWICE),Stardust love song
20220322,88,베이식(Basick),만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
20220322,89,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
20220322,90,Red Velvet (레드벨벳),Queendom
20220322,91,Stray Kids (스트레이 키즈),MANIAC
20220322,92,Ed Sheeran(에드 시런),Bad Habits
20220322,93,하이라이트 (HIGHLIGHT),Classic
20220322,94,Justin Bieber(저스틴 비버),Off My Face
20220322,95,송하예,Closer
20220322,96,Sam Ryder,Tiny Riot
20220322,97,AKMU(악뮤),낙하 (with 아이유)
20220322,98,디핵(D-Hack),OHAYO MY NIGHT
20220322,99,휘인(Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
20220322,100,펀치 (Punch),이만큼 난 너를 사랑해
